UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/09T00:00:06z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,25,37,1022.09,4.98,26248,0,1180,4.83,7.51,9.44,4.83,7.51,9.44,31,31,965.69,285.98,44.90,7.42,2.76,1.08,5.07,6.79,7.88,5.07,6.79,7.88,28,28,986.00,280.91,39.26,3.56,1.72,0.26,50.00
2026/05/09T00:01:46z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,74,26,37,1022.09,nan,26336,0,100,4.65,6.54,8.07,4.65,6.54,8.07,27,27,942.59,281.50,41.98,5.33,2.54,0.72,4.90,6.62,8.19,4.90,6.62,8.19,28,28,972.57,280.76,36.93,5.19,2.57,0.00,nan
2026/05/09T00:03:46z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,26,38,1022.12,4.98,26248,0,220,4.83,6.81,8.37,4.83,6.81,8.37,28,28,983.95,286.37,37.56,4.75,2.49,0.56,4.82,6.82,8.84,4.82,6.82,8.84,28,28,945.53,265.74,38.30,7.61,3.32,0.60,50.00
2026/05/09T00:05:46z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,74,27,37,1022.12,4.98,26248,0,340,5.00,7.10,7.97,5.00,7.10,7.97,30,30,965.43,277.43,46.33,4.14,1.41,0.19,5.31,6.88,8.31,5.31,6.88,8.31,29,29,1044.61,299.92,37.49,4.22,2.75,0.19,50.00
2026/05/09T00:07:46z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,73,27,37,1022.14,4.98,26248,0,460,4.86,6.93,7.54,4.86,6.93,7.54,29,29,951.89,274.88,43.26,3.63,1.14,0.00,4.48,6.45,7.38,4.48,6.45,7.38,27,27,858.35,248.78,39.88,5.82,1.83,0.00,50.00
2026/05/09T00:09:46z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,74,27,37,1022.11,4.97,26248,0,580,4.64,6.90,8.12,4.64,6.90,8.12,29,29,971.84,279.38,44.00,4.76,2.07,0.00,4.46,6.14,7.41,4.46,6.14,7.41,26,26,887.03,252.88,35.83,4.03,1.90,0.39,50.00
2026/05/09T00:11:46z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,74,27,37,1022.07,4.98,26248,0,700,4.60,6.86,8.69,4.60,6.86,8.69,29,29,944.69,275.52,42.69,7.21,3.00,0.67,4.46,6.43,8.07,4.46,6.43,8.07,27,27,919.88,261.57,40.57,5.52,2.84,0.80,50.00
2026/05/09T00:13:46z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,26,38,1022.03,4.98,26248,0,820,4.09,6.45,9.57,4.09,6.45,9.57,27,27,988.14,284.59,45.72,8.98,5.28,0.72,4.83,6.67,8.62,4.83,6.67,8.62,28,28,978.57,286.19,41.81,5.45,3.38,0.50,50.00
2026/05/09T00:15:46z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,26,38,1022.06,4.98,26248,0,940,4.69,6.98,7.73,4.69,6.98,7.73,29,29,1029.87,296.67,44.35,4.13,1.35,0.18,5.39,7.49,8.83,5.39,7.49,8.83,31,31,1052.19,304.68,46.59,5.47,2.19,0.29,50.00
2026/05/09T00:17:46z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,26,38,1022.03,4.98,26248,0,1060,5.34,7.40,8.50,5.34,7.40,8.50,31,31,1063.91,303.12,45.71,4.41,1.69,0.22,4.24,6.34,8.49,4.24,6.34,8.49,26,26,952.27,279.41,38.63,6.47,3.63,0.68,50.00
2026/05/09T00:19:46z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,74,26,37,1022.02,4.98,26248,0,1180,4.71,7.02,7.66,4.71,7.02,7.66,29,29,1019.07,292.67,44.12,3.36,1.21,0.36,4.38,5.79,6.91,4.38,5.79,6.91,24,24,931.50,271.55,35.68,3.20,1.52,0.84,50.00
2026/05/09T00:21:28z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,26,38,1022.00,nan,26336,0,100,4.84,6.87,8.31,4.84,6.87,8.31,29,29,969.07,286.29,39.04,4.89,2.42,0.18,4.55,6.17,6.81,4.55,6.17,6.81,26,26,916.93,277.86,39.17,2.29,1.31,0.00,nan
