UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/12T00:00:02z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,93,17,43,1018.59,4.97,26248,0,820,2.23,3.16,3.72,2.23,3.16,3.72,13,13,512.63,149.95,20.04,2.12,0.89,0.16,2.12,2.66,3.41,2.12,2.66,3.41,11,11,517.32,143.93,16.78,1.97,1.19,0.00,101.34
2026/05/12T00:02:02z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,93,18,43,1018.58,4.97,26248,0,939,2.04,2.79,3.12,2.04,2.79,3.12,12,12,473.30,131.95,16.00,1.39,0.50,0.00,1.88,3.00,3.97,1.88,3.00,3.97,13,13,539.24,151.78,19.39,3.73,1.81,0.00,103.35
2026/05/12T00:04:02z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,93,18,43,1018.58,4.97,26248,0,1059,1.91,3.21,4.03,1.91,3.21,4.03,13,13,517.09,146.79,20.53,3.45,1.64,0.22,1.95,2.66,4.02,1.95,2.66,4.02,11,11,498.83,143.03,23.47,3.53,1.52,0.00,121.18
2026/05/12T00:06:02z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,93,18,43,1018.56,4.97,26248,0,1179,1.87,2.85,3.15,1.87,2.85,3.15,12,12,528.90,156.75,21.73,1.68,0.50,0.00,1.66,2.86,4.02,1.66,2.86,4.02,12,12,537.00,153.55,21.54,4.57,2.18,0.00,105.06
2026/05/12T00:07:43z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,93,18,43,1018.55,nan,26432,0,100,2.42,3.38,4.27,2.42,3.38,4.27,14,14,527.20,155.02,21.84,3.53,1.13,0.31,2.49,4.21,4.67,2.49,4.21,4.67,18,18,599.79,172.58,28.65,2.70,1.07,0.00,nan
2026/05/12T00:09:43z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,94,17,43,1018.50,4.97,26344,0,220,1.97,2.63,3.10,1.97,2.63,3.10,11,11,503.35,142.68,16.28,2.15,0.97,0.00,1.79,2.79,4.00,1.79,2.79,4.00,12,12,515.79,144.86,23.21,3.81,1.91,0.00,101.28
2026/05/12T00:11:43z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,18,42,1018.51,4.96,26344,0,340,1.44,2.26,2.49,1.44,2.26,2.49,9,9,509.00,141.95,18.58,0.93,0.44,0.00,1.92,3.28,3.88,1.92,3.28,3.88,14,14,546.85,153.25,21.78,2.07,0.97,0.00,96.59
2026/05/12T00:13:43z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,93,18,43,1018.50,4.97,26344,0,460,1.86,2.75,3.71,1.86,2.75,3.71,11,11,518.68,144.75,18.29,2.46,1.73,0.23,1.95,2.74,3.34,1.95,2.74,3.34,11,11,530.95,147.28,18.10,1.38,1.14,0.00,98.07
2026/05/12T00:15:43z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,93,17,43,1018.47,4.96,26344,0,580,1.90,2.74,3.91,1.90,2.74,3.91,11,11,461.53,131.31,20.52,3.21,2.22,0.00,1.79,2.49,3.51,1.79,2.49,3.51,10,10,490.47,140.67,18.23,3.91,1.33,0.00,99.43
2026/05/12T00:17:43z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,18,42,1018.42,4.96,26344,0,700,2.55,3.25,3.97,2.55,3.25,3.97,14,14,559.80,158.83,19.98,2.17,1.00,0.00,1.86,3.11,3.74,1.86,3.11,3.74,13,13,546.42,155.51,18.51,3.40,1.28,0.00,101.74
