UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/11T00:01:22z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,26,45,1020.36,4.92,26064,0,461,3.09,4.47,5.09,3.09,4.47,5.09,19,19,668.73,194.13,28.20,1.42,0.96,0.31,3.36,5.34,5.60,3.36,5.34,5.60,22,22,726.98,208.47,37.79,2.60,0.53,0.22,50.00
2026/05/11T00:03:22z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1020.41,4.92,26248,0,581,3.00,3.95,4.45,3.00,3.95,4.45,16,16,650.02,190.24,23.05,1.69,0.41,0.41,3.19,4.38,4.60,3.19,4.38,4.60,18,18,689.07,198.45,27.52,1.33,0.38,0.00,50.00
2026/05/11T00:05:22z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1020.40,4.92,26248,0,701,3.32,4.42,5.20,3.32,4.42,5.20,18,18,690.66,196.20,28.51,2.24,1.19,0.66,3.12,4.74,5.34,3.12,4.74,5.34,20,20,645.83,188.81,30.22,3.83,1.12,0.00,50.00
2026/05/11T00:07:22z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,26,43,1020.38,4.92,26248,0,821,2.76,3.83,4.66,2.76,3.83,4.66,16,16,642.21,186.17,23.09,1.88,1.02,0.62,3.05,3.88,4.31,3.05,3.88,4.31,16,16,624.62,175.98,26.86,1.24,0.81,0.26,50.00
2026/05/11T00:09:22z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1020.30,4.92,26248,0,941,3.30,4.91,5.37,3.30,4.91,5.37,20,20,685.79,203.51,28.23,2.89,0.89,0.00,3.69,5.57,6.69,3.69,5.57,6.69,23,23,775.09,222.57,40.05,4.10,1.90,0.00,50.00
2026/05/11T00:11:22z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1020.28,4.92,26248,0,1061,3.29,5.24,6.28,3.29,5.24,6.28,22,22,797.07,235.14,36.43,3.28,1.59,1.00,3.14,4.98,5.24,3.14,4.98,5.24,21,21,706.24,204.90,34.66,2.12,0.43,0.00,50.00
2026/05/11T00:13:22z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1020.34,4.92,26248,0,1181,3.97,5.74,6.38,3.97,5.74,6.38,24,24,784.40,233.41,38.05,2.33,0.97,0.59,3.32,4.52,6.02,3.32,4.52,6.02,19,19,707.73,208.41,30.52,3.57,2.12,0.00,50.00
2026/05/11T00:15:03z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,25,42,1020.38,nan,26336,0,100,2.53,3.89,5.04,2.53,3.89,5.04,16,16,550.00,160.98,28.76,4.16,1.60,0.56,2.00,2.74,3.10,2.00,2.74,3.10,11,11,495.07,144.48,22.10,2.62,0.48,0.00,nan
2026/05/11T00:17:03z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1020.33,4.92,26248,0,220,2.28,3.38,4.07,2.28,3.38,4.07,14,14,570.80,160.18,23.23,2.58,0.95,0.87,2.80,4.04,4.38,2.80,4.04,4.38,17,17,592.82,170.77,29.14,2.62,0.86,0.00,50.00
2026/05/11T00:19:03z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1020.35,4.92,26248,0,340,2.70,3.86,4.57,2.70,3.86,4.57,16,16,573.11,170.07,29.84,2.57,0.91,0.66,2.44,4.19,4.76,2.44,4.19,4.76,17,17,615.66,171.90,28.00,3.10,0.93,0.22,50.00
