UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/04/28T14:50:57z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,52,49,1011.80,nan,28128,0,99,0.00,1.67,1.96,0.00,1.67,1.96,7,7,176.87,53.93,15.62,4.18,0.29,0.29,0.02,1.60,2.84,0.02,1.60,2.84,7,7,195.49,55.77,12.88,5.98,1.51,0.65,nan
2026/04/28T14:52:57z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,47,47,1011.80,4.78,26248,0,219,0.00,1.27,2.14,0.00,1.27,2.14,5,5,195.66,57.90,13.41,4.68,1.25,0.51,0.05,0.57,1.84,0.05,0.57,1.84,2,2,222.43,54.96,9.91,3.30,1.62,0.09,50.00
2026/04/28T14:54:57z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,44,47,1011.87,4.78,26248,0,339,0.07,1.07,1.89,0.07,1.07,1.89,4,4,212.46,59.16,12.18,3.38,1.21,0.82,0.00,0.68,0.95,0.00,0.68,0.95,3,3,307.63,72.05,9.31,1.15,0.24,0.15,50.00
2026/04/28T14:56:57z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,42,47,1011.89,4.78,26248,0,459,0.00,0.69,1.13,0.00,0.69,1.13,3,3,159.55,45.49,9.58,2.15,0.56,0.56,0.32,1.08,1.87,0.32,1.08,1.87,5,5,361.15,86.98,17.93,2.63,0.83,0.63,50.00
2026/04/28T14:58:57z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,73,40,47,1011.95,4.78,26248,0,579,0.03,0.64,0.72,0.03,0.64,0.72,3,3,192.16,58.09,11.07,1.59,0.43,0.00,0.04,0.25,0.51,0.04,0.25,0.51,1,1,236.63,61.28,7.37,1.26,0.58,0.39,50.00
2026/04/28T15:00:57z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,73,39,46,1012.00,4.78,26248,0,699,0.05,0.40,0.57,0.05,0.40,0.57,2,2,174.62,51.21,6.95,2.17,0.38,0.17,0.38,0.67,1.00,0.38,0.67,1.00,3,3,359.02,85.13,11.20,0.91,0.51,0.33,50.00
2026/04/28T15:02:57z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,74,37,46,1012.01,4.79,26248,0,819,0.00,0.28,0.29,0.00,0.28,0.29,1,1,170.64,49.76,5.45,0.38,0.14,0.00,0.00,0.34,0.64,0.00,0.34,0.64,1,1,216.31,56.71,10.59,0.66,0.41,0.19,50.00
2026/04/28T15:04:57z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,36,46,1012.04,4.79,26248,0,939,0.05,0.43,1.50,0.05,0.43,1.50,2,2,171.70,50.73,8.80,2.59,1.79,1.25,0.08,0.20,0.66,0.08,0.20,0.66,1,1,272.69,64.78,5.76,1.20,0.88,0.66,50.00
2026/04/28T15:06:57z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,35,46,1012.00,4.79,26248,0,1059,0.22,0.67,0.79,0.22,0.67,0.79,3,3,200.17,58.17,10.53,0.86,0.48,0.03,0.19,0.29,0.53,0.19,0.29,0.53,1,1,214.53,50.90,6.12,0.83,0.59,0.39,50.00
2026/04/28T15:08:57z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,76,35,46,1012.03,4.79,26248,0,1179,0.00,0.29,0.64,0.00,0.29,0.64,1,1,157.37,46.34,7.10,1.69,0.64,0.41,0.21,0.77,1.05,0.21,0.77,1.05,3,3,262.02,70.91,11.52,1.20,0.38,0.38,50.00
