UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/06T00:01:58z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,32,48,1015.46,4.87,26248,0,821,7.85,9.86,11.10,7.85,9.86,11.10,41,41,1511.29,440.12,45.15,3.25,1.98,0.49,7.54,9.54,11.34,7.54,9.54,11.34,40,40,1479.10,407.93,56.15,4.05,2.59,1.64,92.64
2026/05/06T00:03:58z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,31,48,1015.45,4.87,26248,0,941,7.88,9.71,10.43,7.88,9.71,10.43,40,40,1505.79,437.55,40.70,3.20,1.36,0.21,7.27,9.17,9.73,7.27,9.17,9.73,38,38,1501.53,405.53,52.61,2.00,0.59,0.59,94.12
2026/05/06T00:05:58z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,31,48,1015.43,4.87,26248,0,1060,8.22,9.98,11.78,8.22,9.98,11.78,42,42,1575.56,449.47,45.25,4.47,3.05,0.71,7.29,9.27,9.98,7.29,9.27,9.98,39,39,1462.68,400.66,50.88,2.44,0.81,0.81,93.52
2026/05/06T00:07:58z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,32,47,1015.36,4.86,26248,0,1180,8.73,10.54,11.68,8.73,10.54,11.68,44,44,1560.05,456.61,45.03,4.29,1.92,0.32,7.89,10.05,11.59,7.89,10.05,11.59,42,42,1532.09,418.07,49.88,4.84,1.04,0.70,92.52
2026/05/06T00:09:38z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,32,47,1015.34,nan,26336,0,100,7.93,10.07,11.09,7.93,10.07,11.09,42,42,1495.47,437.58,50.27,3.36,1.67,0.27,7.81,9.84,11.30,7.81,9.84,11.30,41,41,1512.14,410.40,50.79,3.56,2.07,1.53,nan
2026/05/06T00:11:38z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,33,47,1015.36,4.87,26248,0,220,8.03,9.56,10.69,8.03,9.56,10.69,40,40,1489.58,424.44,41.31,3.66,1.95,0.19,6.65,8.93,9.65,6.65,8.93,9.65,37,37,1375.74,367.86,51.23,2.09,1.07,0.26,92.42
2026/05/06T00:13:38z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,33,47,1015.34,4.86,25936,0,340,8.33,10.28,11.42,8.33,10.28,11.42,43,43,1507.16,441.96,40.93,4.14,1.81,0.47,7.03,9.60,11.65,7.03,9.60,11.65,40,40,1433.00,398.13,57.92,5.48,2.63,1.53,92.37
2026/05/06T00:15:38z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,33,47,1015.36,4.87,26248,0,460,8.04,10.11,10.61,8.04,10.11,10.61,42,42,1480.66,429.52,44.30,2.66,1.02,0.02,7.15,9.15,9.98,7.15,9.15,9.98,38,38,1420.95,387.13,57.48,2.70,1.18,1.02,93.19
2026/05/06T00:17:38z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,34,48,1015.37,4.87,26248,0,580,8.64,11.07,13.05,8.64,11.07,13.05,46,46,1594.34,470.00,51.12,5.91,3.36,0.88,6.59,8.59,9.45,6.59,8.59,9.45,36,36,1401.21,375.36,51.88,3.17,1.09,0.78,91.38
2026/05/06T00:19:38z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,33,47,1015.32,4.87,26248,0,700,7.90,9.85,10.81,7.90,9.85,10.81,41,41,1456.68,428.44,45.68,2.71,1.69,0.68,6.91,8.96,10.12,6.91,8.96,10.12,37,37,1447.23,388.66,54.62,2.62,1.57,1.27,90.72
