UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/08T00:00:42z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,22,40,1018.07,4.92,26248,0,940,3.54,4.89,6.02,3.54,4.89,6.02,20,20,765.16,223.73,25.54,3.29,1.98,0.21,3.33,4.66,5.40,3.33,4.66,5.40,19,19,714.57,203.91,28.53,3.47,1.12,0.17,50.00
2026/05/08T00:02:42z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,23,39,1018.00,4.92,26248,0,1060,3.17,4.34,5.00,3.17,4.34,5.00,18,18,734.49,215.05,25.69,2.58,1.17,0.00,3.64,4.74,5.36,3.64,4.74,5.36,20,20,746.64,218.29,27.21,1.95,1.10,0.09,50.00
2026/05/08T00:04:42z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,22,40,1017.98,4.92,26248,0,1180,3.83,4.88,6.20,3.83,4.88,6.20,20,20,760.07,220.97,32.12,3.24,2.14,0.25,3.16,4.30,5.23,3.16,4.30,5.23,18,18,732.21,210.82,27.77,2.09,1.61,0.47,50.00
2026/05/08T00:06:23z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,22,40,1017.96,nan,26336,0,100,4.07,5.17,7.04,4.07,5.17,7.04,22,22,800.87,236.37,31.83,4.67,3.09,0.59,3.51,4.67,5.93,3.51,4.67,5.93,19,19,744.00,214.26,30.23,3.44,2.09,0.49,nan
2026/05/08T00:08:23z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,23,39,1018.00,4.92,26248,0,220,3.17,3.78,5.44,3.17,3.78,5.44,16,16,701.19,205.25,24.08,3.39,2.97,0.36,2.77,3.95,4.51,2.77,3.95,4.51,16,16,705.16,208.09,25.21,2.35,1.00,0.00,50.00
2026/05/08T00:10:23z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,22,40,1017.97,4.92,26248,0,340,3.03,4.22,5.07,3.03,4.22,5.07,18,18,712.24,203.02,23.28,3.66,1.38,0.00,2.92,4.12,5.17,2.92,4.12,5.17,17,17,673.83,201.81,26.76,3.15,1.90,0.00,50.00
2026/05/08T00:12:23z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,21,40,1017.92,4.92,26248,0,460,2.95,4.02,4.64,2.95,4.02,4.64,17,17,665.73,188.86,22.52,2.21,0.93,0.09,2.57,3.95,4.47,2.57,3.95,4.47,16,16,657.31,189.00,26.21,2.71,0.88,0.24,50.00
2026/05/08T00:14:23z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,21,39,1017.93,4.92,26248,0,580,3.22,4.34,5.64,3.22,4.34,5.64,18,18,738.67,210.95,21.95,3.55,1.83,0.22,3.18,4.35,5.14,3.18,4.35,5.14,18,18,720.79,212.33,24.07,3.46,1.25,0.40,50.00
2026/05/08T00:16:23z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,21,39,1017.88,4.92,26248,0,700,3.08,4.50,5.85,3.08,4.50,5.85,19,19,716.35,206.33,29.48,4.08,2.23,0.37,3.59,4.95,5.88,3.59,4.95,5.88,21,21,727.18,213.96,32.55,3.25,1.11,0.52,50.00
2026/05/08T00:18:23z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,21,40,1017.89,4.92,26248,0,820,2.88,3.97,4.34,2.88,3.97,4.34,17,17,668.02,193.71,21.12,1.10,0.60,0.31,2.14,3.45,4.17,2.14,3.45,4.17,14,14,619.34,176.64,25.16,1.98,1.26,0.09,50.00
