UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/20T00:01:44z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,28,44,1023.34,4.94,25936,0,1060,2.12,2.68,4.03,2.12,2.68,4.03,11,11,469.63,135.08,19.42,2.73,1.66,1.44,1.48,2.31,3.43,1.48,2.31,3.43,10,10,421.71,120.67,13.84,3.31,1.31,0.81,70.32
2026/05/20T00:03:43z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,28,44,1023.33,4.93,26248,0,1180,2.48,3.57,4.35,2.48,3.57,4.35,15,15,571.50,167.67,24.45,2.02,1.10,0.88,1.80,2.43,3.20,1.80,2.43,3.20,10,10,455.68,127.98,17.27,2.98,1.14,0.46,73.15
2026/05/20T00:05:25z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,29,44,1023.30,nan,25712,0,100,1.93,2.49,3.04,1.93,2.49,3.04,10,10,516.93,146.53,17.36,1.60,0.89,0.58,1.16,2.40,3.23,1.16,2.40,3.23,10,10,489.28,135.49,20.72,3.12,1.35,1.00,nan
2026/05/20T00:07:25z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,28,44,1023.30,4.93,26248,0,220,2.17,3.08,3.95,2.17,3.08,3.95,13,13,525.25,151.42,14.37,2.92,1.39,0.92,2.05,2.46,3.21,2.05,2.46,3.21,10,10,511.74,141.89,13.39,1.09,0.79,0.12,75.04
2026/05/20T00:09:25z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,28,44,1023.29,4.93,26248,0,340,2.37,3.35,4.09,2.37,3.35,4.09,14,14,561.89,160.26,22.05,2.42,1.16,0.75,1.91,2.53,3.41,1.91,2.53,3.41,11,11,460.60,133.95,14.79,2.14,1.26,0.26,70.41
2026/05/20T00:11:25z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,28,44,1023.28,4.93,26248,0,460,2.22,3.05,3.95,2.22,3.05,3.95,13,13,532.96,153.16,15.82,2.35,1.11,0.64,1.88,2.34,2.68,1.88,2.34,2.68,10,10,505.58,137.44,12.15,1.02,0.34,0.17,74.58
2026/05/20T00:13:25z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,28,43,1023.25,4.93,26248,0,580,1.98,2.78,3.32,1.98,2.78,3.32,12,12,542.85,154.47,19.37,1.47,0.88,0.19,1.97,2.48,2.79,1.97,2.48,2.79,10,10,495.31,134.88,10.79,1.19,0.79,0.00,75.55
2026/05/20T00:15:25z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,28,44,1023.26,4.93,26248,0,700,1.66,2.57,3.16,1.66,2.57,3.16,11,11,536.59,153.40,17.47,1.59,0.95,0.36,2.00,2.68,3.30,2.00,2.68,3.30,11,11,490.71,141.23,11.88,2.21,1.07,0.50,73.84
2026/05/20T00:17:25z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,29,44,1023.22,4.93,26248,0,820,2.37,3.39,4.49,2.37,3.39,4.49,14,14,571.73,160.24,18.08,3.29,1.51,1.19,1.67,2.60,3.60,1.67,2.60,3.60,11,11,490.03,140.38,18.66,2.21,1.33,1.19,72.95
2026/05/20T00:19:25z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,29,44,1023.24,4.93,26248,0,940,2.11,3.14,3.66,2.11,3.14,3.66,13,13,570.11,165.66,19.59,1.86,1.04,0.55,2.22,2.95,3.57,2.22,2.95,3.57,12,12,559.66,152.72,15.00,2.17,0.74,0.64,73.20
