UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/19T00:01:24z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,19,37,1023.45,4.92,26248,0,700,1.39,1.78,1.95,1.39,1.78,1.95,7,7,375.15,107.75,12.97,0.49,0.29,0.00,1.14,2.00,2.55,1.14,2.00,2.55,8,8,377.73,104.16,12.95,2.46,0.79,0.70,95.86
2026/05/19T00:03:24z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,19,37,1023.46,4.92,26248,0,820,1.02,1.29,1.52,1.02,1.29,1.52,5,5,363.88,102.88,8.57,0.64,0.41,0.00,0.83,1.47,1.98,0.83,1.47,1.98,6,6,344.48,96.57,10.69,1.12,0.67,0.47,81.78
2026/05/19T00:05:24z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,19,37,1023.44,4.92,26248,0,940,1.14,1.45,2.16,1.14,1.45,2.16,6,6,364.93,97.50,14.38,1.32,0.64,0.21,0.97,1.63,2.08,0.97,1.63,2.08,7,7,351.46,100.10,11.56,2.02,0.46,0.24,80.26
2026/05/19T00:07:24z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,20,37,1023.38,4.92,26248,0,1060,1.09,1.71,2.17,1.09,1.71,2.17,7,7,352.40,101.95,11.47,1.47,0.76,0.24,0.90,1.69,2.05,0.90,1.69,2.05,7,7,360.72,105.24,13.52,1.57,0.57,0.21,76.93
2026/05/19T00:09:24z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,20,38,1023.37,4.92,26248,0,1180,0.98,1.62,2.02,0.98,1.62,2.02,7,7,377.55,107.93,12.35,1.63,0.85,0.00,1.19,1.91,2.14,1.19,1.91,2.14,8,8,395.58,115.40,11.42,2.47,0.54,0.00,78.16
2026/05/19T00:11:04z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,20,38,1023.38,nan,26368,0,100,1.17,1.85,2.30,1.17,1.85,2.30,8,8,409.89,116.67,13.91,1.67,0.57,0.26,1.24,2.10,2.38,1.24,2.10,2.38,9,9,415.00,115.55,12.38,2.43,0.45,0.24,nan
2026/05/19T00:13:04z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,20,38,1023.35,4.92,26280,0,220,1.22,1.78,2.07,1.22,1.78,2.07,7,7,366.20,105.68,9.63,1.63,0.44,0.44,1.20,1.79,3.18,1.20,1.79,3.18,7,7,381.38,111.02,13.25,2.95,1.95,1.12,76.54
2026/05/19T00:15:04z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,21,38,1023.29,4.92,26280,0,340,1.71,2.76,3.12,1.71,2.76,3.12,11,11,465.93,131.91,20.02,1.86,0.47,0.00,1.44,2.03,3.00,1.44,2.03,3.00,8,8,395.95,113.20,12.08,3.22,1.31,0.92,76.05
2026/05/19T00:17:04z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,21,38,1023.32,4.92,26280,0,460,1.42,1.98,2.20,1.42,1.98,2.20,8,8,419.07,121.44,12.25,1.31,0.51,0.00,1.25,2.10,2.73,1.25,2.10,2.73,9,9,439.58,124.73,17.92,2.25,0.78,0.78,73.21
2026/05/19T00:19:04z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,21,38,1023.32,4.92,26248,0,580,1.53,2.02,2.15,1.53,2.02,2.15,8,8,387.31,115.85,12.92,0.54,0.20,0.00,1.42,2.14,2.95,1.42,2.14,2.95,9,9,432.95,124.60,15.70,2.75,1.28,0.30,89.89
