UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/15T00:00:52z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,40,39,1020.48,4.85,26248,0,1060,2.19,3.31,4.14,2.19,3.31,4.14,14,14,541.19,152.03,20.36,2.53,1.03,0.84,1.93,2.98,4.05,1.93,2.98,4.05,12,12,504.78,143.41,17.55,3.72,1.34,1.09,50.00
2026/05/15T00:02:51z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,40,40,1020.36,4.85,26248,0,1180,2.10,3.08,4.70,2.10,3.08,4.70,13,13,570.30,164.35,21.25,3.17,2.28,1.65,1.75,3.09,3.41,1.75,3.09,3.41,13,13,475.07,134.21,20.41,2.71,0.66,0.00,50.00
2026/05/15T00:04:33z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,41,38,1020.62,nan,26336,0,100,1.98,3.11,5.51,1.98,3.11,5.51,13,13,536.27,149.07,22.36,5.11,3.00,2.33,1.65,2.72,4.49,1.65,2.72,4.49,11,11,492.63,142.42,18.70,3.53,2.56,1.70,nan
2026/05/15T00:06:33z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,61,43,38,1020.64,4.85,26248,0,220,2.15,2.78,3.37,2.15,2.78,3.37,12,12,501.00,141.00,13.93,2.05,0.95,0.41,1.62,2.57,3.66,1.62,2.57,3.66,11,11,496.03,136.57,17.21,2.38,1.57,0.90,50.00
2026/05/15T00:08:33z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,61,45,39,1020.63,4.85,26248,0,340,1.86,2.74,4.33,1.86,2.74,4.33,11,11,536.16,148.61,17.21,4.00,2.23,1.44,1.71,2.49,2.83,1.71,2.49,2.83,10,10,437.14,122.81,18.19,1.41,0.42,0.42,50.00
2026/05/15T00:10:33z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,61,45,39,1020.68,4.85,26248,0,460,1.68,2.55,3.38,1.68,2.55,3.38,11,11,540.59,154.04,16.84,1.93,1.07,0.82,2.00,2.97,3.88,2.00,2.97,3.88,12,12,488.03,140.37,19.51,2.85,1.34,0.73,50.00
2026/05/15T00:12:33z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,60,45,38,1020.59,4.85,26248,0,580,1.71,2.59,4.53,1.71,2.59,4.53,11,11,480.36,133.28,18.47,3.84,2.78,1.76,1.88,3.00,3.72,1.88,3.00,3.72,13,13,473.79,133.47,20.21,3.26,0.77,0.40,50.00
2026/05/15T00:14:33z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,61,45,39,1020.56,4.85,26248,0,700,1.75,2.56,3.54,1.75,2.56,3.54,11,11,468.00,133.63,19.76,1.76,1.34,0.92,1.56,2.23,2.72,1.56,2.23,2.72,9,9,435.42,121.77,15.02,1.72,0.49,0.26,50.00
2026/05/15T00:16:33z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,61,44,39,1020.52,4.85,26248,0,820,1.65,2.42,3.32,1.65,2.42,3.32,10,10,474.79,133.44,14.09,1.82,1.09,0.88,2.17,3.32,3.86,2.17,3.32,3.86,14,14,512.54,147.93,23.19,2.75,0.80,0.44,50.00
2026/05/15T00:18:33z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,43,41,1020.44,4.85,26248,0,940,1.81,2.46,3.72,1.81,2.46,3.72,10,10,498.79,141.49,19.04,3.00,2.07,1.09,1.68,2.43,3.13,1.68,2.43,3.13,10,10,483.40,136.13,20.03,1.68,0.93,0.33,50.00
