UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/19T00:01:37z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,23,38,1023.41,4.88,26248,0,820,0.95,1.54,2.42,0.95,1.54,2.42,6,6,416.74,114.70,10.53,1.65,1.05,0.82,0.83,0.97,0.97,0.83,0.97,0.97,4,4,353.24,97.63,8.19,0.75,0.00,0.00,88.84
2026/05/19T00:03:37z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,24,39,1023.42,4.87,26248,0,940,1.32,1.74,2.25,1.32,1.74,2.25,7,7,414.42,111.12,9.18,1.46,0.60,0.28,1.07,1.52,1.78,1.07,1.52,1.78,6,6,346.80,94.22,7.02,1.63,0.35,0.35,77.58
2026/05/19T00:05:37z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,24,38,1023.38,4.88,26248,0,1060,1.33,1.79,3.03,1.33,1.79,3.03,7,7,414.00,114.66,17.62,2.12,1.81,1.03,1.12,1.31,1.41,1.12,1.31,1.41,5,5,340.81,97.72,7.72,0.26,0.10,0.10,75.40
2026/05/19T00:07:37z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,23,39,1023.35,4.88,26248,0,1180,1.03,1.62,2.69,1.03,1.62,2.69,7,7,421.45,111.22,13.33,3.71,1.48,0.45,0.81,1.74,2.09,0.81,1.74,2.09,7,7,379.60,106.43,13.22,1.48,0.38,0.38,71.75
2026/05/19T00:09:18z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,23,39,1023.33,nan,26432,0,100,1.15,1.83,2.39,1.15,1.83,2.39,8,8,433.17,115.63,9.41,1.85,0.78,0.48,1.05,1.57,1.81,1.05,1.57,1.81,7,7,354.14,99.93,7.95,1.24,0.31,0.31,nan
2026/05/19T00:11:18z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,24,39,1023.32,4.87,26344,0,220,1.10,1.65,1.73,1.10,1.65,1.73,7,7,425.85,119.70,6.95,0.55,0.25,0.25,0.66,1.38,1.67,0.66,1.38,1.67,6,6,358.71,101.29,8.17,1.34,0.48,0.26,74.64
2026/05/19T00:13:18z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,24,39,1023.29,4.88,26032,0,340,0.96,1.35,2.05,0.96,1.35,2.05,6,6,416.42,111.77,7.58,2.00,1.05,0.53,0.76,1.29,1.34,0.76,1.29,1.34,5,5,345.92,94.19,8.32,0.98,0.19,0.00,72.39
2026/05/19T00:15:18z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,24,40,1023.28,4.87,26344,0,460,1.77,2.07,2.41,1.77,2.07,2.41,9,9,465.86,128.71,10.12,1.57,0.43,0.23,0.95,1.66,2.15,0.95,1.66,2.15,7,7,378.36,107.15,12.78,1.81,0.53,0.41,71.02
2026/05/19T00:17:18z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,23,40,1023.21,4.88,26280,0,580,1.61,2.31,3.17,1.61,2.31,3.17,10,10,457.78,129.36,15.44,2.56,1.19,0.42,1.30,1.96,2.67,1.30,1.96,2.67,8,8,387.32,105.33,13.63,1.89,0.88,0.79,66.49
2026/05/19T00:19:18z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,24,39,1023.25,4.88,26248,0,700,1.33,1.95,3.77,1.33,1.95,3.77,8,8,441.35,124.55,13.42,3.15,2.30,1.90,1.23,1.79,2.36,1.23,1.79,2.36,7,7,374.14,104.79,12.25,2.25,0.89,0.21,90.31
