UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/20T00:01:47z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,21,44,1023.19,4.86,26248,0,580,1.66,2.59,2.90,1.66,2.59,2.90,11,11,554.90,144.85,17.34,1.02,0.34,0.17,1.90,2.36,2.68,1.90,2.36,2.68,10,10,515.19,144.93,15.08,1.19,0.54,0.00,61.22
2026/05/20T00:03:47z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,22,42,1023.20,4.86,26248,0,699,2.19,3.15,3.64,2.19,3.15,3.64,13,13,593.19,149.02,16.66,2.85,0.49,0.25,1.96,2.76,3.40,1.96,2.76,3.40,12,12,513.11,145.00,21.82,2.33,1.02,0.40,66.94
2026/05/20T00:05:47z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,22,44,1023.18,4.86,26248,0,819,1.98,2.90,3.79,1.98,2.90,3.79,12,12,553.81,151.19,19.95,2.52,0.97,0.50,1.84,3.16,4.12,1.84,3.16,4.12,13,13,516.05,153.64,23.53,3.09,1.55,0.29,69.30
2026/05/20T00:07:47z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,22,44,1023.15,4.86,26248,0,939,1.88,2.82,3.38,1.88,2.82,3.38,12,12,553.12,136.36,17.48,1.84,0.84,0.00,1.53,2.57,3.08,1.53,2.57,3.08,11,11,479.20,137.60,16.90,2.25,0.95,0.08,67.34
2026/05/20T00:09:47z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,23,43,1023.19,4.86,26248,0,1059,1.31,2.40,2.84,1.31,2.40,2.84,10,10,502.50,135.21,20.31,2.17,0.83,0.00,1.63,2.46,2.97,1.63,2.46,2.97,10,10,490.32,136.90,18.14,2.10,0.76,0.17,65.94
2026/05/20T00:11:47z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,23,42,1023.18,4.86,26248,0,1179,1.97,2.98,3.10,1.97,2.98,3.10,12,12,547.35,138.02,18.70,1.87,0.28,0.00,1.96,2.79,3.36,1.96,2.79,3.36,12,12,522.64,140.46,16.48,1.39,1.00,0.38,69.58
2026/05/20T00:13:27z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,23,43,1023.16,nan,26336,0,100,2.07,2.89,2.96,2.07,2.89,2.96,12,12,543.47,143.76,17.60,0.67,0.44,0.00,2.07,3.28,3.63,2.07,3.28,3.63,14,14,529.74,150.02,19.35,2.33,0.63,0.05,nan
2026/05/20T00:15:27z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,24,42,1023.20,4.86,26248,0,220,2.10,3.41,3.98,2.10,3.41,3.98,14,14,618.61,158.90,22.47,2.36,0.88,0.34,1.81,2.72,3.39,1.81,2.72,3.39,11,11,524.16,152.65,16.82,2.14,0.89,0.46,65.46
2026/05/20T00:17:27z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,24,44,1023.10,4.86,26248,0,340,2.40,3.14,3.28,2.40,3.14,3.28,13,13,617.42,159.16,24.88,1.60,0.30,0.05,1.80,2.64,3.15,1.80,2.64,3.15,11,11,502.83,143.37,14.41,1.41,0.80,0.22,67.50
2026/05/20T00:19:27z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,23,44,1023.13,4.86,26248,0,460,2.27,3.20,3.52,2.27,3.20,3.52,13,13,594.27,162.73,18.95,1.18,0.68,0.27,1.59,2.36,2.64,1.59,2.36,2.64,10,10,489.05,135.00,12.72,1.19,0.45,0.00,67.04
