UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/19T00:00:09z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,20,38,1023.36,4.95,26248,0,579,1.08,1.51,1.58,1.08,1.51,1.58,6,6,367.02,100.27,7.08,0.83,0.00,0.00,0.84,1.33,1.42,0.84,1.33,1.42,6,6,393.00,106.35,8.72,0.18,0.09,0.09,80.12
2026/05/19T00:02:09z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,20,38,1023.33,4.95,26248,0,699,0.75,1.36,1.86,0.75,1.36,1.86,6,6,391.73,108.69,10.22,1.39,0.51,0.51,0.91,1.49,1.89,0.91,1.49,1.89,6,6,356.68,100.54,10.42,1.61,0.81,0.12,82.14
2026/05/19T00:04:09z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,20,38,1023.34,4.95,26248,0,819,1.24,1.76,2.19,1.24,1.76,2.19,7,7,377.12,105.21,9.17,1.74,0.55,0.55,1.05,1.61,1.83,1.05,1.61,1.83,7,7,362.03,98.07,11.07,0.75,0.37,0.00,78.34
2026/05/19T00:06:09z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,20,38,1023.30,4.95,26248,0,939,1.17,1.91,2.60,1.17,1.91,2.60,8,8,386.74,109.64,12.14,1.93,0.91,0.91,0.93,1.78,2.95,0.93,1.78,2.95,7,7,360.10,96.56,11.20,3.98,1.31,0.92,74.31
2026/05/19T00:08:09z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,20,38,1023.30,4.95,26248,0,1059,1.17,1.78,2.43,1.17,1.78,2.43,7,7,420.21,117.33,8.19,1.17,0.90,0.90,1.00,1.47,2.51,1.00,1.47,2.51,6,6,361.53,100.78,7.86,1.92,1.53,0.37,72.43
2026/05/19T00:10:09z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,21,38,1023.27,4.95,26248,0,1179,0.92,1.71,2.56,0.92,1.71,2.56,7,7,372.86,107.22,10.03,1.88,0.73,0.73,0.84,1.64,2.32,0.84,1.64,2.32,7,7,391.61,105.45,10.73,2.62,1.14,0.46,76.92
2026/05/19T00:11:49z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,21,39,1023.25,nan,26432,0,99,1.58,2.00,2.67,1.58,2.00,2.67,8,8,443.93,126.67,10.76,1.18,0.67,0.67,1.17,1.88,2.05,1.17,1.88,2.05,8,8,419.57,119.40,8.21,0.83,0.50,0.00,nan
2026/05/19T00:13:49z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,21,39,1023.26,4.95,26344,0,219,1.29,1.57,1.69,1.29,1.57,1.69,7,7,376.86,107.98,6.93,0.72,0.12,0.12,0.95,1.61,1.79,0.95,1.61,1.79,7,7,375.37,102.26,8.21,1.02,0.26,0.00,70.12
2026/05/19T00:15:49z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,22,38,1023.26,4.95,26344,0,339,1.36,2.00,2.64,1.36,2.00,2.64,8,8,437.59,120.90,10.45,1.74,0.81,0.62,1.88,2.36,2.92,1.88,2.36,2.92,10,10,452.14,128.12,13.88,1.24,0.73,0.49,69.21
2026/05/19T00:17:49z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,22,39,1023.19,4.95,26344,0,459,1.38,1.50,2.11,1.38,1.50,2.11,6,6,459.21,126.02,7.02,1.38,0.46,0.46,1.12,1.97,2.80,1.12,1.97,2.80,8,8,408.40,110.23,11.28,2.17,1.25,0.42,65.17
2026/05/19T00:19:49z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,21,39,1023.19,4.95,26248,0,579,1.44,2.03,2.58,1.44,2.03,2.58,8,8,415.27,115.14,10.27,2.53,0.69,0.46,0.90,1.52,1.93,0.90,1.52,1.93,6,6,381.47,105.02,11.64,1.48,0.66,0.00,90.02
2026/05/19T00:21:49z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,22,38,1023.20,4.95,26248,0,699,1.36,1.84,2.79,1.36,1.84,2.79,8,8,430.91,119.53,12.55,2.26,1.17,1.17,1.45,1.91,3.11,1.45,1.91,3.11,8,8,463.61,125.00,10.88,2.79,1.80,0.98,63.24
2026/05/19T00:23:49z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,22,40,1023.18,4.95,26248,0,819,1.32,1.92,2.46,1.32,1.92,2.46,8,8,464.24,130.47,13.17,1.10,0.51,0.51,1.56,1.86,2.34,1.56,1.86,2.34,8,8,428.49,119.25,13.22,0.75,0.51,0.00,63.86
2026/05/19T00:25:49z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,22,39,1023.20,4.94,26248,0,939,1.82,2.45,3.12,1.82,2.45,3.12,10,10,462.54,130.25,15.43,2.46,0.59,0.59,1.24,1.61,2.34,1.24,1.61,2.34,7,7,427.02,115.39,8.41,1.64,1.20,0.49,65.81
2026/05/19T00:27:49z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,22,39,1023.21,4.94,26248,0,1059,1.97,2.45,3.16,1.97,2.45,3.16,10,10,490.03,135.47,11.83,2.03,0.62,0.62,1.47,2.03,3.36,1.47,2.03,3.36,8,8,441.98,121.81,13.31,2.91,2.07,0.93,69.64
2026/05/19T00:29:49z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,23,39,1023.20,4.94,26248,0,1179,1.31,2.00,2.22,1.31,2.00,2.22,8,8,446.44,121.80,10.76,1.61,0.00,0.00,1.30,2.11,2.44,1.30,2.11,2.44,9,9,430.05,115.49,12.98,1.72,0.44,0.11,69.69
2026/05/19T00:31:30z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,23,39,1023.19,nan,26432,0,100,1.98,2.29,3.13,1.98,2.29,3.13,10,10,464.80,134.49,16.18,1.64,1.09,0.82,1.64,2.17,3.24,1.64,2.17,3.24,9,9,479.86,133.36,12.57,2.33,1.52,0.55,nan
