UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/18T00:01:27z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,19,35,1024.97,4.87,26280,0,580,0.47,0.98,1.07,0.47,0.98,1.07,4,4,251.12,71.29,6.09,1.26,0.24,0.00,0.09,0.68,0.79,0.09,0.68,0.79,3,3,232.47,63.68,4.65,0.47,0.25,0.00,102.89
2026/05/18T00:03:27z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,19,35,1024.94,4.87,26280,0,700,0.17,0.56,0.86,0.17,0.56,0.86,2,2,238.88,70.24,7.69,1.15,0.49,0.00,0.49,0.86,1.14,0.49,0.86,1.14,4,4,288.05,77.89,7.21,0.65,0.46,0.14,103.80
2026/05/18T00:05:27z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,18,36,1024.88,4.86,26280,0,820,0.53,0.65,0.84,0.53,0.65,0.84,3,3,280.21,79.93,7.44,0.79,0.39,0.00,0.52,0.67,1.48,0.52,0.67,1.48,3,3,291.10,81.85,7.65,1.00,0.92,0.50,106.25
2026/05/18T00:07:27z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,18,35,1024.88,4.86,26280,0,940,0.47,1.02,1.19,0.47,1.02,1.19,4,4,285.10,78.57,8.26,0.93,0.22,0.22,0.56,0.71,0.93,0.56,0.71,0.93,3,3,304.58,85.98,6.88,1.03,0.27,0.08,103.12
2026/05/18T00:09:27z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,18,36,1024.83,4.86,26280,0,1060,0.45,0.84,1.33,0.45,0.84,1.33,4,4,269.69,78.16,6.64,1.57,0.84,0.00,0.97,1.22,1.79,0.97,1.22,1.79,5,5,331.55,93.64,9.28,1.29,0.79,0.36,100.93
2026/05/18T00:11:27z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,19,35,1024.86,4.87,26280,0,1180,0.27,0.76,1.32,0.27,0.76,1.32,3,3,280.37,77.39,5.32,1.29,0.75,0.75,0.62,0.66,0.89,0.62,0.66,0.89,3,3,297.21,85.29,6.20,0.54,0.23,0.02,101.21
2026/05/18T00:13:07z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,19,35,1024.83,nan,26432,0,99,0.07,0.76,0.87,0.07,0.76,0.87,3,3,230.20,67.31,6.27,1.16,0.27,0.00,0.88,1.12,1.26,0.88,1.12,1.26,5,5,311.16,88.12,7.47,0.70,0.14,0.14,nan
2026/05/18T00:15:07z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,18,35,1024.78,4.86,26344,0,219,0.69,0.93,1.12,0.69,0.93,1.12,4,4,268.29,75.53,5.88,1.57,0.24,0.00,0.32,0.64,1.25,0.32,0.64,1.25,3,3,258.86,69.46,4.39,1.07,0.89,0.20,101.34
2026/05/18T00:17:07z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,19,34,1024.85,4.86,26344,0,339,0.30,0.53,0.82,0.30,0.53,0.82,2,2,237.53,67.07,7.44,0.67,0.42,0.00,0.51,0.73,0.73,0.51,0.73,0.73,3,3,268.37,70.39,4.80,0.41,0.00,0.00,101.53
2026/05/18T00:19:07z,f0:24:f9:c6:bd:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,18,34,1024.84,4.86,26344,0,459,0.07,0.40,0.78,0.07,0.40,0.78,2,2,212.24,56.36,6.87,0.84,0.44,0.44,0.07,0.10,0.34,0.07,0.10,0.34,0,0,221.80,60.78,4.64,0.32,0.32,0.15,103.42
