UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/14T00:01:04z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,42,46,1017.54,4.94,26248,0,1060,0.37,1.23,2.65,0.37,1.23,2.65,5,5,251.32,66.96,13.32,4.51,2.12,0.67,0.34,0.86,1.59,0.34,0.86,1.59,4,4,246.98,70.53,10.66,2.83,1.12,0.38,83.14
2026/05/14T00:03:04z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,43,46,1017.62,4.94,26248,0,1180,0.63,1.65,3.50,0.63,1.65,3.50,7,7,285.85,80.13,16.17,5.15,2.77,1.28,0.33,1.35,3.91,0.33,1.35,3.91,6,6,236.95,66.74,16.60,7.60,4.28,0.09,83.02
2026/05/14T00:04:44z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,45,45,1017.53,nan,26336,0,100,0.16,1.40,3.87,0.16,1.40,3.87,6,6,269.60,73.80,16.69,6.51,3.60,0.73,0.30,1.47,2.70,0.30,1.47,2.70,6,6,245.02,70.40,13.91,3.95,2.02,0.53,nan
2026/05/14T00:06:44z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,44,47,1017.65,4.94,26248,0,220,0.32,0.95,2.85,0.32,0.95,2.85,4,4,225.05,65.14,12.27,4.39,3.07,1.08,0.38,1.52,2.29,0.38,1.52,2.29,6,6,253.29,76.18,13.43,4.16,1.48,0.00,82.79
2026/05/14T00:08:44z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,43,46,1017.70,4.94,26248,0,340,0.45,1.50,3.05,0.45,1.50,3.05,6,6,240.67,68.93,15.74,4.60,2.33,1.40,0.03,0.80,1.63,0.03,0.80,1.63,3,3,210.81,57.64,11.12,3.68,1.58,0.17,80.47
2026/05/14T00:10:44z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,43,46,1017.66,4.94,26248,0,460,0.40,1.42,2.78,0.40,1.42,2.78,6,6,268.69,75.91,16.25,3.82,1.98,0.40,0.03,0.81,3.03,0.03,0.81,3.03,3,3,262.17,76.39,16.95,4.86,3.76,0.47,82.61
2026/05/14T00:12:44z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,44,45,1017.76,4.94,26248,0,580,0.00,1.27,1.80,0.00,1.27,1.80,5,5,226.83,62.75,13.19,2.47,0.95,0.42,0.04,0.81,1.40,0.04,0.81,1.40,3,3,219.79,61.37,11.74,2.18,0.95,0.46,82.28
2026/05/14T00:14:44z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,45,45,1017.65,4.94,26248,0,700,0.64,1.59,3.31,0.64,1.59,3.31,7,7,285.15,85.10,15.32,4.19,2.46,1.29,0.58,1.84,3.40,0.58,1.84,3.40,8,8,286.89,83.91,16.51,5.77,2.68,0.19,83.40
2026/05/14T00:16:44z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,44,47,1017.63,4.94,26248,0,820,0.97,2.63,4.44,0.97,2.63,4.44,11,11,347.80,103.58,24.86,6.37,2.85,0.83,0.48,2.28,4.43,0.48,2.28,4.43,9,9,324.16,93.93,21.88,7.78,3.38,0.59,84.46
2026/05/14T00:18:44z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,42,47,1017.73,4.94,26248,0,940,0.04,1.02,2.18,0.04,1.02,2.18,4,4,214.91,62.36,11.62,3.55,1.75,0.91,0.22,1.27,2.45,0.22,1.27,2.45,5,5,254.80,74.23,17.72,5.07,2.03,0.25,83.89
2026/05/14T00:20:44z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,41,46,1017.68,4.94,26248,0,1060,0.17,0.78,1.47,0.17,0.78,1.47,3,3,258.66,72.76,7.15,1.58,1.05,0.56,0.03,0.36,0.79,0.03,0.36,0.79,2,2,200.43,59.83,7.93,2.26,0.88,0.00,81.92
2026/05/14T00:22:44z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,40,46,1017.78,4.94,26248,0,1180,0.09,0.90,1.91,0.09,0.90,1.91,4,4,240.16,62.52,10.21,2.98,1.33,0.88,0.00,0.56,1.51,0.00,0.56,1.51,2,2,221.47,59.07,13.11,3.11,1.93,0.00,83.17
2026/05/14T00:24:25z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,39,46,1017.90,nan,26336,0,100,0.13,0.96,2.51,0.13,0.96,2.51,4,4,231.27,66.64,12.60,3.51,2.16,0.93,0.14,0.67,1.40,0.14,0.67,1.40,3,3,215.58,64.07,10.28,2.16,1.42,0.51,nan
2026/05/14T00:26:25z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,41,45,1017.89,4.94,26248,0,220,0.90,1.61,3.90,0.90,1.61,3.90,7,7,288.00,84.24,19.20,5.34,3.02,1.49,0.30,1.61,3.20,0.30,1.61,3.20,7,7,281.84,81.80,19.32,5.95,2.14,0.80,81.90
2026/05/14T00:28:25z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,41,46,1018.03,4.94,26248,0,340,0.14,0.74,1.42,0.14,0.74,1.42,3,3,226.79,61.63,8.70,2.30,0.84,0.33,0.42,0.88,1.56,0.42,0.88,1.56,4,4,260.08,72.46,10.78,3.08,1.24,0.17,84.80
2026/05/14T00:30:25z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,40,45,1017.97,4.94,26248,0,460,0.36,1.05,2.00,0.36,1.05,2.00,4,4,249.70,69.07,10.98,3.70,1.36,0.54,0.17,1.07,2.53,0.17,1.07,2.53,4,4,246.31,71.56,10.88,3.61,2.41,0.00,85.54
2026/05/14T00:32:25z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,40,45,1018.00,4.94,25960,0,580,0.41,1.19,2.75,0.41,1.19,2.75,5,5,239.64,70.10,12.90,4.56,2.37,0.00,0.21,1.16,2.28,0.21,1.16,2.28,5,5,236.43,64.52,12.78,5.52,1.62,0.28,83.58
2026/05/14T00:34:25z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,41,44,1018.06,4.94,25960,0,700,0.21,1.09,2.29,0.21,1.09,2.29,5,5,224.02,65.03,11.78,3.50,1.64,0.50,0.43,1.02,2.30,0.43,1.02,2.30,4,4,263.25,75.09,11.73,2.77,1.80,0.55,84.85
2026/05/14T00:36:25z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,41,44,1018.13,4.94,26248,0,820,0.42,1.47,3.16,0.42,1.47,3.16,6,6,258.16,72.86,14.40,4.70,2.42,1.23,0.62,1.50,2.21,0.62,1.50,2.21,6,6,277.03,79.60,13.09,2.52,1.38,0.17,85.30
2026/05/14T00:38:25z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,42,44,1018.12,4.94,26248,0,940,0.32,1.27,2.05,0.32,1.25,2.05,5,5,279.10,74.61,9.03,2.29,1.25,0.59,0.17,1.19,3.09,0.17,1.19,3.09,5,5,236.95,67.93,12.88,6.41,3.33,0.60,84.91
2026/05/14T00:40:25z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,44,44,1018.20,4.94,26248,0,1060,0.42,1.39,3.28,0.42,1.39,3.28,6,6,278.21,80.46,15.32,4.42,2.60,1.02,0.78,1.78,3.97,0.78,1.78,3.97,7,7,325.86,89.57,17.97,6.24,3.74,0.76,87.40
2026/05/14T00:42:25z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,44,43,1018.11,4.94,26248,0,1180,0.39,1.29,3.51,0.39,1.29,3.51,5,5,272.95,75.75,12.80,5.54,3.41,1.68,0.89,1.95,2.93,0.89,1.95,2.93,8,8,326.21,94.19,15.12,3.67,1.39,0.95,86.97
2026/05/14T00:44:06z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,45,44,1018.20,nan,26336,0,100,0.89,2.38,3.84,0.89,2.38,3.84,10,10,352.07,99.36,19.42,5.24,2.53,0.91,1.35,2.63,4.40,1.35,2.63,4.40,11,11,384.84,112.70,22.93,4.28,2.65,1.12,nan
2026/05/14T00:46:06z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,46,45,1018.23,4.94,26248,0,220,1.20,2.59,4.75,1.20,2.59,4.75,11,11,424.47,116.03,25.14,5.46,2.97,1.34,1.05,2.56,3.47,1.05,2.56,3.47,11,11,364.00,104.84,17.28,5.05,1.35,0.04,86.56
2026/05/14T00:48:06z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,47,44,1018.28,4.94,26248,0,340,1.28,3.30,5.93,1.28,3.30,5.93,14,14,436.26,125.58,24.67,9.37,3.88,1.30,1.29,3.03,7.36,1.29,3.03,7.36,13,13,420.25,128.00,32.03,11.00,7.17,0.61,86.93
2026/05/14T00:50:06z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,47,45,1018.25,4.94,26248,0,460,1.00,2.77,4.55,1.00,2.77,4.55,12,12,366.27,104.70,22.64,7.30,2.55,0.82,1.10,2.98,5.35,1.10,2.98,5.35,12,12,367.10,108.47,25.92,9.12,3.95,0.45,85.51
2026/05/14T00:52:06z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,47,44,1018.20,4.94,26248,0,580,1.64,3.07,5.05,1.64,3.07,5.05,13,13,454.81,126.72,21.84,5.50,3.22,1.55,1.67,3.41,6.36,1.67,3.41,6.36,14,14,479.33,139.66,26.81,8.79,4.60,0.97,86.35
