UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/31T00:00:31z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,21,36,1026.03,4.98,26248,0,580,3.20,4.19,5.17,3.20,4.19,5.17,17,17,708.00,197.93,23.02,2.19,1.46,0.59,2.40,3.16,3.24,2.40,3.16,3.24,13,13,581.17,161.60,15.83,1.21,0.34,0.00,95.57
2026/05/31T00:02:31z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,21,37,1026.02,4.98,26248,0,700,2.78,3.54,4.61,2.78,3.54,4.61,15,15,658.37,183.02,14.51,2.90,1.97,0.17,2.23,3.20,3.89,2.23,3.20,3.89,13,13,558.38,155.09,21.04,2.43,1.39,0.00,93.11
2026/05/31T00:04:31z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,20,36,1026.00,4.98,26248,0,820,2.78,3.98,4.86,2.78,3.98,4.86,17,17,659.53,185.48,24.79,3.93,1.55,0.64,2.53,3.46,4.58,2.53,3.46,4.58,14,14,584.75,163.42,27.51,3.10,1.76,0.59,93.65
2026/05/31T00:06:31z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,20,36,1026.01,4.98,26248,0,940,3.48,4.62,6.12,3.48,4.62,6.12,19,19,752.57,210.14,27.25,4.09,2.43,0.36,1.86,2.55,3.16,1.86,2.55,3.16,11,11,552.88,159.55,17.79,1.24,0.84,0.47,93.72
2026/05/31T00:08:31z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,21,36,1026.05,4.98,26248,0,1060,3.11,4.25,5.42,3.11,4.25,5.42,18,18,700.00,195.18,22.46,4.40,2.19,0.16,2.05,3.03,3.58,2.05,3.03,3.58,13,13,557.39,164.69,17.37,2.83,0.98,0.25,95.53
2026/05/31T00:10:31z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,21,36,1026.04,4.98,26248,0,1180,3.03,3.97,4.66,3.03,3.97,4.66,17,17,704.39,186.73,19.56,2.34,0.92,0.51,2.29,3.57,4.25,2.29,3.57,4.25,15,15,555.38,159.45,20.73,2.70,0.95,0.50,99.71
2026/05/31T00:12:11z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,22,36,1026.05,nan,26336,0,99,2.80,3.59,4.91,2.80,3.59,4.91,15,15,751.83,202.35,21.13,2.87,2.15,0.54,1.86,2.88,3.30,1.86,2.88,3.30,12,12,481.67,138.09,17.37,2.77,0.65,0.00,nan
2026/05/31T00:14:11z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,22,36,1026.12,4.98,26248,0,219,3.72,5.14,6.67,3.72,5.14,6.67,21,21,880.45,241.28,24.38,6.00,2.55,0.26,1.71,3.11,3.36,1.71,3.11,3.36,13,13,522.21,149.86,21.09,3.16,0.25,0.02,94.44
2026/05/31T00:16:11z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,76,23,36,1026.12,4.98,26248,0,339,3.19,4.33,6.42,3.19,4.33,6.42,18,18,772.00,206.05,23.16,6.14,3.28,1.09,1.75,2.83,3.22,1.75,2.83,3.22,12,12,510.20,140.92,16.19,2.08,1.03,0.41,90.13
2026/05/31T00:18:11z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,24,35,1026.09,4.98,26248,0,459,3.62,5.07,5.61,3.62,5.07,5.61,21,21,811.02,215.52,24.75,3.96,0.75,0.21,1.98,2.98,3.84,1.98,2.98,3.84,12,12,531.10,149.00,17.59,2.60,1.45,0.60,89.63
