UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/06/01T00:00:49z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,16,33,1024.84,4.95,26248,0,940,1.95,2.33,2.36,1.95,2.33,2.36,10,10,450.11,140.29,8.98,0.42,0.04,0.04,0.71,1.20,1.41,0.71,1.20,1.41,5,5,272.39,77.93,11.08,1.58,0.27,0.00,96.49
2026/06/01T00:02:49z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,17,33,1024.92,4.96,26248,0,1060,2.63,3.68,4.21,2.63,3.68,4.21,15,15,574.95,177.63,15.05,4.11,0.81,0.60,1.17,1.52,2.40,1.17,1.52,2.40,6,6,337.97,99.48,14.05,2.10,1.09,0.45,97.40
2026/06/01T00:04:49z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,18,33,1024.89,4.96,26248,0,1180,1.53,1.93,2.48,1.53,1.93,2.48,8,8,439.29,130.34,10.66,1.48,0.95,0.47,0.27,0.53,0.67,0.27,0.53,0.67,2,2,268.80,73.47,7.84,0.62,0.16,0.00,96.70
2026/06/01T00:06:30z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,18,33,1024.97,nan,26336,0,100,1.24,1.73,2.51,1.24,1.73,2.51,7,7,441.47,136.22,12.64,1.40,1.09,0.00,0.40,0.67,0.67,0.40,0.67,0.67,3,3,267.00,71.50,10.12,1.14,0.33,0.00,nan
2026/06/01T00:08:30z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,18,34,1024.85,4.96,26248,0,220,1.60,2.05,2.60,1.60,2.05,2.60,9,9,442.81,132.55,10.41,1.05,0.86,0.05,0.75,1.00,1.32,0.75,1.00,1.32,4,4,288.63,84.47,7.91,0.89,0.26,0.00,97.96
2026/06/01T00:10:30z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,18,33,1024.84,4.96,26248,0,340,1.75,2.45,2.73,1.75,2.45,2.73,10,10,467.09,138.14,12.61,0.91,0.50,0.16,0.97,1.25,1.32,0.97,1.25,1.32,5,5,312.41,85.41,7.36,0.92,0.39,0.03,97.14
2026/06/01T00:12:30z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,18,34,1024.85,4.96,26248,0,460,1.66,2.30,2.96,1.66,2.30,2.96,10,10,415.02,130.77,14.93,1.32,1.07,0.27,0.78,1.37,1.47,0.78,1.37,1.47,6,6,334.58,94.58,12.98,0.64,0.15,0.15,95.83
2026/06/01T00:14:30z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,18,34,1024.79,4.96,26248,0,580,1.36,1.90,1.90,1.36,1.90,1.90,8,8,440.53,134.60,11.62,0.38,0.09,0.00,0.74,0.89,1.18,0.74,0.89,1.18,4,4,278.26,76.00,7.33,0.67,0.46,0.00,95.54
2026/06/01T00:16:30z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,18,34,1024.74,4.96,26248,0,700,1.75,2.05,2.41,1.75,2.05,2.41,9,9,506.80,152.73,10.75,1.42,0.68,0.00,0.65,1.00,1.16,0.65,1.00,1.16,4,4,309.89,83.82,11.09,0.63,0.25,0.00,98.99
2026/06/01T00:18:30z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,18,33,1024.76,4.96,26248,0,820,2.40,2.76,3.90,2.40,2.76,3.90,11,11,555.47,172.12,12.43,2.21,1.88,0.67,0.62,0.67,1.05,0.62,0.67,1.05,3,3,319.86,89.66,9.05,0.84,0.64,0.03,99.84
2026/06/01T00:20:30z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,18,34,1024.73,4.96,26248,0,940,2.25,3.11,3.73,2.25,3.11,3.73,13,13,573.65,174.93,13.27,1.64,1.22,0.24,0.80,1.46,2.02,0.80,1.46,2.02,6,6,300.05,87.69,11.47,1.78,0.85,0.42,96.38
2026/06/01T00:22:30z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,18,34,1024.71,4.96,26248,0,1060,2.05,2.81,3.17,2.05,2.81,3.17,12,12,560.64,171.50,15.31,1.33,0.71,0.00,1.00,1.53,1.69,1.00,1.53,1.69,6,6,290.48,83.76,12.55,1.26,0.21,0.00,95.37
2026/06/01T00:24:30z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,17,33,1024.70,4.96,26248,0,1180,1.81,2.27,2.78,1.81,2.27,2.78,9,9,468.00,140.46,9.29,1.08,0.59,0.59,0.96,1.29,1.29,0.96,1.29,1.29,5,5,305.02,86.20,11.24,0.00,0.00,0.00,96.86
2026/06/01T00:26:11z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,17,35,1024.72,nan,26336,0,101,2.11,2.54,2.89,2.11,2.54,2.89,11,11,483.33,149.59,8.61,1.17,0.57,0.02,0.64,1.00,1.52,0.64,1.00,1.52,4,4,345.71,88.24,15.19,1.57,1.00,0.24,nan
2026/06/01T00:28:11z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,17,34,1024.67,4.95,26248,0,221,2.02,2.50,3.00,2.02,2.50,3.00,10,10,483.05,145.15,13.12,1.00,0.77,0.00,0.84,1.26,1.63,0.84,1.26,1.63,5,5,301.37,85.67,9.35,2.05,0.58,0.00,96.01
2026/06/01T00:30:11z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,18,34,1024.70,4.96,26248,0,341,1.98,2.49,2.51,1.98,2.49,2.51,10,10,541.16,166.39,9.89,0.86,0.26,0.00,0.59,0.83,1.39,0.59,0.83,1.39,3,3,315.66,84.44,9.54,1.39,0.81,0.17,98.50
2026/06/01T00:32:11z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,18,34,1024.71,4.96,26248,0,461,1.72,2.23,2.88,1.72,2.23,2.88,9,9,516.84,156.40,9.91,1.56,1.26,0.21,0.71,1.26,1.31,0.71,1.26,1.31,5,5,308.69,85.88,10.86,1.09,0.26,0.00,97.04
2026/06/01T00:34:11z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,18,34,1024.65,4.96,26248,0,581,1.75,2.24,2.24,1.75,2.24,2.24,9,9,462.76,138.41,10.64,0.75,0.00,0.00,0.65,1.35,1.46,0.65,1.35,1.46,6,6,327.84,92.40,12.00,1.58,0.00,0.00,97.46
2026/06/01T00:36:11z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,19,34,1024.66,4.95,26248,0,701,2.00,2.80,3.17,2.00,2.80,3.17,12,12,492.15,150.56,15.15,1.95,0.78,0.00,1.00,1.11,1.11,1.00,1.11,1.11,5,5,337.61,95.04,7.70,0.14,0.00,0.00,98.43
2026/06/01T00:38:11z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,18,34,1024.63,4.95,26248,0,821,1.65,2.14,2.18,1.65,2.14,2.18,9,9,456.42,140.49,8.46,1.14,0.04,0.00,0.95,1.24,1.24,0.95,1.24,1.24,5,5,313.93,89.41,9.51,0.32,0.00,0.00,96.27
2026/06/01T00:40:11z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,18,34,1024.58,4.95,26248,0,941,2.49,3.11,3.33,2.51,3.11,3.33,13,13,618.42,183.33,10.49,0.74,0.58,0.00,0.68,1.68,1.97,0.68,1.68,1.97,7,7,354.00,100.47,18.15,1.37,0.42,0.02,101.32
2026/06/01T00:42:11z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,18,34,1024.60,4.95,26248,0,1061,2.69,3.03,4.40,2.69,3.03,4.40,13,13,647.95,193.14,9.41,2.14,1.90,0.57,0.73,1.12,1.25,0.73,1.12,1.25,5,5,291.71,85.14,12.47,1.08,0.17,0.17,98.01
2026/06/01T00:44:11z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,19,34,1024.61,4.95,26248,0,1181,1.88,2.40,2.86,1.88,2.40,2.86,10,10,470.90,145.64,12.59,1.50,0.83,0.19,0.54,1.00,1.39,0.54,1.00,1.39,4,4,268.07,75.14,8.54,1.16,0.59,0.21,97.71
2026/06/01T00:45:51z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,19,34,1024.61,nan,26336,0,100,2.09,2.78,2.96,2.09,2.78,2.96,12,12,497.20,151.64,13.76,1.80,0.56,0.00,0.88,1.29,1.62,0.88,1.29,1.62,5,5,300.00,84.57,8.71,1.36,0.55,0.31,nan
