UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/31T00:01:40z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,21,35,1025.82,4.94,26248,0,1060,2.62,3.93,5.55,2.62,3.93,5.55,16,16,647.33,196.22,25.48,5.00,2.24,0.76,1.84,3.00,4.53,1.84,3.00,4.53,13,13,504.57,145.62,19.33,4.17,2.03,1.10,92.34
2026/05/31T00:03:40z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,20,36,1025.87,4.94,26248,0,1180,2.90,4.44,6.78,2.90,4.44,6.78,19,19,671.29,209.29,26.34,7.71,3.56,0.39,2.23,3.88,4.89,2.23,3.88,4.89,16,16,574.61,165.59,24.23,3.96,1.38,1.12,91.89
2026/05/31T00:05:21z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,20,37,1025.87,nan,26336,0,100,3.60,4.51,4.96,3.60,4.51,4.96,19,19,714.87,229.36,23.73,1.98,0.51,0.00,2.02,3.07,4.23,2.02,3.07,4.23,13,13,514.47,148.35,21.09,3.28,1.65,0.30,nan
2026/05/31T00:07:21z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,20,36,1025.86,4.94,26248,0,220,3.38,4.19,5.34,3.38,4.19,5.34,17,17,723.57,225.83,23.76,2.59,1.71,0.53,1.61,2.80,3.30,1.61,2.80,3.30,12,12,493.93,140.32,17.14,3.80,0.64,0.46,92.53
2026/05/31T00:09:21z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,20,36,1025.83,4.94,26248,0,340,2.46,3.40,3.93,2.46,3.40,3.93,14,14,588.11,188.51,21.05,1.82,0.68,0.51,1.83,3.24,5.36,1.83,3.24,5.36,13,13,493.98,146.58,25.78,6.58,2.29,1.83,97.32
2026/05/31T00:11:21z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,21,36,1025.89,4.94,26248,0,460,2.66,3.68,3.79,2.66,3.68,3.79,15,15,598.66,189.66,19.30,2.07,0.27,0.00,2.16,3.41,4.66,2.16,3.41,4.66,14,14,510.62,148.90,22.24,4.10,1.45,1.28,93.74
2026/05/31T00:13:21z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,22,36,1025.89,4.94,26248,0,580,2.73,3.52,3.93,2.73,3.52,3.93,15,15,587.60,184.88,16.43,2.08,0.52,0.00,1.77,3.39,3.79,1.77,3.39,3.79,14,14,491.26,140.77,21.67,4.11,0.40,0.18,93.49
2026/05/31T00:15:21z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,22,36,1025.89,4.94,26248,0,700,2.82,3.92,4.65,2.82,3.92,4.65,16,16,640.25,198.57,19.55,2.90,1.35,0.00,1.55,2.59,3.43,1.55,2.59,3.43,11,11,461.36,132.36,19.79,3.39,1.23,0.43,89.69
2026/05/31T00:17:21z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,23,36,1025.87,4.94,26248,0,820,2.62,3.72,4.72,2.62,3.72,4.72,16,16,573.88,181.71,20.53,3.64,1.55,0.22,1.73,3.27,4.34,1.73,3.27,4.34,14,14,490.07,136.46,24.86,4.46,1.53,0.66,86.27
2026/05/31T00:19:21z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,76,23,36,1025.94,4.94,26248,0,940,2.82,4.05,5.05,2.82,4.05,5.05,17,17,630.60,197.15,24.69,2.85,1.85,0.00,1.91,2.97,3.86,1.91,2.97,3.86,12,12,476.74,139.29,18.34,3.66,1.34,0.64,90.38
2026/05/31T00:21:21z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,23,36,1025.92,4.94,26248,0,1060,2.73,4.03,5.22,2.73,4.03,5.22,17,17,564.66,180.02,21.46,4.73,1.95,0.41,1.59,3.03,4.12,1.59,3.03,4.12,13,13,489.10,135.91,18.16,4.28,1.64,0.74,87.48
2026/05/31T00:23:21z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,22,36,1025.89,4.94,26248,0,1180,2.47,3.22,4.19,2.47,3.22,4.19,13,13,539.12,165.74,17.07,3.14,1.40,0.09,1.30,2.29,4.11,1.30,2.29,4.11,10,10,416.79,121.84,19.52,3.70,2.04,1.50,86.80
2026/05/31T00:25:02z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,23,36,1025.86,nan,26336,0,100,2.69,3.67,4.13,2.69,3.67,4.13,15,15,652.87,203.02,22.09,1.67,0.51,0.07,1.48,2.57,3.29,1.48,2.57,3.29,11,11,427.50,124.38,16.67,3.02,0.95,0.95,nan
2026/05/31T00:27:02z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,22,36,1025.83,4.94,26248,0,220,2.76,4.20,5.22,2.76,4.20,5.22,18,18,622.22,194.24,25.59,4.05,1.73,0.22,1.21,2.11,3.21,1.21,2.11,3.21,9,9,440.30,121.00,16.64,3.75,1.18,1.18,88.56
2026/05/31T00:29:02z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,22,37,1025.85,4.94,26248,0,340,2.32,3.37,4.33,2.32,3.37,4.33,14,14,551.11,174.53,18.14,3.82,1.25,0.23,1.20,2.36,2.56,1.20,2.36,2.56,10,10,429.10,122.08,16.85,2.25,0.20,0.20,88.22
2026/05/31T00:31:02z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,76,23,36,1025.85,4.94,26248,0,460,2.82,3.89,5.02,2.82,3.89,5.02,16,16,635.74,203.19,20.26,3.70,1.95,0.18,1.22,2.12,2.53,1.22,2.12,2.53,9,9,371.14,104.58,17.27,2.17,0.47,0.47,88.42
2026/05/31T00:33:02z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,23,35,1025.87,4.94,26248,0,580,2.28,3.36,4.09,2.28,3.36,4.09,14,14,559.71,174.50,17.26,3.09,1.19,0.24,1.79,3.04,3.56,1.79,3.04,3.56,13,13,429.26,125.23,20.47,4.47,0.65,0.44,89.31
2026/05/31T00:35:02z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,76,24,36,1025.84,4.94,26248,0,700,2.52,3.57,4.53,2.52,3.57,4.53,15,15,571.34,176.29,18.31,3.43,1.31,1.12,0.95,1.98,2.91,0.95,1.98,2.91,8,8,390.16,113.80,16.64,3.50,1.00,1.00,89.53
2026/05/31T00:37:02z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,76,24,36,1025.82,4.94,26248,0,820,2.46,3.72,4.30,2.46,3.72,4.30,15,15,577.89,179.26,19.86,3.60,0.84,0.19,1.00,1.92,2.80,1.00,1.92,2.80,8,8,430.83,119.71,13.68,2.92,1.27,1.27,90.03
2026/05/31T00:39:02z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,76,23,36,1025.84,4.94,26248,0,940,3.15,3.84,4.27,3.15,3.84,4.27,16,16,663.55,212.56,15.53,2.18,0.82,0.42,0.33,0.98,2.17,0.33,0.98,2.17,4,4,374.07,103.90,12.97,3.53,1.86,0.91,93.35
2026/05/31T00:41:02z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,76,23,36,1025.82,4.94,26248,0,1060,2.33,3.40,4.78,2.33,3.40,4.78,14,14,620.69,197.07,20.78,3.93,2.19,0.59,0.84,1.98,3.64,0.84,1.98,3.64,8,8,403.81,112.72,18.00,5.60,2.36,0.64,90.81
2026/05/31T00:43:02z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,23,37,1025.81,4.94,26248,0,1180,2.44,3.63,4.71,2.44,3.63,4.71,15,15,549.46,174.90,24.44,3.47,1.71,0.36,1.15,2.24,3.25,1.15,2.24,3.25,9,9,377.13,111.56,19.25,3.78,1.56,0.84,89.97
2026/05/31T00:44:42z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,23,36,1025.80,nan,26336,0,100,2.56,3.64,4.36,2.56,3.64,4.36,15,15,577.00,180.56,18.56,2.82,1.13,0.22,1.17,2.29,3.31,1.17,2.29,3.31,10,10,386.71,109.31,17.62,3.50,1.57,0.76,nan
2026/05/31T00:46:42z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,23,36,1025.77,4.94,26248,0,220,1.81,2.64,3.41,1.81,2.64,3.41,11,11,500.64,151.02,16.41,2.34,1.24,0.44,1.26,2.28,2.98,1.26,2.28,2.98,10,10,398.53,111.07,15.53,2.53,1.28,0.67,89.06
2026/05/31T00:48:42z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,22,36,1025.78,4.94,26248,0,340,1.88,2.61,3.60,1.88,2.61,3.60,11,11,540.63,172.95,18.74,2.51,1.19,0.00,0.88,2.14,3.86,0.88,2.14,3.86,9,9,378.25,109.71,19.83,5.47,2.24,1.47,90.42
2026/05/31T00:50:42z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,22,36,1025.74,4.94,26248,0,460,1.93,3.02,4.00,1.93,3.02,4.00,13,13,493.14,156.29,19.31,2.79,1.62,0.38,1.05,2.41,4.14,1.05,2.41,4.14,10,10,360.05,106.71,18.07,5.58,2.66,1.31,91.33
