UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/30T00:01:29z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,37,43,1019.32,4.81,26248,0,1060,7.11,11.30,14.63,7.11,11.30,14.63,47,47,1339.32,400.77,80.16,12.04,4.68,2.16,5.52,9.40,13.64,5.52,9.40,13.64,39,39,1145.95,332.14,69.36,14.48,6.86,1.05,90.77
2026/05/30T00:03:29z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,38,42,1019.34,4.81,26248,0,1180,7.51,12.93,14.73,7.51,12.93,14.73,53,53,1380.61,418.07,82.76,15.12,2.73,1.31,5.64,9.14,13.25,5.64,9.14,13.25,38,38,1128.16,327.20,69.27,13.66,6.88,1.43,89.26
2026/05/30T00:05:10z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,39,43,1019.35,nan,26336,0,100,6.60,10.36,13.07,6.60,10.36,13.07,43,43,1243.40,372.13,66.02,9.73,4.07,2.09,5.84,9.93,12.33,5.84,9.93,12.33,41,41,1171.47,341.33,75.58,8.37,3.79,1.12,nan
2026/05/30T00:07:10z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,38,44,1019.36,4.82,26248,0,220,6.24,10.63,12.44,6.24,10.63,12.44,44,44,1157.85,351.07,74.58,7.53,3.12,0.58,5.41,8.82,11.59,5.41,8.82,11.59,37,37,1090.45,319.57,60.98,10.21,4.39,0.82,88.18
2026/05/30T00:09:10z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,38,44,1019.35,4.81,26248,0,340,6.42,10.72,12.47,6.42,10.72,12.47,45,45,1242.89,371.75,69.28,9.88,3.14,0.18,4.17,8.57,10.90,4.17,8.57,10.90,36,36,995.79,289.34,64.21,15.45,3.60,0.53,92.80
2026/05/30T00:11:10z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,39,43,1019.37,4.82,26248,0,460,7.12,10.23,12.46,7.12,10.23,12.46,43,43,1377.63,417.19,56.74,7.21,3.40,0.89,5.17,8.08,10.24,5.17,8.08,10.24,34,34,1013.19,297.12,51.34,8.75,3.39,0.81,88.15
2026/05/30T00:13:10z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,39,44,1019.37,4.82,26248,0,580,6.29,9.95,12.07,6.29,9.95,12.07,41,41,1217.14,366.90,66.59,9.51,3.58,0.37,4.91,7.89,11.14,4.91,7.89,11.14,33,33,1022.37,304.26,57.81,12.23,5.16,0.65,90.75
2026/05/30T00:15:10z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,73,37,45,1019.32,4.81,26248,0,700,6.10,10.47,13.61,6.10,10.47,13.61,44,44,1167.31,353.07,71.41,12.69,4.85,1.17,5.12,9.14,11.72,5.12,9.14,11.72,38,38,1045.95,307.88,63.46,12.26,3.65,0.81,89.49
2026/05/30T00:17:10z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,37,43,1019.35,4.82,26248,0,820,6.03,9.68,13.07,6.03,9.68,13.07,40,40,1193.08,357.00,69.71,9.98,5.39,1.14,5.21,9.02,11.98,5.21,9.02,11.98,38,38,1051.71,313.93,65.14,11.98,4.40,1.60,81.59
2026/05/30T00:19:10z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,37,43,1019.34,4.82,26248,0,940,6.50,10.09,14.68,6.50,10.09,14.68,42,42,1214.84,369.48,67.09,14.57,7.66,1.79,4.85,8.39,10.47,4.85,8.39,10.47,35,35,986.49,291.76,59.93,10.17,3.14,1.03,81.52
2026/05/30T00:21:10z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,37,44,1019.30,4.82,26248,0,1060,5.84,10.10,12.21,5.84,10.10,12.21,42,42,1157.95,350.52,66.88,9.71,3.38,0.48,4.76,8.31,11.86,4.76,8.31,11.86,35,35,1073.59,315.84,59.12,11.07,5.59,1.41,85.05
2026/05/30T00:23:10z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,36,44,1019.28,4.81,26248,0,1180,7.93,12.12,14.41,7.93,12.12,14.41,51,51,1562.69,476.07,77.25,9.61,3.29,1.19,4.67,8.05,10.25,4.67,8.05,10.25,34,34,1090.58,310.82,59.18,11.22,3.38,0.78,106.69
