UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/31T00:00:22z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,93,14,37,1026.21,4.95,26248,0,940,2.25,3.04,5.66,2.25,3.04,5.66,13,13,583.23,158.84,20.89,4.79,4.07,1.82,2.29,3.34,4.62,2.29,3.34,4.62,14,14,591.21,168.34,20.02,3.34,1.43,1.43,110.62
2026/05/31T00:02:22z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,14,37,1026.19,4.95,26248,0,1060,2.12,2.68,3.64,2.12,2.68,3.64,11,11,530.95,144.39,18.03,1.73,1.53,0.19,2.48,3.57,5.66,2.48,3.57,5.66,15,15,580.29,169.24,25.36,4.59,2.45,1.97,109.57
2026/05/31T00:04:22z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,15,36,1026.28,4.95,26248,0,1180,1.98,3.03,4.64,1.98,3.03,4.64,13,13,580.50,162.48,25.33,3.47,2.52,0.81,2.25,2.86,4.44,2.25,2.86,4.44,12,12,602.00,167.02,20.02,2.84,2.07,1.51,110.64
2026/05/31T00:06:02z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,16,35,1026.31,nan,26336,0,100,1.98,3.16,5.42,1.98,3.16,5.42,13,13,572.60,157.64,16.38,5.49,3.73,1.71,2.72,3.47,4.44,2.72,3.47,4.44,14,14,643.67,181.35,17.37,2.86,0.70,0.28,nan
2026/05/31T00:08:02z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,15,37,1026.24,4.95,26248,0,220,1.98,2.73,4.61,1.98,2.73,4.61,11,11,526.22,146.37,18.56,3.46,2.90,1.10,2.45,3.36,5.70,2.45,3.36,5.70,14,14,596.52,171.59,20.98,5.21,2.70,2.12,109.98
2026/05/31T00:10:02z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,15,37,1026.22,4.95,26248,0,340,1.70,2.51,4.12,1.70,2.51,4.12,10,10,515.84,142.44,16.26,4.40,3.07,0.63,2.61,3.83,5.37,2.61,3.83,5.37,16,16,631.22,180.98,26.61,3.34,2.14,1.64,110.10
2026/05/31T00:12:02z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,15,37,1026.21,4.95,26248,0,460,1.51,2.67,4.32,1.51,2.67,4.32,11,11,538.74,142.09,21.49,4.18,2.44,1.49,1.88,2.49,4.31,1.88,2.49,4.31,10,10,503.34,141.19,18.68,3.02,2.39,1.97,103.03
2026/05/31T00:14:02z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,15,36,1026.27,4.95,26248,0,580,1.58,2.39,3.32,1.58,2.39,3.32,10,10,492.05,135.00,15.56,2.42,1.41,0.17,2.12,2.95,4.61,2.12,2.95,4.61,12,12,547.47,155.26,18.39,3.39,2.30,1.68,108.20
2026/05/31T00:16:02z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,16,36,1026.29,4.95,26248,0,700,1.95,2.67,4.21,1.95,2.67,4.21,11,11,522.00,138.78,22.43,3.67,2.43,1.14,1.91,2.96,4.77,1.91,2.96,4.77,12,12,537.32,148.46,19.88,3.96,2.54,1.77,104.60
2026/05/31T00:18:02z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,16,36,1026.28,4.94,26248,0,820,1.67,2.83,4.34,1.67,2.83,4.34,12,12,506.22,136.97,16.60,4.21,2.28,1.45,2.00,2.44,4.27,2.00,2.44,4.27,10,10,539.19,152.85,17.44,2.80,2.36,1.81,105.19
2026/05/31T00:20:02z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,16,36,1026.27,4.94,26248,0,940,1.56,2.42,3.56,1.56,2.42,3.56,10,10,516.89,136.19,17.98,3.12,1.95,0.30,1.83,2.47,4.14,1.83,2.47,4.14,10,10,520.24,143.34,14.66,3.19,2.05,1.81,106.19
2026/05/31T00:22:02z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,15,37,1026.27,4.95,26248,0,1060,1.84,2.67,3.63,1.84,2.67,3.63,11,11,525.68,143.68,14.07,2.37,1.40,0.53,1.26,2.79,4.26,1.26,2.79,4.26,12,12,485.22,136.74,18.74,5.19,2.12,1.60,104.92
2026/05/31T00:24:02z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,15,36,1026.26,4.94,26248,0,1180,1.60,2.75,3.65,1.60,2.75,3.65,11,11,509.05,143.20,18.93,4.18,1.45,0.77,1.39,2.29,4.45,1.39,2.29,4.45,10,10,497.25,136.59,20.66,4.20,2.75,1.96,107.21
2026/05/31T00:25:43z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,16,37,1026.24,nan,26336,0,100,1.59,2.33,3.26,1.59,2.33,3.26,10,10,502.63,136.96,14.20,2.59,1.28,0.91,1.02,1.98,3.14,1.02,1.98,3.14,8,8,484.05,136.30,17.40,2.47,1.30,1.30,nan
2026/05/31T00:27:43z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,15,37,1026.19,4.95,26248,0,220,1.25,2.24,3.31,1.25,2.24,3.31,9,9,424.93,119.34,16.02,3.44,2.05,0.27,1.27,2.09,4.12,1.27,2.09,4.12,9,9,474.05,133.21,15.66,3.61,2.64,2.46,109.84
2026/05/31T00:29:43z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,15,36,1026.25,4.95,26248,0,340,1.07,2.25,3.44,1.07,2.25,3.44,9,9,445.68,124.46,20.07,2.95,1.95,0.39,1.62,2.53,3.68,1.62,2.53,3.68,11,11,473.55,128.37,17.23,2.27,1.63,1.23,110.67
2026/05/31T00:31:43z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,16,36,1026.26,4.95,26248,0,460,1.43,2.54,3.43,1.43,2.54,3.43,11,11,453.16,126.29,16.04,3.34,1.70,0.27,1.59,2.76,4.90,1.59,2.76,4.90,11,11,477.72,134.59,21.59,5.33,2.84,2.31,110.98
2026/05/31T00:33:43z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,16,36,1026.27,4.95,26248,0,580,1.19,1.90,3.19,1.19,1.90,3.19,8,8,417.57,115.86,15.86,3.16,2.03,1.05,1.61,2.14,3.35,1.61,2.14,3.35,9,9,447.84,127.44,15.56,2.35,1.61,1.00,112.40
2026/05/31T00:35:43z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,17,36,1026.25,4.95,26248,0,700,1.42,2.30,5.48,1.42,2.30,5.48,10,10,464.30,126.60,19.07,5.98,4.62,2.38,1.68,2.44,3.91,1.68,2.44,3.91,10,10,474.74,133.32,16.67,2.98,1.79,1.56,112.86
2026/05/31T00:37:43z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,16,37,1026.15,4.95,26248,0,820,1.19,1.83,3.90,1.19,1.83,3.90,8,8,399.36,112.56,18.00,3.54,2.98,1.54,1.66,2.41,4.24,1.66,2.41,4.24,10,10,452.08,127.90,16.05,3.81,2.32,1.93,112.84
