UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/23T00:00:24z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,95,17,44,1011.25,4.87,26248,0,460,2.64,3.29,3.82,2.64,3.29,3.82,14,14,696.11,196.45,16.69,1.36,0.73,0.20,2.15,2.81,4.03,2.15,2.81,4.03,12,12,532.07,155.22,20.90,3.00,1.81,0.00,50.00
2026/05/23T00:02:24z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,16,44,1011.22,4.87,26248,0,580,2.88,3.64,4.14,2.88,3.64,4.14,15,15,680.69,191.22,16.85,2.00,0.85,0.00,2.70,3.86,4.66,2.70,3.86,4.66,16,16,624.96,174.57,27.89,3.25,1.46,0.39,50.00
2026/05/23T00:04:24z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,95,17,44,1011.24,4.87,26248,0,700,2.63,3.36,4.10,2.63,3.36,4.10,14,14,684.51,191.59,14.85,2.25,0.83,0.00,2.18,2.98,3.50,2.18,2.98,3.50,12,12,529.82,152.23,18.00,1.93,0.64,0.25,50.00
2026/05/23T00:06:24z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,16,45,1011.20,4.87,25936,0,820,2.89,3.47,3.77,2.89,3.47,3.77,14,14,717.84,198.96,15.25,1.46,0.46,0.00,1.97,2.62,3.36,1.97,2.62,3.36,11,11,507.10,141.17,14.24,2.33,1.26,0.22,50.00
2026/05/23T00:08:24z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,18,45,1011.22,4.87,26248,0,940,2.46,3.05,3.54,2.46,3.05,3.54,13,13,706.07,191.18,14.00,1.61,0.95,0.20,1.74,2.46,3.11,1.72,2.46,3.11,10,10,510.98,136.61,17.34,1.39,0.98,0.36,50.00
2026/05/23T00:10:24z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,17,45,1011.24,4.87,26248,0,1060,2.28,2.90,3.60,2.28,2.90,3.60,12,12,605.53,176.48,15.05,1.40,1.22,0.41,1.90,2.97,3.88,1.90,2.97,3.88,12,12,513.31,149.07,21.26,3.38,1.50,0.00,50.00
2026/05/23T00:12:24z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,17,45,1011.20,4.87,26248,0,1180,2.95,3.88,4.08,2.95,3.88,4.08,16,16,675.71,192.83,19.20,1.10,0.24,0.00,2.23,3.23,3.82,2.23,3.23,3.82,13,13,544.45,158.68,19.14,2.25,1.38,0.18,50.00
2026/05/23T00:14:04z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,17,46,1011.19,nan,26336,0,100,3.58,4.44,4.53,3.58,4.44,4.53,19,19,771.47,224.02,17.09,1.02,0.00,0.00,2.31,3.07,3.29,2.31,3.07,3.29,13,13,581.93,161.90,17.05,0.90,0.67,0.00,nan
2026/05/23T00:16:04z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,17,45,1011.16,4.87,26248,0,220,3.25,3.85,4.17,3.25,3.85,4.17,16,16,749.19,210.27,17.49,1.37,0.39,0.00,2.57,3.36,3.82,2.57,3.36,3.82,14,14,582.91,171.50,17.52,1.57,0.80,0.09,50.00
2026/05/23T00:18:04z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,18,46,1011.17,4.87,26248,0,340,3.00,3.71,4.32,3.00,3.71,4.32,15,15,764.14,222.54,14.29,1.96,1.21,0.23,2.14,2.74,3.69,2.14,2.74,3.69,11,11,506.43,142.79,20.03,2.34,1.43,0.59,50.00
