UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/21T00:01:44z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,20,40,1021.60,4.91,26248,0,1180,2.57,3.12,6.74,2.57,3.12,6.74,13,13,679.14,210.59,15.43,5.67,4.84,4.14,0.04,0.54,2.09,0.04,0.54,2.09,2,2,239.53,65.60,11.44,2.65,2.40,0.46,50.00
2026/05/21T00:03:25z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,20,41,1021.61,nan,26336,0,100,0.72,0.72,1.87,0.72,0.72,1.87,3,3,384.91,114.87,4.85,1.63,1.30,1.30,0.05,0.79,1.40,0.05,0.79,1.40,3,3,235.29,66.38,10.40,1.62,0.76,0.76,nan
2026/05/21T00:05:25z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,20,41,1021.63,4.91,26248,0,220,2.03,2.34,5.00,2.03,2.34,5.00,10,10,509.59,154.93,8.51,3.81,3.42,3.42,0.35,0.51,1.21,0.35,0.51,1.21,2,2,246.42,69.25,9.96,1.40,1.05,0.21,50.00
2026/05/21T00:07:25z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,21,40,1021.64,4.91,26248,0,340,2.26,2.95,3.81,2.26,2.95,3.81,12,12,538.00,165.95,9.28,3.28,1.35,1.05,0.43,1.00,1.64,0.43,1.00,1.64,4,4,238.76,68.10,9.81,1.40,1.00,0.26,50.00
2026/05/21T00:09:25z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,21,41,1021.66,4.91,26248,0,460,1.63,2.04,3.33,1.63,2.04,3.33,8,8,497.37,146.49,10.54,1.86,1.65,1.26,0.42,1.07,1.92,0.42,1.07,1.92,4,4,258.40,75.10,8.35,2.47,1.45,0.22,50.00
2026/05/21T00:11:25z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,21,40,1021.65,4.91,26248,0,580,2.33,2.88,3.66,2.33,2.88,3.66,12,12,568.19,171.24,9.83,2.02,1.26,0.71,0.44,1.14,1.77,0.44,1.14,1.77,5,5,295.32,81.30,12.35,2.53,1.18,0.86,50.00
2026/05/21T00:13:25z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,21,39,1021.57,4.91,26248,0,700,1.40,2.14,3.83,1.40,2.14,3.83,9,9,423.36,128.55,14.22,3.22,2.45,1.84,0.54,0.68,1.21,0.54,0.68,1.21,3,3,268.18,75.05,9.29,1.29,0.80,0.25,50.00
2026/05/21T00:15:25z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,21,40,1021.59,4.91,26248,0,820,1.37,1.90,2.81,1.37,1.90,2.81,8,8,405.46,116.61,13.36,1.75,1.27,0.90,0.38,0.83,1.16,0.38,0.83,1.16,3,3,254.17,67.79,10.31,0.93,0.28,0.21,50.00
2026/05/21T00:17:25z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,21,40,1021.55,4.91,26248,0,940,1.73,2.51,3.24,1.73,2.51,3.24,10,10,482.78,143.36,13.82,3.33,1.15,0.71,0.58,0.86,1.34,0.58,0.86,1.34,4,4,298.88,84.14,8.56,0.54,0.54,0.32,50.00
2026/05/21T00:19:25z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,22,40,1021.49,4.91,26248,0,1060,1.71,2.21,3.19,1.71,2.21,3.19,9,9,477.78,146.40,11.34,2.00,1.17,0.93,0.59,0.85,1.56,0.59,0.85,1.56,4,4,278.85,80.58,6.90,1.68,1.12,0.63,50.00
