UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/20T22:20:00z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,30,46,1022.31,nan,28128,0,99,2.22,3.91,4.33,2.22,3.91,4.33,16,16,689.93,201.18,26.27,3.96,0.20,0.09,2.60,4.58,5.00,2.60,4.58,5.00,19,19,691.74,203.47,25.88,6.02,0.51,0.00,nan
2026/05/20T22:22:00z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,28,45,1022.35,4.97,26248,0,219,3.69,4.76,6.26,3.69,4.76,6.26,20,20,812.53,241.22,25.90,4.53,1.52,0.97,2.60,3.75,5.36,2.60,3.75,5.36,16,16,634.47,185.55,25.62,6.13,1.60,0.13,50.99
2026/05/20T22:24:00z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,28,44,1022.31,4.97,26248,0,339,3.33,4.46,5.21,3.33,4.46,5.21,19,19,776.79,229.16,22.12,3.18,1.33,0.18,2.68,3.63,4.28,2.68,3.63,4.28,15,15,674.60,194.35,26.22,2.05,0.88,0.00,50.00
2026/05/20T22:26:00z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,27,43,1022.35,4.97,26248,0,459,4.12,4.93,6.02,4.12,4.93,6.02,21,21,885.21,261.26,21.04,2.81,1.19,0.95,2.76,3.78,4.76,2.76,3.78,4.76,16,16,666.66,188.98,25.17,3.02,1.07,0.49,50.00
2026/05/20T22:28:00z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,27,43,1022.41,4.97,26248,0,579,3.78,5.31,5.79,3.78,5.31,5.79,22,22,827.33,243.86,26.66,3.36,0.60,0.24,2.50,3.69,4.38,2.50,3.69,4.38,15,15,649.66,187.84,22.78,1.72,1.28,0.38,50.00
2026/05/20T22:30:00z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,27,44,1022.30,4.97,26248,0,699,3.95,4.90,6.71,3.95,4.90,6.71,20,20,894.25,266.97,26.92,3.88,2.31,1.53,2.42,3.40,4.25,2.42,3.40,4.25,14,14,583.89,167.18,21.44,3.56,1.07,0.00,50.00
2026/05/20T22:32:00z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,25,45,1022.26,4.97,26248,0,819,3.57,4.55,6.48,3.57,4.55,6.48,19,19,788.59,237.69,23.84,4.88,2.52,0.76,2.47,3.03,4.05,2.47,3.03,4.05,13,13,598.71,172.86,20.07,3.21,1.43,0.24,50.00
2026/05/20T22:34:00z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,25,44,1022.19,4.97,26248,0,939,3.32,4.05,4.84,3.32,4.05,4.84,17,17,816.63,238.32,16.95,1.84,0.95,0.32,2.83,3.76,4.49,2.83,3.76,4.49,16,16,620.64,183.15,24.02,2.81,1.10,0.00,50.00
2026/05/20T22:36:00z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,25,43,1022.23,4.97,26248,0,1059,3.50,4.43,4.98,3.50,4.43,4.98,18,18,860.90,250.24,18.43,2.90,0.38,0.38,2.24,2.92,3.88,2.24,2.92,3.88,12,12,556.93,159.47,19.49,2.53,1.24,0.80,50.00
2026/05/20T22:38:00z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,25,44,1022.25,4.97,26248,0,1179,3.52,4.88,5.45,3.52,4.88,5.45,20,20,813.21,241.93,26.00,3.60,0.74,0.38,1.98,2.48,3.07,1.98,2.48,3.07,10,10,515.36,148.32,15.46,1.32,0.46,0.20,50.00
2026/05/20T22:39:40z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1022.25,nan,26336,0,100,3.16,4.42,5.11,3.16,4.42,5.11,18,18,783.67,232.60,19.69,4.00,0.93,0.51,2.12,2.74,3.21,2.12,2.74,3.21,11,11,505.79,140.98,15.90,1.48,0.57,0.45,nan
2026/05/20T22:41:40z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,25,43,1022.23,4.97,26248,0,220,3.31,4.19,5.34,3.31,4.19,5.34,17,17,746.03,219.00,20.20,4.58,1.24,0.27,2.16,3.21,3.62,2.16,3.21,3.62,13,13,527.84,153.59,18.66,1.30,0.66,0.12,50.00
2026/05/20T22:43:40z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1022.19,4.97,26248,0,340,3.33,3.96,5.00,3.33,3.96,5.00,17,17,736.89,215.21,15.89,2.63,1.37,0.75,1.71,2.48,3.38,1.71,2.48,3.38,10,10,505.14,145.43,18.62,1.66,1.66,0.21,50.00
2026/05/20T22:45:40z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1022.21,4.97,26248,0,460,3.53,4.46,4.88,3.53,4.46,4.88,19,19,772.05,229.04,19.21,2.02,0.65,0.51,2.23,2.88,3.55,2.23,2.88,3.55,12,12,517.45,151.12,18.88,1.33,1.03,0.20,50.00
2026/05/20T22:47:40z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,26,43,1022.16,4.97,26248,0,580,3.84,5.21,5.57,3.84,5.21,5.57,22,22,831.93,248.98,19.12,4.21,0.41,0.26,2.35,3.18,3.46,2.35,3.18,3.46,13,13,513.63,149.47,17.84,2.84,0.42,0.00,50.00
2026/05/20T22:49:40z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,26,42,1022.09,4.97,26248,0,700,3.08,3.54,3.78,3.08,3.54,3.78,15,15,722.34,212.39,14.42,1.51,0.42,0.00,1.84,2.29,3.34,1.84,2.29,3.34,10,10,502.93,148.23,15.62,2.41,1.04,0.00,50.00
2026/05/20T22:51:40z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,26,42,1022.08,4.97,26248,0,820,2.61,3.09,3.11,2.61,3.09,3.11,13,13,698.79,207.81,15.81,0.89,0.00,0.00,1.46,2.31,3.05,1.46,2.31,3.05,10,10,495.97,142.59,18.07,2.75,0.76,0.54,50.00
2026/05/20T22:53:40z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,27,42,1022.08,4.97,26248,0,940,2.75,3.61,4.20,2.75,3.61,4.20,15,15,643.66,192.75,17.23,2.61,0.20,0.20,2.07,2.80,3.34,2.07,2.80,3.34,12,12,477.86,141.69,15.73,1.46,0.83,0.46,50.00
2026/05/20T22:55:40z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,26,42,1022.07,4.97,26248,0,1060,3.50,4.84,5.66,3.50,4.84,5.66,20,20,783.93,239.28,20.07,5.19,1.33,0.52,1.57,2.67,3.41,1.57,2.67,3.41,11,11,469.24,133.10,17.83,2.86,1.09,0.29,50.00
2026/05/20T22:57:40z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,26,44,1022.02,4.97,26248,0,1180,2.86,3.29,4.17,2.86,3.29,4.17,14,14,650.14,193.64,14.14,2.20,1.31,0.47,1.79,2.21,2.86,1.79,2.21,2.86,9,9,420.96,124.29,15.02,2.39,1.18,0.00,50.00
2026/05/20T22:59:21z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,25,44,1022.00,nan,26336,0,100,1.57,2.15,3.15,1.57,2.15,3.15,9,9,493.17,147.39,12.59,1.83,1.54,1.00,1.69,1.95,2.40,1.69,1.95,2.40,8,8,420.07,118.21,11.31,1.67,0.86,0.00,nan
2026/05/20T23:01:21z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,26,42,1021.96,4.97,26248,0,220,1.95,2.39,3.76,1.95,2.39,3.76,10,10,522.25,156.53,11.61,3.05,1.59,0.81,1.64,2.27,3.14,1.64,2.27,3.14,9,9,427.07,123.09,13.82,2.95,1.32,0.18,50.00
2026/05/20T23:03:21z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,26,42,1021.95,4.97,26248,0,340,2.79,3.43,4.24,2.79,3.43,4.24,14,14,726.21,216.78,12.86,2.22,1.14,1.03,1.34,2.02,2.95,1.34,2.02,2.95,8,8,375.83,109.83,12.55,2.81,1.50,0.24,50.00
2026/05/20T23:05:21z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,25,42,1021.91,4.97,26248,0,460,2.44,3.26,3.93,2.44,3.26,3.93,14,14,662.53,201.02,13.47,2.14,1.30,0.58,0.90,1.14,2.12,0.90,1.14,2.12,5,5,328.32,94.93,10.75,1.59,0.97,0.49,50.00
2026/05/20T23:07:21z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,24,42,1021.93,4.97,26248,0,580,2.40,2.60,3.33,2.40,2.60,3.33,11,11,585.57,173.33,10.09,1.29,0.79,0.79,0.75,1.16,1.91,0.75,1.16,1.91,5,5,318.05,91.82,10.37,1.74,0.98,0.33,50.00
2026/05/20T23:09:21z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,23,42,1021.88,4.97,26248,0,700,1.90,2.31,2.64,1.90,2.31,2.64,10,10,550.17,166.32,8.78,0.90,0.42,0.24,0.68,0.82,0.91,0.68,0.82,0.91,3,3,276.96,81.00,8.23,0.89,0.20,0.00,50.00
2026/05/20T23:11:21z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,23,41,1021.89,4.95,26248,0,820,2.39,2.81,3.19,2.39,2.81,3.19,12,12,643.21,198.53,9.33,0.77,0.44,0.00,0.76,1.00,1.50,0.76,1.00,1.50,4,4,271.34,78.66,8.05,0.97,0.45,0.45,50.00
2026/05/20T23:13:21z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,23,41,1021.87,4.95,26064,0,940,1.82,2.07,2.46,1.82,2.07,2.46,9,9,526.39,161.52,8.68,0.64,0.21,0.20,0.05,0.23,0.92,0.05,0.23,0.92,1,1,215.90,62.15,10.55,2.05,1.23,0.18,50.00
2026/05/20T23:15:21z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,22,41,1021.86,4.95,26248,0,1060,1.37,1.75,2.05,1.37,1.75,2.05,7,7,457.93,133.97,5.59,1.14,0.47,0.31,0.54,0.75,1.11,0.54,0.75,1.11,3,3,228.68,68.53,7.81,1.26,0.79,0.00,50.00
2026/05/20T23:17:21z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,22,39,1021.84,4.95,26248,0,1180,1.71,2.03,2.21,1.71,2.03,2.21,8,8,561.52,171.90,8.22,0.52,0.34,0.09,0.32,0.57,0.57,0.32,0.57,0.57,2,2,216.00,63.73,6.59,0.80,0.00,0.00,50.00
2026/05/20T23:19:02z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,21,41,1021.80,nan,26336,0,100,1.84,1.89,2.44,1.84,1.89,2.44,8,8,554.13,160.58,5.13,1.13,0.56,0.27,0.50,0.71,1.12,0.50,0.71,1.12,3,3,229.86,67.24,7.90,0.95,0.40,0.00,nan
2026/05/20T23:21:02z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,20,39,1021.83,4.95,26248,0,220,0.88,1.31,1.64,0.88,1.31,1.64,5,5,397.47,118.66,9.76,1.03,0.41,0.17,0.09,0.37,0.96,0.09,0.37,0.96,2,2,236.89,67.67,7.19,2.49,1.07,0.25,50.00
2026/05/20T23:23:02z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,20,38,1021.79,4.95,26248,0,340,1.89,1.95,2.18,1.89,1.95,2.18,8,8,500.68,151.58,6.35,0.42,0.18,0.18,0.14,0.31,0.38,0.14,0.31,0.38,1,1,220.24,62.50,4.53,0.40,0.07,0.00,50.00
2026/05/20T23:25:02z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,20,39,1021.80,4.95,25936,0,460,1.86,2.74,3.68,1.86,2.74,3.68,11,11,604.84,177.79,16.11,2.54,1.28,0.61,0.23,0.27,0.55,0.23,0.27,0.55,1,1,261.40,74.57,7.45,0.62,0.42,0.42,50.00
2026/05/20T23:27:02z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,21,40,1021.78,4.95,26248,0,580,1.68,2.20,2.75,1.68,2.20,2.75,9,9,511.53,156.42,8.76,1.27,0.71,0.71,0.16,0.51,0.81,0.16,0.51,0.81,2,2,213.79,60.30,7.07,1.60,0.74,0.00,50.00
2026/05/20T23:29:02z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,22,37,1021.81,4.95,26248,0,700,1.56,1.86,2.19,1.56,1.86,2.19,8,8,448.47,134.75,7.32,0.98,0.37,0.37,0.36,0.55,0.88,0.36,0.55,0.88,2,2,214.77,63.93,7.05,1.11,0.11,0.00,50.00
