UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/06/01T00:00:39z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,93,12,34,1025.20,4.98,26248,0,1060,0.29,1.03,1.48,0.29,1.03,1.48,4,4,314.22,82.09,10.43,2.03,0.67,0.22,0.55,1.00,1.33,0.55,1.00,1.33,4,4,283.40,81.38,11.60,1.59,0.67,0.00,113.51
2026/06/01T00:02:38z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,94,12,34,1025.24,4.98,26064,0,1180,0.78,1.29,1.55,0.78,1.29,1.55,5,5,324.88,91.71,10.16,0.78,0.33,0.24,0.58,0.67,0.89,0.58,0.67,0.89,3,3,254.16,72.04,9.05,0.46,0.00,0.00,113.95
2026/06/01T00:04:19z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,93,12,34,1025.18,nan,26336,0,100,1.02,1.56,2.04,1.02,1.56,2.04,6,6,293.93,86.56,11.51,1.71,0.98,0.51,0.53,1.02,1.60,0.53,1.02,1.60,4,4,255.70,72.88,9.40,1.56,0.86,0.70,nan
2026/06/01T00:06:19z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,93,12,34,1025.20,4.98,26248,0,220,0.75,1.14,1.59,0.75,1.14,1.59,5,5,295.83,84.10,9.73,1.42,0.51,0.51,0.32,0.64,1.09,0.32,0.64,1.09,3,3,229.93,65.21,8.20,1.23,0.84,0.20,110.88
2026/06/01T00:08:19z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,93,13,35,1025.13,4.98,26248,0,340,0.60,0.96,2.11,0.60,0.96,2.11,4,4,286.32,79.18,12.84,2.89,1.81,0.88,0.85,1.29,1.81,0.85,1.29,1.81,5,5,292.93,82.10,10.97,1.53,0.93,0.00,112.98
2026/06/01T00:10:19z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,13,34,1025.07,4.98,26248,0,460,0.84,1.42,1.86,0.84,1.42,1.86,6,6,340.68,95.39,10.30,1.98,0.60,0.44,0.77,1.03,1.55,0.77,1.03,1.55,4,4,296.75,85.65,8.32,0.97,0.90,0.37,113.09
2026/06/01T00:12:19z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,13,34,1025.11,4.98,26248,0,580,0.92,1.66,2.15,0.92,1.66,2.15,7,7,350.19,94.95,11.63,2.39,0.81,0.32,0.67,1.00,1.93,0.67,1.00,1.93,4,4,282.37,77.19,11.56,1.56,1.21,0.56,110.56
2026/06/01T00:14:19z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,13,35,1025.07,4.98,26248,0,700,0.73,1.48,2.33,0.73,1.48,2.33,6,6,331.60,89.57,13.33,2.50,1.37,0.28,0.74,0.86,1.44,0.74,0.86,1.44,4,4,288.26,76.54,8.65,1.21,1.02,0.42,111.66
2026/06/01T00:16:19z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,13,35,1025.04,4.98,26248,0,820,0.61,0.97,1.42,0.61,0.97,1.42,4,4,337.63,92.95,10.19,1.22,0.90,0.42,0.57,0.98,1.83,0.57,0.98,1.83,4,4,278.22,81.26,9.28,1.95,1.33,0.40,113.14
2026/06/01T00:18:19z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,93,13,35,1025.04,4.98,26248,0,940,0.71,1.13,1.85,0.71,1.13,1.85,5,5,289.15,80.84,9.56,1.98,1.04,0.58,0.45,0.76,1.00,0.45,0.76,1.00,3,3,260.59,76.66,9.67,1.36,0.43,0.00,115.52
