UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/30T00:01:04z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,40,42,1019.49,4.87,26248,0,820,7.52,11.90,16.47,7.52,11.90,16.47,50,50,1426.97,423.14,77.10,16.00,6.14,1.60,6.66,10.29,21.72,6.66,10.29,21.72,43,43,1266.47,374.47,85.14,20.76,16.41,10.33,94.58
2026/05/30T00:03:04z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,40,42,1019.49,4.87,26248,0,940,7.38,11.32,16.80,7.38,11.32,16.80,47,47,1417.29,415.38,77.86,14.00,7.02,3.30,6.28,9.57,20.26,6.28,9.57,20.26,40,40,1282.76,381.10,75.47,18.43,15.17,9.88,96.43
2026/05/30T00:05:04z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,41,42,1019.51,4.87,26248,0,1060,7.93,11.78,18.32,7.93,11.78,18.32,49,49,1524.15,451.56,80.44,15.10,8.83,4.37,6.07,8.61,13.15,6.07,8.61,13.15,36,36,1163.03,336.75,62.17,10.08,7.02,3.49,93.99
2026/05/30T00:07:04z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,41,43,1019.50,4.87,26248,0,1180,7.40,10.85,16.15,7.40,10.85,16.15,45,45,1383.95,416.07,70.67,12.62,7.62,3.52,6.11,9.39,16.37,6.11,9.39,16.37,39,39,1170.74,341.53,71.96,14.32,10.16,5.46,92.63
2026/05/30T00:08:45z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,41,44,1019.50,nan,26336,0,100,6.96,10.62,14.02,6.96,10.62,14.02,44,44,1301.33,386.40,66.96,10.42,5.09,2.09,6.35,10.40,18.19,6.35,10.40,18.19,43,43,1191.63,354.09,79.84,18.02,11.05,7.37,nan
2026/05/30T00:10:45z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,41,43,1019.51,4.87,26248,0,220,6.76,9.67,13.71,6.76,9.67,13.71,40,40,1250.02,379.31,63.55,10.45,5.93,2.74,5.84,8.89,16.42,5.84,8.89,16.42,37,37,1145.79,341.49,66.60,15.95,10.84,6.84,94.99
2026/05/30T00:12:45z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,42,44,1019.54,4.87,26248,0,340,6.51,9.89,13.60,6.51,9.89,13.60,41,41,1236.37,369.98,64.25,9.47,5.25,3.00,5.45,8.76,14.22,5.45,8.76,14.22,36,36,1140.21,331.31,65.34,12.84,8.24,3.66,90.31
2026/05/30T00:14:45z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,41,44,1019.52,4.87,26248,0,460,6.91,10.47,14.96,6.91,10.47,14.96,44,44,1319.05,397.77,73.81,11.75,6.98,2.37,5.27,9.32,14.34,5.27,9.32,14.34,39,39,1088.08,316.88,69.86,13.46,7.24,3.85,95.42
2026/05/30T00:16:45z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,41,44,1019.48,4.87,26248,0,580,6.20,10.08,13.51,6.20,10.08,13.51,42,42,1238.24,370.69,72.08,9.61,5.44,2.14,5.09,9.09,14.69,5.09,9.09,14.69,38,38,1062.83,313.19,64.83,14.83,8.29,4.74,88.36
2026/05/30T00:18:45z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,40,44,1019.50,4.87,26248,0,700,6.51,10.83,14.29,6.51,10.83,14.29,45,45,1287.25,386.80,67.88,11.85,5.15,2.27,5.09,8.24,16.89,5.09,8.24,16.89,34,34,1134.38,331.45,61.82,17.80,12.27,8.09,86.59
2026/05/30T00:20:45z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,39,44,1019.47,4.87,26248,0,820,7.05,10.51,15.39,7.05,10.51,15.39,44,44,1325.63,396.12,70.65,12.51,6.67,2.63,4.52,7.90,13.97,4.52,7.90,13.97,33,33,1046.38,301.71,63.59,14.41,8.91,4.95,86.93
2026/05/30T00:22:45z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,39,44,1019.45,4.87,26248,0,940,19.67,24.31,29.02,15.00,18.95,24.24,77,66,3376.80,971.80,110.47,14.51,5.15,2.42,16.25,21.24,29.34,12.90,17.66,25.78,71,63,3045.97,859.73,107.17,17.78,11.47,6.76,166.70
2026/05/30T00:24:45z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,37,43,1019.47,4.87,26248,0,1060,6.83,10.29,17.10,6.83,10.29,17.10,43,43,1331.69,387.62,75.05,15.57,8.69,4.79,5.53,8.46,15.77,5.53,8.46,15.77,35,35,1115.74,327.77,61.98,15.95,10.54,5.00,80.46
2026/05/30T00:26:45z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,35,41,1019.51,4.87,26248,0,1180,7.21,10.71,15.53,7.21,10.71,15.53,45,45,1396.03,425.33,69.07,12.97,5.83,3.40,5.21,8.37,14.82,5.21,8.37,14.82,35,35,1091.11,320.89,63.11,14.75,8.96,6.02,66.31
2026/05/30T00:28:25z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,36,42,1019.52,nan,26336,0,100,6.64,10.38,14.78,6.64,10.38,14.78,43,43,1280.40,387.87,74.36,10.93,6.58,3.87,5.79,9.45,18.38,5.79,9.45,18.38,39,39,1159.64,340.17,73.17,18.86,12.38,7.55,nan
2026/05/30T00:30:25z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,35,42,1019.51,4.87,26248,0,220,6.12,8.71,12.19,6.12,8.71,12.19,36,36,1178.03,347.36,64.68,6.78,5.19,2.75,5.64,9.21,15.95,5.64,9.21,15.95,38,38,1103.68,315.82,69.62,17.05,10.18,5.27,69.74
2026/05/30T00:32:25z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,35,41,1019.51,4.87,26248,0,340,6.44,10.04,16.12,6.44,10.04,16.12,42,42,1256.53,377.12,68.86,14.46,8.18,2.98,6.05,9.76,16.46,6.05,9.76,16.46,41,41,1218.86,351.54,71.20,14.47,9.37,5.75,90.13
2026/05/30T00:34:25z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,36,41,1019.53,4.87,26248,0,460,6.21,9.43,12.89,6.21,9.43,12.89,39,39,1212.38,354.55,59.27,11.20,4.25,1.41,5.05,8.77,14.50,5.05,8.77,14.50,37,37,1080.25,321.18,67.87,14.08,8.42,4.58,87.28
2026/05/30T00:36:25z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,36,42,1019.56,4.87,26248,0,580,5.90,9.37,11.39,5.90,9.37,11.39,39,39,1122.20,345.24,65.64,6.95,3.17,1.07,5.11,8.49,14.91,5.11,8.49,14.91,35,35,994.84,296.12,72.05,13.67,8.98,5.88,78.25
2026/05/30T00:38:25z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,36,42,1019.58,4.87,26248,0,700,5.82,9.00,14.13,5.82,9.00,14.13,38,38,1151.85,344.40,60.42,13.05,7.82,3.15,5.31,8.73,15.80,5.31,8.73,15.80,36,36,1108.91,312.56,70.67,16.82,9.98,6.16,82.98
2026/05/30T00:40:26z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,36,42,1019.60,4.87,26248,0,820,6.42,9.16,12.82,6.42,9.16,12.82,38,38,1206.26,361.11,60.02,8.89,6.02,1.77,4.93,8.54,14.69,4.93,8.54,14.69,36,36,1016.44,297.12,67.58,16.63,8.19,5.10,83.31
2026/05/30T00:42:25z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,36,42,1019.58,4.87,26248,0,940,6.11,9.29,14.25,6.11,9.29,14.25,39,39,1221.44,359.55,65.16,12.98,4.98,2.87,5.12,8.19,14.41,5.12,8.19,14.41,34,34,1020.97,304.51,61.29,12.83,8.81,5.92,84.49
2026/05/30T00:44:25z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,36,42,1019.61,4.87,26248,0,1060,5.79,9.34,13.14,5.79,9.34,13.14,39,39,1095.21,330.52,66.26,12.31,5.41,2.29,5.48,8.38,13.38,5.48,8.38,13.38,35,35,1027.09,307.67,61.79,10.86,7.52,3.72,85.67
2026/05/30T00:46:25z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,37,42,1019.62,4.87,26248,0,1180,6.40,9.55,15.09,6.40,9.55,15.09,40,40,1262.48,378.60,62.17,14.43,7.26,3.43,5.38,8.41,16.82,5.38,8.41,16.82,35,35,1084.93,312.46,65.91,17.25,12.11,6.71,89.85
2026/05/30T00:48:07z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,38,42,1019.62,nan,26336,0,101,5.28,8.98,14.41,5.28,8.98,14.41,37,37,1130.61,337.39,65.59,14.02,6.30,3.61,4.50,7.86,14.12,4.50,7.86,14.12,33,33,970.71,281.14,63.26,13.45,9.10,5.93,nan
2026/05/30T00:50:07z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,38,42,1019.62,4.87,26248,0,221,5.73,9.17,12.50,5.73,9.17,12.50,38,38,1132.05,339.15,67.28,9.42,5.40,1.48,4.95,8.04,14.07,4.95,8.04,14.07,33,33,1044.00,307.12,64.32,12.25,8.70,5.21,86.80
2026/05/30T00:52:07z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,37,42,1019.59,4.87,26248,0,341,6.48,9.09,11.79,6.48,9.09,11.79,38,38,1217.12,368.79,54.71,7.36,4.22,1.47,4.81,8.60,14.88,4.81,8.60,14.88,36,36,1044.47,303.12,66.93,16.05,8.98,5.50,86.02
2026/05/30T00:54:07z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,38,41,1019.59,4.87,26248,0,461,6.12,8.95,11.23,6.12,8.95,11.23,37,37,1126.82,343.93,61.50,5.82,3.14,2.20,4.67,7.35,14.23,4.67,7.35,14.23,31,31,944.15,281.43,57.43,12.80,10.02,6.00,85.97
2026/05/30T00:56:07z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,37,42,1019.54,4.87,26248,0,581,6.17,9.40,13.03,6.17,9.40,13.03,39,39,1178.74,359.28,66.07,10.07,5.60,1.48,4.91,8.45,15.28,4.91,8.45,15.28,35,35,1019.90,297.38,68.09,14.43,9.62,6.31,86.88
2026/05/30T00:58:07z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,38,41,1019.56,4.87,26248,0,701,5.68,8.90,12.50,5.68,8.90,12.50,37,37,1116.30,337.47,62.43,8.55,5.28,3.17,4.65,7.93,13.04,4.65,7.93,13.04,33,33,947.56,278.55,58.65,12.05,7.13,4.73,88.12
2026/05/30T01:00:07z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,39,42,1019.60,4.87,26248,0,821,5.53,8.46,11.29,5.53,8.46,11.29,35,35,1048.58,317.61,54.25,8.61,3.22,1.49,4.69,8.47,15.27,4.69,8.47,15.27,35,35,1011.71,294.51,64.93,17.46,9.34,4.51,89.54
2026/05/30T01:02:07z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,39,42,1019.61,4.87,26248,0,941,5.98,9.32,13.50,5.98,9.32,13.50,39,39,1137.48,347.91,60.30,12.29,6.11,2.32,4.47,7.66,13.03,4.47,7.66,13.03,32,32,1008.92,294.73,55.75,12.22,7.61,4.32,90.08
2026/05/30T01:04:07z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,39,41,1019.59,4.87,26248,0,1061,5.78,8.88,13.55,5.78,8.88,13.55,37,37,1106.38,335.31,69.59,11.69,6.57,2.38,5.14,8.41,14.67,5.14,8.41,14.67,35,35,1035.72,297.78,64.26,16.33,9.05,4.43,88.08
2026/05/30T01:06:07z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,40,41,1019.60,4.87,26248,0,1181,5.08,8.02,12.22,5.08,8.02,12.22,33,33,1024.95,304.17,59.33,10.37,6.48,2.65,4.73,7.80,14.84,4.73,7.80,14.84,33,33,972.59,288.95,61.39,13.84,10.20,6.27,88.22
2026/05/30T01:07:47z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,40,42,1019.59,nan,26336,0,99,5.46,8.41,12.67,5.46,8.41,12.67,35,35,1046.02,319.24,63.78,9.76,6.39,3.22,5.49,8.53,13.19,5.49,8.53,13.19,36,36,1052.02,306.12,63.28,12.28,7.00,3.47,nan
2026/05/30T01:09:47z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,40,41,1019.61,4.87,26248,0,219,5.15,8.25,11.22,5.15,8.25,11.22,34,34,1016.05,302.22,54.20,8.85,4.18,1.88,4.82,7.93,15.42,4.82,7.93,15.42,33,33,978.68,289.91,63.67,16.40,11.18,5.12,86.22
2026/05/30T01:11:47z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,41,40,1019.66,4.87,26248,0,339,5.60,8.36,9.83,5.60,8.36,9.83,35,35,1060.66,309.40,57.10,6.55,2.41,1.03,4.64,8.09,15.38,4.64,8.09,15.38,34,34,1004.38,291.10,58.93,15.98,10.67,5.81,89.46
2026/05/30T01:13:47z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,41,42,1019.61,4.87,26248,0,459,5.73,8.98,11.29,5.73,8.98,11.29,37,37,1064.04,326.80,57.82,9.39,4.04,1.16,5.20,8.85,14.93,5.20,8.85,14.93,37,37,1052.69,310.29,64.90,15.05,8.83,5.34,90.79
2026/05/30T01:15:47z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,41,42,1019.65,4.87,26248,0,579,5.62,8.19,11.31,5.62,8.19,11.31,34,34,1051.09,318.43,59.84,7.26,4.62,1.76,4.62,7.53,13.79,4.62,7.53,13.79,31,31,945.31,278.28,61.34,12.57,9.19,5.36,90.70
2026/05/30T01:17:47z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,42,42,1019.61,4.87,26248,0,699,5.68,8.20,11.38,5.68,8.20,11.38,34,34,1122.35,336.07,52.63,7.73,4.60,2.08,4.77,7.57,13.98,4.77,7.57,13.98,32,32,954.86,278.93,66.41,11.41,9.02,6.38,89.79
2026/05/30T01:19:47z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,42,42,1019.63,4.87,26248,0,819,5.05,7.53,10.98,5.05,7.53,10.98,31,31,1041.89,309.72,50.49,6.47,4.95,2.30,5.14,7.75,13.51,5.14,7.75,13.51,32,32,951.42,281.07,58.46,13.02,7.98,5.37,88.40
2026/05/30T01:21:47z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,43,42,1019.61,4.87,26248,0,939,5.57,8.50,11.72,5.57,8.50,11.72,35,35,1115.48,328.60,57.22,8.33,4.36,1.97,4.37,6.27,10.68,4.37,6.27,10.68,26,26,868.68,257.66,47.61,8.34,5.86,4.41,90.04
