Stations: Seattle Duwamish Vly,
QMUs: Light Scatter eco_9003_2 | Pm2.5 MetOne Bam | Pm2.5 Nephelometer,
Aggregates: 1-Hour Average,
Query Start Date: 5/13/2026 ,
Query End Date: 5/20/2026,
File Creation Date: 5/23/2026,
NOTE: PSCAA developed aggregates in 2017 using standards applicable at that time,,

Observation Time,Seattle Duwamish Vly - LightScatEc2 - bscat10 e-4 - 1Hr Avg,Seattle Duwamish Vly - Pm25MetOneBam - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25Neph - ug/m3 - 1Hr Avg
5/13/2026 12:00:00 AM,0.1630000000,5.8000000000,4.6000000000
5/13/2026 1:00:00 AM,0.1730000000,4.7000000000,4.9000000000
5/13/2026 2:00:00 AM,0.1550000000,4.4000000000,4.4000000000
5/13/2026 3:00:00 AM,0.1540000000,4.0000000000,4.4000000000
5/13/2026 4:00:00 AM,0.1600000000,4.2000000000,4.5000000000
5/13/2026 5:00:00 AM,0.2010000000,4.3000000000,5.7000000000
5/13/2026 6:00:00 AM,0.1990000000,4.5000000000,5.6000000000
5/13/2026 7:00:00 AM,0.1670000000,6.5000000000,4.7000000000
5/13/2026 8:00:00 AM,0.1370000000,6.7000000000,3.9000000000
5/13/2026 9:00:00 AM,0.1290000000,5.8000000000,3.7000000000
5/13/2026 10:00:00 AM,0.1490000000,5.2000000000,4.2000000000
5/13/2026 11:00:00 AM,0.1420000000,4.5000000000,4.0000000000
5/13/2026 12:00:00 PM,0.1540000000,4.5000000000,4.4000000000
5/13/2026 1:00:00 PM,0.1320000000,3.6000000000,3.8000000000
5/13/2026 2:00:00 PM,0.1300000000,5.5000000000,3.7000000000
5/13/2026 3:00:00 PM,0.1100000000,4.9000000000,3.1000000000
5/13/2026 4:00:00 PM,0.1220000000,3.4000000000,3.5000000000
5/13/2026 5:00:00 PM,0.1200000000,3.4000000000,3.4000000000
5/13/2026 6:00:00 PM,0.1710000000,4.1000000000,4.8000000000
5/13/2026 7:00:00 PM,0.1270000000,2.6000000000,3.6000000000
5/13/2026 8:00:00 PM,0.1080000000,3.4000000000,3.1000000000
5/13/2026 9:00:00 PM,0.1010000000,2.8000000000,2.9000000000
5/13/2026 10:00:00 PM,0.0960000000,5.1000000000,2.7000000000
5/13/2026 11:00:00 PM,0.0900000000,4.9000000000,2.6000000000
5/14/2026 12:00:00 AM,0.1390000000,4.8000000000,3.9000000000
5/14/2026 1:00:00 AM,0.1180000000,4.7000000000,3.4000000000
5/14/2026 2:00:00 AM,0.1020000000,2.7000000000,2.9000000000
5/14/2026 3:00:00 AM,0.1080000000,3.8000000000,3.1000000000
5/14/2026 4:00:00 AM,0.1340000000,3.6000000000,3.8000000000
5/14/2026 5:00:00 AM,0.1300000000,5.0000000000,3.7000000000
5/14/2026 6:00:00 AM,0.1400000000,6.4000000000,4.0000000000
5/14/2026 7:00:00 AM,0.1450000000,5.6000000000,4.1000000000
5/14/2026 8:00:00 AM,0.1450000000,5.0000000000,4.1000000000
5/14/2026 9:00:00 AM,0.1360000000,7.3000000000,3.9000000000
5/14/2026 10:00:00 AM,0.1060000000,4.3000000000,3.0000000000
5/14/2026 11:00:00 AM,0.1150000000,4.2000000000,3.3000000000
5/14/2026 12:00:00 PM,0.0860000000,4.4000000000,2.5000000000
5/14/2026 1:00:00 PM,0.0800000000,4.2000000000,2.3000000000
5/14/2026 2:00:00 PM,0.1000000000,4.3000000000,2.9000000000
5/14/2026 3:00:00 PM,0.0950000000,3.3000000000,2.7000000000
5/14/2026 4:00:00 PM,0.0930000000,2.3000000000,2.6000000000
5/14/2026 5:00:00 PM,0.0850000000,2.9000000000,2.4000000000
5/14/2026 6:00:00 PM,0.0750000000,1.8000000000,2.1000000000
5/14/2026 7:00:00 PM,0.0740000000,3.3000000000,2.1000000000
5/14/2026 8:00:00 PM,0.0760000000,4.7000000000,2.2000000000
5/14/2026 9:00:00 PM,0.0750000000,4.7000000000,2.2000000000
5/14/2026 10:00:00 PM,0.0720000000,4.6000000000,2.1000000000
5/14/2026 11:00:00 PM,0.1010000000,3.4000000000,2.9000000000
5/15/2026 12:00:00 AM,0.1480000000,5.7000000000,4.2000000000
5/15/2026 1:00:00 AM,0.1560000000,4.2000000000,4.4000000000
5/15/2026 2:00:00 AM,0.1480000000,4.5000000000,4.2000000000
5/15/2026 3:00:00 AM,0.1660000000,5.3000000000,4.7000000000
5/15/2026 4:00:00 AM,0.2070000000,8.9000000000,5.9000000000
5/15/2026 5:00:00 AM,0.1450000000,6.9000000000,4.1000000000
5/15/2026 6:00:00 AM,0.1500000000,4.7000000000,4.3000000000
5/15/2026 7:00:00 AM,0.1410000000,6.3000000000,4.0000000000
5/15/2026 8:00:00 AM,0.1270000000,5.2000000000,3.6000000000
5/15/2026 9:00:00 AM,0.0950000000,4.1000000000,2.7000000000
5/15/2026 10:00:00 AM,0.0630000000,,1.8000000000
5/15/2026 11:00:00 AM,0.0520000000,2.6000000000,1.5000000000
5/15/2026 12:00:00 PM,0.0610000000,1.7000000000,1.7000000000
5/15/2026 1:00:00 PM,0.0520000000,1.0000000000,1.5000000000
5/15/2026 2:00:00 PM,0.0440000000,0.9000000000,1.3000000000
5/15/2026 3:00:00 PM,0.0430000000,1.0000000000,1.2000000000
5/15/2026 4:00:00 PM,0.0530000000,3.5000000000,1.5000000000
5/15/2026 5:00:00 PM,0.0570000000,3.6000000000,1.6000000000
5/15/2026 6:00:00 PM,0.0600000000,1.5000000000,1.7000000000
5/15/2026 7:00:00 PM,0.0570000000,2.8000000000,1.6000000000
5/15/2026 8:00:00 PM,0.0620000000,2.0000000000,1.8000000000
5/15/2026 9:00:00 PM,0.0580000000,3.6000000000,1.7000000000
5/15/2026 10:00:00 PM,0.0630000000,5.1000000000,1.8000000000
5/15/2026 11:00:00 PM,0.0680000000,3.4000000000,1.9000000000
5/16/2026 12:00:00 AM,0.0650000000,1.9000000000,1.9000000000
5/16/2026 1:00:00 AM,0.0660000000,3.1000000000,1.9000000000
5/16/2026 2:00:00 AM,0.0670000000,4.7000000000,1.9000000000
5/16/2026 3:00:00 AM,0.0740000000,3.9000000000,2.1000000000
5/16/2026 4:00:00 AM,0.0630000000,4.4000000000,1.8000000000
5/16/2026 5:00:00 AM,0.0550000000,4.2000000000,1.6000000000
5/16/2026 6:00:00 AM,0.0610000000,,1.8000000000
5/16/2026 7:00:00 AM,0.0530000000,,1.5000000000
5/16/2026 8:00:00 AM,0.0490000000,,1.4000000000
5/16/2026 9:00:00 AM,0.0570000000,,1.6000000000
5/16/2026 10:00:00 AM,0.0640000000,,1.8000000000
5/16/2026 11:00:00 AM,0.0720000000,,2.1000000000
5/16/2026 12:00:00 PM,0.0680000000,,1.9000000000
5/16/2026 1:00:00 PM,0.0630000000,,1.8000000000
5/16/2026 2:00:00 PM,0.0480000000,,1.4000000000
5/16/2026 3:00:00 PM,0.0630000000,,1.8000000000
5/16/2026 4:00:00 PM,0.0610000000,,1.8000000000
5/16/2026 5:00:00 PM,0.0470000000,,1.4000000000
5/16/2026 6:00:00 PM,0.0360000000,,1.0000000000
5/16/2026 7:00:00 PM,0.0680000000,,2.0000000000
5/16/2026 8:00:00 PM,0.0750000000,,2.2000000000
5/16/2026 9:00:00 PM,0.0980000000,,2.8000000000
5/16/2026 10:00:00 PM,0.0740000000,,2.1000000000
5/16/2026 11:00:00 PM,0.0740000000,,2.1000000000
5/17/2026 12:00:00 AM,0.0970000000,,2.8000000000
5/17/2026 1:00:00 AM,0.1050000000,,3.0000000000
5/17/2026 2:00:00 AM,0.0740000000,,2.1000000000
5/17/2026 3:00:00 AM,0.1160000000,,3.3000000000
5/17/2026 4:00:00 AM,0.1220000000,,3.5000000000
5/17/2026 5:00:00 AM,0.1230000000,,3.5000000000
5/17/2026 6:00:00 AM,0.1620000000,,4.6000000000
5/17/2026 7:00:00 AM,0.2100000000,,5.9000000000
5/17/2026 8:00:00 AM,0.1830000000,,5.2000000000
5/17/2026 9:00:00 AM,0.1430000000,,4.1000000000
5/17/2026 10:00:00 AM,0.0930000000,,2.7000000000
5/17/2026 11:00:00 AM,0.0860000000,,2.5000000000
5/17/2026 12:00:00 PM,0.0760000000,,2.2000000000
5/17/2026 1:00:00 PM,0.1160000000,,3.3000000000
5/17/2026 2:00:00 PM,0.0680000000,,2.0000000000
5/17/2026 3:00:00 PM,0.0480000000,,1.4000000000
5/17/2026 4:00:00 PM,0.0480000000,,1.4000000000
5/17/2026 5:00:00 PM,0.0570000000,,1.6000000000
5/17/2026 6:00:00 PM,0.0670000000,,1.9000000000
5/17/2026 7:00:00 PM,0.0940000000,,2.7000000000
5/17/2026 8:00:00 PM,0.1200000000,,3.4000000000
5/17/2026 9:00:00 PM,0.1230000000,,3.5000000000
5/17/2026 10:00:00 PM,0.1600000000,,4.5000000000
5/17/2026 11:00:00 PM,0.1960000000,,5.5000000000
5/18/2026 12:00:00 AM,,,
