UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/06/08T22:27:21z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,37,47,1000.67,nan,26336,0,100,3.34,5.11,5.39,3.34,5.11,5.39,21,21,790.02,239.14,18.34,4.34,0.32,0.09,0.95,2.02,2.35,0.95,2.02,2.35,8,8,318.14,88.95,12.30,4.05,0.42,0.12,nan
2026/06/08T22:29:21z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,34,46,1000.67,4.79,26248,0,220,1.75,2.76,3.08,1.75,2.76,3.08,12,12,646.88,185.29,13.00,3.78,0.39,0.39,0.56,1.25,1.86,0.56,1.25,1.86,5,5,327.05,95.32,10.32,3.04,1.32,0.00,99.88
2026/06/08T22:32:19z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,34,47,1000.59,nan,26336,0,99,1.25,2.68,2.84,1.25,2.68,2.84,11,11,635.80,150.66,13.20,3.75,0.16,0.16,0.35,1.60,2.21,0.35,1.60,2.21,7,7,321.35,90.07,14.51,4.84,0.84,0.00,nan
2026/06/08T22:34:19z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,32,46,1000.50,4.77,26248,0,219,1.17,2.32,2.32,1.17,2.32,2.32,10,10,545.14,133.08,11.95,3.24,0.00,0.00,0.53,1.18,1.96,0.53,1.18,1.96,5,5,320.24,92.58,12.60,3.27,1.58,0.13,90.02
2026/06/08T22:36:19z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,31,46,1000.49,4.77,26248,0,339,0.98,1.39,1.39,0.98,1.39,1.39,6,6,580.68,131.96,10.61,0.23,0.00,0.00,0.24,0.76,0.76,0.24,0.76,0.76,3,3,320.85,86.98,10.59,0.64,0.00,0.00,107.10
2026/06/08T22:38:19z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,30,46,1000.47,4.77,26248,0,459,0.91,1.55,1.59,0.91,1.55,1.59,6,6,514.29,120.91,10.50,1.18,0.18,0.00,0.44,0.88,1.14,0.44,0.88,1.14,4,4,328.27,95.73,10.68,0.56,0.37,0.00,110.62
2026/06/08T22:40:19z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,30,46,1000.43,4.77,25936,0,579,0.75,1.27,1.44,0.75,1.27,1.44,5,5,474.61,111.54,11.76,0.41,0.20,0.00,0.41,0.97,1.05,0.41,0.97,1.05,4,4,310.09,87.31,11.38,0.86,0.26,0.00,107.81
2026/06/08T22:42:19z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,30,45,1000.39,4.77,25936,0,699,1.07,1.25,1.56,1.07,1.25,1.56,5,5,553.53,124.03,9.03,0.95,0.34,0.17,0.52,0.77,0.86,0.52,0.77,0.86,3,3,280.71,76.86,9.86,0.82,0.23,0.00,105.97
2026/06/08T22:44:19z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,30,45,1000.33,4.77,26248,0,819,0.81,1.16,1.43,0.81,1.16,1.43,5,5,458.28,106.36,8.40,0.53,0.36,0.00,0.09,0.46,0.74,0.09,0.46,0.74,2,2,257.05,70.96,8.67,1.26,0.42,0.23,106.33
2026/06/08T22:46:19z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,29,46,1000.36,4.77,26248,0,939,0.75,1.04,1.04,0.75,1.04,1.04,4,4,496.29,111.04,7.07,0.23,0.00,0.00,0.37,0.52,0.70,0.37,0.52,0.70,2,2,271.45,70.30,7.22,0.95,0.68,0.23,104.41
2026/06/08T22:48:19z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,29,46,1000.33,4.77,26248,0,1059,0.79,1.36,1.47,0.79,1.36,1.47,6,6,560.69,118.45,9.17,0.57,0.17,0.17,0.45,1.17,1.17,0.45,1.17,1.17,5,5,301.34,87.69,8.57,0.91,0.00,0.00,102.20
2026/06/08T22:50:19z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,29,46,1000.32,4.77,26248,0,1179,1.25,1.90,1.97,1.25,1.90,1.97,8,8,515.19,118.07,10.88,0.64,0.07,0.07,0.56,0.77,0.77,0.56,0.77,0.77,3,3,284.89,80.67,9.00,0.25,0.00,0.00,101.59
2026/06/08T22:52:00z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,29,46,1000.32,nan,26336,0,100,1.20,1.42,1.42,1.20,1.42,1.42,6,6,495.80,109.47,8.67,0.49,0.00,0.00,0.52,0.69,0.69,0.52,0.69,0.69,3,3,257.21,76.52,6.19,0.24,0.00,0.00,nan
2026/06/08T22:54:00z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,29,45,1000.29,4.77,26248,0,220,0.98,1.43,1.83,0.98,1.43,1.83,6,6,499.75,117.33,9.05,1.68,0.68,0.00,0.40,0.89,0.96,0.40,0.89,0.96,4,4,268.74,71.35,7.39,0.63,0.25,0.00,103.01
2026/06/08T22:56:00z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,29,45,1000.32,4.77,26248,0,340,0.89,1.25,1.42,0.89,1.25,1.42,5,5,530.42,123.28,13.26,0.74,0.19,0.19,0.51,1.10,1.42,0.51,1.10,1.42,5,5,273.66,75.34,10.98,0.69,0.25,0.25,103.24
2026/06/08T22:58:00z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,28,45,1000.29,4.77,26248,0,460,1.41,2.00,2.11,1.41,2.00,2.11,8,8,548.68,122.18,10.11,0.82,0.25,0.04,0.41,1.05,1.22,0.41,1.05,1.22,4,4,295.63,81.00,11.20,1.00,0.17,0.00,103.01
2026/06/08T23:00:00z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,28,45,1000.29,4.77,26248,0,580,1.44,2.14,2.44,1.44,2.14,2.44,9,9,548.08,127.81,10.85,1.51,0.63,0.25,0.72,1.11,1.61,0.72,1.11,1.61,5,5,286.21,82.54,8.77,1.32,0.77,0.25,104.08
2026/06/08T23:02:00z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,28,46,1000.28,4.77,26248,0,700,1.44,2.12,2.20,1.44,2.12,2.20,9,9,539.69,127.51,10.76,0.66,0.41,0.00,0.60,1.07,1.25,0.60,1.07,1.25,4,4,273.38,77.58,8.27,1.62,0.44,0.00,110.28
2026/06/08T23:04:00z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,28,46,1000.28,4.77,26248,0,820,1.03,1.19,1.45,1.03,1.19,1.45,5,5,484.71,111.52,5.93,0.76,0.40,0.00,0.88,1.09,1.41,0.88,1.09,1.41,5,5,292.03,79.53,6.29,0.91,0.48,0.00,112.33
2026/06/08T23:06:00z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,28,46,1000.25,4.77,26248,0,940,0.89,1.40,1.61,0.89,1.40,1.61,6,6,453.53,113.12,8.60,1.09,0.21,0.00,0.71,1.27,1.37,0.71,1.27,1.37,5,5,328.47,92.83,10.27,1.02,0.00,0.00,114.19
2026/06/08T23:08:00z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,29,46,1000.24,4.77,26248,0,1060,0.47,1.34,1.34,0.47,1.34,1.34,6,6,530.08,125.58,11.17,0.90,0.00,0.00,0.74,0.79,1.12,0.74,0.79,1.12,3,3,299.17,78.40,7.69,0.48,0.48,0.17,115.37
2026/06/08T23:10:00z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,29,45,1000.27,4.77,26248,0,1180,0.80,1.27,1.44,0.80,1.27,1.44,5,5,444.51,104.41,9.80,1.19,0.34,0.17,1.00,1.00,1.14,1.00,1.00,1.14,4,4,303.42,87.28,7.96,0.56,0.14,0.00,204.67
2026/06/08T23:11:40z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,29,46,1000.25,nan,26336,0,100,1.09,1.58,2.18,1.09,1.58,2.18,7,7,575.13,138.56,9.22,1.38,0.82,0.31,0.49,1.05,1.60,0.49,1.05,1.60,4,4,250.81,76.09,10.77,1.67,0.79,0.26,nan
2026/06/08T23:13:40z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,29,45,1000.23,4.77,26248,0,220,2.00,2.31,2.71,2.00,2.31,2.71,10,10,620.85,153.03,10.41,0.69,0.44,0.24,0.49,0.81,1.14,0.49,0.81,1.14,3,3,284.74,79.75,8.65,1.07,0.33,0.00,251.04
2026/06/08T23:15:40z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,29,46,1000.17,4.77,26248,0,340,1.70,2.14,2.47,1.70,2.14,2.47,9,9,536.79,140.77,9.75,0.61,0.40,0.18,0.64,1.10,1.27,0.64,1.10,1.27,5,5,275.03,79.95,9.56,1.25,0.17,0.00,234.38
2026/06/08T23:17:40z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,29,46,1000.15,4.77,26248,0,460,1.68,2.05,2.21,1.68,2.05,2.21,9,9,586.37,139.89,6.65,0.44,0.19,0.00,0.52,1.23,1.23,0.52,1.23,1.23,5,5,279.95,78.10,9.55,0.40,0.17,0.00,218.91
2026/06/08T23:19:40z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,29,46,1000.14,4.77,26248,0,580,0.93,1.38,1.72,0.93,1.38,1.72,6,6,464.20,117.70,11.23,0.88,0.47,0.00,0.56,0.77,0.96,0.56,0.77,0.96,3,3,291.47,81.96,9.19,0.81,0.23,0.00,208.07
2026/06/08T23:21:40z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,29,46,1000.03,4.77,26248,0,700,1.54,1.83,2.20,1.54,1.83,2.20,8,8,510.51,121.92,12.61,0.76,0.59,0.00,0.65,1.07,1.07,0.65,1.07,1.07,4,4,278.07,78.85,9.87,0.40,0.00,0.00,193.51
2026/06/08T23:23:40z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,29,46,999.93,4.77,26248,0,820,1.62,2.00,2.17,1.62,2.00,2.17,8,8,546.41,134.52,8.48,0.60,0.19,0.00,0.52,0.97,1.12,0.52,0.97,1.12,4,4,276.10,75.71,6.59,1.00,0.16,0.00,182.66
2026/06/08T23:25:40z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,29,46,999.93,4.77,26248,0,940,2.09,2.86,2.86,2.09,2.86,2.86,12,12,635.20,167.09,12.91,0.38,0.00,0.00,0.67,1.00,1.34,0.67,1.00,1.34,4,4,289.86,80.86,8.05,0.66,0.48,0.00,175.30
2026/06/08T23:27:40z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,29,46,999.85,4.77,26248,0,1060,1.22,1.59,1.59,1.22,1.59,1.59,7,7,531.10,136.40,7.78,0.98,0.00,0.00,0.71,0.83,1.14,0.71,0.83,1.14,3,3,270.52,77.62,6.79,0.62,0.62,0.17,173.26
2026/06/08T23:29:40z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,29,45,999.77,4.77,26248,0,1180,1.51,1.73,1.81,1.51,1.73,1.81,7,7,536.19,125.42,8.66,0.25,0.00,0.00,0.38,0.61,0.86,0.38,0.61,0.86,3,3,282.59,80.46,7.82,1.05,0.29,0.02,171.89
2026/06/08T23:31:21z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,29,46,999.80,nan,26336,0,100,1.11,1.62,1.80,1.11,1.62,1.80,7,7,535.53,126.56,9.33,0.56,0.22,0.00,0.12,0.37,0.79,0.12,0.37,0.79,2,2,266.09,74.98,13.70,1.19,0.65,0.00,nan
