UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/06/10T00:01:50z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1012.76,4.83,26248,0,340,0.95,1.03,1.03,0.95,1.03,1.03,4,4,397.24,105.19,4.40,0.17,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.22,0,0,81.71,23.08,4.15,0.59,0.36,0.00,63.72
2026/06/10T00:03:49z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1012.75,4.83,26248,0,460,0.36,0.45,0.45,0.36,0.45,0.45,2,2,319.98,76.86,3.96,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,86.75,23.70,1.10,0.42,0.25,0.00,63.88
2026/06/10T00:05:49z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1012.77,4.83,26248,0,580,0.59,0.69,0.69,0.59,0.69,0.69,3,3,368.95,96.39,1.68,0.20,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.28,0,0,119.95,33.79,3.09,0.61,0.37,0.00,63.79
2026/06/10T00:07:49z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1012.81,4.83,26248,0,700,0.73,0.83,0.92,0.73,0.83,0.92,3,3,350.39,98.34,3.07,0.41,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,79.42,21.33,1.62,0.91,0.45,0.00,63.87
2026/06/10T00:09:49z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1012.83,4.83,26248,0,820,0.89,1.28,1.46,0.89,1.28,1.46,5,5,404.58,105.02,3.96,0.70,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,73.42,20.29,1.98,0.32,0.27,0.00,63.88
2026/06/10T00:11:49z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1012.82,4.83,26248,0,940,0.49,0.91,1.19,0.49,0.91,1.19,4,4,284.47,80.09,4.75,1.35,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,80.90,23.44,2.63,0.34,0.25,0.00,63.78
2026/06/10T00:13:49z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1012.84,4.83,26248,0,1060,0.46,0.56,0.68,0.46,0.56,0.68,2,2,352.89,86.68,2.74,0.37,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,93.93,25.34,3.10,0.74,0.16,0.00,63.50
2026/06/10T00:15:49z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1012.83,4.83,26248,0,1180,0.98,0.98,1.10,0.98,0.98,1.10,4,4,369.00,98.93,3.53,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,82.39,24.07,2.16,0.36,0.12,0.00,63.68
2026/06/10T00:17:30z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1012.88,nan,26336,0,100,0.69,0.96,0.96,0.69,0.96,0.96,4,4,318.33,84.67,3.78,0.22,0.00,0.00,0.00,0.00,0.65,0.00,0.00,0.65,0,0,71.58,19.65,4.60,1.98,0.98,0.33,nan
2026/06/10T00:19:30z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1012.90,4.83,25936,0,220,1.00,1.20,1.44,1.00,1.20,1.44,5,5,391.47,108.12,3.34,0.80,0.63,0.17,0.00,0.00,0.18,0.00,0.00,0.18,0,0,84.11,22.98,3.93,0.96,0.48,0.23,63.61
2026/06/10T00:21:30z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1012.86,4.83,26248,0,340,1.30,1.32,1.61,1.30,1.32,1.61,5,5,475.37,129.75,3.14,0.61,0.39,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0,0,78.93,21.47,3.26,0.36,0.19,0.00,63.61
2026/06/10T00:23:30z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1012.93,4.83,26248,0,460,0.86,1.34,1.41,0.86,1.34,1.41,6,6,358.71,102.98,5.11,2.52,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,84.56,22.90,3.42,0.20,0.00,0.00,63.49
2026/06/10T00:25:30z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1012.93,4.83,26248,0,580,0.83,0.92,0.93,0.83,0.92,0.93,4,4,481.47,124.51,1.75,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,82.29,23.22,1.03,0.26,0.19,0.19,63.36
2026/06/10T00:27:30z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1012.94,4.83,26248,0,700,0.40,0.47,0.53,0.40,0.47,0.53,2,2,367.24,99.43,1.62,0.36,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,79.61,22.29,3.18,0.61,0.23,0.00,63.49
2026/06/10T00:29:30z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1012.94,4.83,26248,0,820,0.46,0.47,0.47,0.46,0.47,0.47,2,2,352.26,99.32,2.44,0.30,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.19,0,0,59.90,16.72,3.00,1.03,0.60,0.00,63.40
2026/06/10T00:31:30z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1013.03,4.83,26248,0,940,0.52,1.07,1.07,0.52,1.07,1.07,4,4,376.18,109.50,4.21,2.41,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.25,0,0,80.54,22.92,5.75,0.59,0.37,0.17,63.33
