UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/13T00:01:34z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,19,40,1008.25,4.93,26248,0,700,3.05,3.84,4.95,3.05,3.84,4.95,16,16,729.16,203.00,20.83,2.95,1.93,0.43,2.77,4.40,5.40,2.77,4.40,5.40,18,18,675.16,185.33,32.68,4.02,1.53,0.72,50.00
2026/05/13T00:03:34z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,19,41,1008.28,4.93,26248,0,820,3.09,4.12,4.66,3.09,4.12,4.66,17,17,691.97,196.76,28.07,2.02,0.83,0.21,3.45,4.69,5.59,3.45,4.69,5.59,20,20,731.43,213.38,26.78,2.66,1.07,0.50,50.00
2026/05/13T00:05:34z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,19,41,1008.27,4.93,26248,0,940,3.02,4.25,4.75,3.02,4.25,4.75,18,18,727.82,197.68,23.32,2.00,0.75,0.38,3.22,4.24,5.80,3.22,4.24,5.80,18,18,742.98,214.37,30.47,3.17,2.69,0.15,50.00
2026/05/13T00:07:34z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,19,41,1008.32,4.93,26248,0,1060,3.19,4.52,5.21,3.19,4.52,5.21,19,19,757.45,212.95,26.98,2.29,1.40,0.21,2.83,4.24,5.59,2.83,4.24,5.59,18,18,725.14,203.59,25.00,4.63,2.00,0.17,50.00
2026/05/13T00:09:34z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,19,41,1008.29,4.93,26248,0,1180,3.05,4.10,4.56,3.05,4.10,4.56,17,17,674.80,192.02,24.97,2.47,0.64,0.00,3.18,4.18,5.93,3.18,4.18,5.93,17,17,720.63,194.53,25.00,3.84,2.40,1.40,50.00
2026/05/13T00:11:15z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,20,41,1008.33,nan,26336,0,100,3.00,3.83,4.35,3.00,3.83,4.35,16,16,664.04,190.04,17.93,1.48,0.83,0.00,2.83,3.76,3.98,2.83,3.76,3.98,16,16,627.71,182.88,23.33,0.36,0.36,0.05,nan
2026/05/13T00:13:15z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,19,41,1008.33,4.93,26248,0,220,3.54,4.05,4.25,3.54,4.05,4.25,17,17,723.71,204.66,19.05,1.46,0.36,0.17,2.55,4.04,5.48,2.55,4.04,5.48,17,17,718.34,195.38,25.88,3.38,2.18,1.02,50.00
2026/05/13T00:15:15z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,19,42,1008.30,4.93,26248,0,340,3.29,4.29,4.61,3.29,4.29,4.61,18,18,744.96,212.02,23.82,1.52,0.54,0.30,3.54,4.69,5.90,3.54,4.69,5.90,20,20,794.03,227.46,28.08,3.90,2.05,0.22,50.00
2026/05/13T00:17:15z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,19,42,1008.31,4.93,26248,0,460,3.04,4.27,5.12,3.04,4.27,5.12,18,18,712.71,205.21,21.00,2.88,1.32,0.89,3.32,4.08,4.68,3.32,4.08,4.68,17,17,727.78,200.36,19.88,2.61,1.07,0.17,50.00
2026/05/13T00:19:15z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,19,41,1008.25,4.93,26248,0,580,3.82,5.30,6.17,3.82,5.30,6.17,22,22,823.25,234.78,26.80,3.18,1.80,0.15,3.12,4.35,5.56,3.12,4.35,5.56,18,18,788.95,213.91,30.63,2.68,1.93,0.47,50.00
