UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/07T00:01:06z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,45,44,1021.18,4.96,26248,0,821,2.30,4.26,5.44,2.30,4.26,5.44,18,18,589.47,165.49,31.37,4.30,2.07,0.39,2.63,4.05,5.44,2.63,4.05,5.44,17,17,588.71,172.41,25.42,3.64,2.46,0.49,50.00
2026/05/07T00:03:06z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,45,44,1021.08,4.96,26248,0,940,2.48,3.96,4.77,2.48,3.96,4.77,17,17,612.05,175.73,28.55,2.82,1.21,0.64,2.58,3.64,4.85,2.58,3.64,4.85,15,15,571.32,165.64,21.03,3.54,2.25,0.44,50.00
2026/05/07T00:05:06z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,45,43,1021.15,4.96,26248,0,1060,2.34,3.58,4.32,2.34,3.58,4.32,15,15,559.02,156.58,23.39,3.17,1.10,0.44,2.48,4.00,5.09,2.48,4.00,5.09,17,17,591.26,171.53,31.36,2.64,1.81,0.50,50.00
2026/05/07T00:07:06z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,46,43,1021.17,4.96,26248,0,1180,2.12,3.46,4.42,2.12,3.46,4.42,14,14,542.69,150.05,28.63,2.59,1.51,0.42,2.36,3.68,4.64,2.36,3.68,4.64,15,15,567.32,159.77,23.48,3.62,1.61,0.34,50.00
2026/05/07T00:08:46z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,46,44,1021.18,nan,26024,0,100,2.43,3.67,4.46,2.43,3.67,4.46,15,15,560.35,162.11,22.35,2.54,1.35,0.52,2.23,3.16,4.39,2.23,3.16,4.39,13,13,518.86,152.18,24.02,2.45,2.05,0.25,nan
2026/05/07T00:10:46z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,45,45,1021.08,4.96,26248,0,220,2.14,3.68,4.95,2.14,3.68,4.95,15,15,546.71,157.08,26.17,3.17,1.86,0.75,2.04,3.27,4.25,2.04,3.27,4.25,14,14,525.96,149.73,23.20,3.48,1.55,0.25,50.00
2026/05/07T00:12:46z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,45,44,1021.09,4.96,26248,0,340,2.16,3.86,4.75,2.16,3.86,4.75,16,16,567.37,163.05,30.77,4.65,1.68,0.09,2.00,3.10,4.43,2.00,3.10,4.43,13,13,498.98,148.26,22.69,4.16,2.40,0.66,50.00
2026/05/07T00:14:46z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,44,43,1021.09,4.96,26248,0,460,2.54,3.41,4.45,2.54,3.41,4.45,14,14,566.95,166.61,25.54,2.41,1.45,0.41,2.12,3.41,4.49,2.12,3.41,4.49,14,14,525.25,150.58,23.47,4.37,1.85,0.22,50.00
2026/05/07T00:16:46z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,44,43,1021.09,4.96,26248,0,580,2.15,3.23,4.47,2.15,3.23,4.47,13,13,520.70,150.43,27.35,3.35,1.82,0.30,2.53,3.93,5.04,2.53,3.93,5.04,16,16,556.68,163.56,27.32,3.23,1.63,0.68,50.00
2026/05/07T00:18:46z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,44,43,1021.08,4.96,26248,0,700,2.14,3.47,4.66,2.14,3.47,4.66,14,14,544.53,153.80,23.93,3.47,1.88,0.41,2.21,3.09,4.47,2.21,3.09,4.47,13,13,524.26,151.12,23.93,3.30,2.40,0.21,50.00
2026/05/07T00:20:46z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,44,44,1021.07,4.96,26248,0,820,2.17,3.14,3.76,2.17,3.14,3.76,13,13,559.24,158.76,18.22,2.00,1.00,0.00,2.93,4.10,4.78,2.93,4.10,4.78,17,17,637.85,183.00,24.30,2.82,1.27,0.28,50.00
2026/05/07T00:22:46z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,45,43,1021.15,4.96,26248,0,940,2.51,4.00,4.39,2.51,4.00,4.39,17,17,586.00,167.35,28.05,2.82,0.42,0.19,2.69,3.34,4.88,2.69,3.34,4.88,14,14,567.10,165.12,24.14,3.42,2.41,0.68,50.00
2026/05/07T00:24:46z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,45,44,1021.17,4.96,26248,0,1060,2.19,3.86,4.68,2.19,3.86,4.68,16,16,570.05,156.81,24.72,4.18,1.02,0.63,2.43,3.45,3.84,2.43,3.45,3.84,14,14,566.90,161.67,19.90,2.38,0.64,0.17,50.00
