UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/06T00:00:49z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,28,47,1015.74,4.96,26248,0,700,7.69,10.02,10.20,7.69,10.02,10.20,42,42,1397.39,405.03,55.27,1.41,0.41,0.00,7.73,10.43,11.66,7.73,10.43,11.66,43,43,1436.95,409.41,60.73,3.91,1.66,0.21,102.10
2026/05/06T00:02:48z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,28,48,1015.73,4.96,26248,0,820,7.81,10.77,11.58,7.81,10.77,11.58,45,45,1468.21,428.07,71.95,2.63,1.40,0.25,8.71,11.36,12.10,8.71,11.36,12.10,47,47,1545.93,444.26,65.43,3.10,0.84,0.00,104.63
2026/05/06T00:04:48z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,27,47,1015.69,4.96,26248,0,940,8.56,11.28,11.96,8.56,11.28,11.96,47,47,1513.32,436.95,69.53,3.44,1.12,0.00,7.83,10.22,11.33,7.83,10.22,11.33,43,43,1512.75,434.45,56.70,3.58,2.20,0.00,104.51
2026/05/06T00:06:48z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,28,46,1015.69,4.96,26248,0,1060,7.83,10.12,10.53,7.83,10.12,10.53,42,42,1404.05,403.71,56.17,3.28,0.71,0.00,7.81,10.00,11.44,7.81,10.00,11.44,42,42,1460.00,415.30,59.77,3.53,2.42,0.00,103.64
2026/05/06T00:08:48z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,29,47,1015.65,4.96,26248,0,1180,7.97,10.61,11.64,7.97,10.61,11.64,44,44,1472.29,421.61,68.10,4.25,1.76,0.00,8.25,10.52,11.16,8.25,10.52,11.16,44,44,1504.07,427.27,56.04,3.84,1.21,0.00,103.37
2026/05/06T00:10:29z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,29,47,1015.58,nan,26336,0,100,7.89,10.34,11.30,7.89,10.34,11.30,43,43,1456.98,418.04,71.96,2.74,1.60,0.21,8.53,10.88,13.63,8.53,10.88,13.63,45,45,1546.81,449.12,65.60,7.93,3.81,0.00,nan
2026/05/06T00:12:29z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,30,47,1015.60,4.96,26248,0,220,7.91,10.09,11.09,7.91,10.09,11.09,42,42,1459.60,406.97,60.00,2.79,1.60,0.09,7.73,10.68,11.57,7.73,10.68,11.57,44,44,1512.21,437.45,63.45,3.52,1.46,0.00,100.12
2026/05/06T00:14:29z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,30,47,1015.63,4.96,26248,0,340,7.96,10.12,10.93,7.96,10.12,10.93,42,42,1395.95,411.25,64.11,2.63,1.19,0.11,7.65,9.62,10.75,7.65,9.62,10.75,40,40,1421.00,408.00,51.05,4.00,1.88,0.00,101.50
2026/05/06T00:16:29z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,29,48,1015.61,4.96,26248,0,460,7.76,10.20,10.67,7.76,10.20,10.67,42,42,1419.76,405.60,60.36,1.73,0.76,0.18,7.28,9.73,10.55,7.28,9.73,10.55,41,41,1350.25,386.55,62.55,3.92,1.48,0.05,100.03
2026/05/06T00:18:29z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,29,47,1015.59,4.96,26248,0,580,6.90,9.49,10.03,6.90,9.49,10.03,40,40,1374.25,387.12,63.31,2.64,0.75,0.19,7.72,10.47,11.47,7.72,10.47,11.47,44,44,1457.37,415.46,62.86,4.63,1.93,0.18,99.73
