UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/04T00:00:42z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,105,13,44,1009.80,4.92,26248,0,220,4.42,5.32,5.92,4.42,5.32,5.92,22,22,929.44,261.27,23.15,1.66,0.88,0.59,4.36,5.55,6.52,4.36,5.55,6.52,23,23,917.68,263.89,26.61,3.20,1.43,0.18,50.00
2026/05/04T00:02:42z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,105,13,44,1009.77,4.92,26248,0,340,4.34,5.52,6.05,4.34,5.52,6.05,23,23,934.55,263.57,28.40,2.47,0.53,0.29,5.10,6.08,7.59,5.10,6.08,7.59,25,25,1018.07,287.92,27.39,4.00,2.37,0.19,50.00
2026/05/04T00:04:42z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,105,13,45,1009.73,4.92,26248,0,460,4.50,6.00,7.23,4.50,6.00,7.23,25,25,972.70,266.25,31.11,4.07,1.55,0.68,5.02,6.35,7.65,5.02,6.35,7.65,26,26,1015.05,284.48,32.20,4.20,2.02,0.22,50.00
2026/05/04T00:06:42z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,105,13,44,1009.73,4.92,26248,0,580,4.92,6.08,7.60,4.92,6.08,7.60,25,25,1000.70,280.48,25.72,4.57,2.10,1.67,4.60,5.60,6.28,4.60,5.60,6.28,23,23,998.95,279.56,23.32,2.47,0.98,0.19,50.00
2026/05/04T00:08:42z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,107,12,45,1009.64,4.92,26248,0,700,5.28,6.45,8.24,5.28,6.45,8.24,27,27,1082.02,304.00,28.52,3.72,2.62,1.55,4.75,6.39,7.04,4.75,6.39,7.04,27,27,988.37,280.61,31.74,3.46,0.81,0.37,50.00
2026/05/04T00:10:42z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,104,13,44,1009.69,4.92,26248,0,820,4.16,5.32,5.68,4.16,5.32,5.68,22,22,977.21,271.88,24.58,2.26,0.42,0.42,4.86,5.98,7.04,4.86,5.98,7.04,25,25,1010.00,281.40,26.93,3.04,1.53,0.35,50.00
2026/05/04T00:12:42z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,102,14,44,1009.79,4.92,26248,0,940,4.66,5.86,6.68,4.66,5.86,6.68,24,24,1011.11,280.04,27.34,2.50,1.45,0.70,5.08,6.34,6.90,5.08,6.34,6.90,26,26,1034.54,289.07,28.66,2.93,0.75,0.34,50.00
2026/05/04T00:14:42z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,103,13,44,1009.71,4.92,26248,0,1060,4.56,5.47,7.03,4.56,5.47,7.03,23,23,958.07,268.07,25.64,3.19,2.53,0.90,4.63,5.88,6.93,4.63,5.88,6.93,25,25,1005.86,275.54,27.76,3.76,1.36,0.32,50.00
2026/05/04T00:16:42z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,100,14,43,1009.80,4.92,26248,0,1180,5.12,6.34,6.92,5.12,6.34,6.92,26,26,1063.98,298.56,26.12,2.80,0.78,0.49,4.27,6.24,7.00,4.27,6.24,7.00,26,26,951.00,264.87,37.91,4.84,1.24,0.18,50.00
2026/05/04T00:18:23z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,101,15,44,1009.76,nan,26336,0,100,3.98,4.93,5.09,3.98,4.93,5.09,21,21,908.67,258.82,20.42,1.53,0.22,0.22,4.79,6.48,7.19,4.79,6.48,7.19,27,27,975.00,279.67,33.14,3.95,1.02,0.00,nan
2026/05/04T00:20:23z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,104,13,45,1009.64,4.92,26248,0,220,4.08,5.17,6.25,4.08,5.17,6.25,22,22,976.37,270.98,23.25,3.29,1.69,0.80,4.30,5.66,6.20,4.30,5.66,6.20,24,24,940.88,265.89,27.82,2.52,0.91,0.41,50.00
