UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/13T00:01:21z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,18,41,1008.25,4.83,26248,0,1060,3.07,4.53,6.26,3.07,4.53,6.26,19,19,708.72,207.57,27.00,4.40,2.60,0.86,3.71,4.85,5.81,3.71,4.85,5.81,20,20,744.76,219.81,25.80,3.14,1.31,0.61,108.43
2026/05/13T00:03:21z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,18,42,1008.26,4.83,26248,0,1180,2.95,4.64,5.75,2.95,4.64,5.75,19,19,735.81,207.83,25.32,5.32,1.68,0.95,4.02,5.41,6.02,4.02,5.41,6.02,23,23,865.71,253.73,24.46,2.62,0.71,0.71,110.93
2026/05/13T00:05:02z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,18,42,1008.27,nan,26336,0,100,3.05,5.18,6.36,3.05,5.18,6.36,22,22,731.18,213.52,32.75,6.32,1.68,1.07,3.77,5.02,6.00,3.77,5.02,6.00,21,21,814.12,237.21,22.91,4.00,0.98,0.74,nan
2026/05/13T00:07:02z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,18,42,1008.35,4.83,26248,0,220,3.24,4.52,5.26,3.24,4.52,5.26,19,19,681.00,199.28,26.91,3.62,1.21,0.76,3.44,4.60,5.54,3.44,4.60,5.54,19,19,730.63,218.79,30.53,2.93,1.23,0.98,101.10
2026/05/13T00:09:02z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,19,42,1008.33,4.83,26248,0,340,2.89,4.19,5.61,2.89,4.19,5.61,17,17,665.89,191.32,20.89,4.53,2.28,0.63,3.46,5.27,6.46,3.46,5.27,6.46,22,22,817.32,240.58,30.88,6.36,1.39,1.02,102.67
2026/05/13T00:11:02z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,19,42,1008.34,4.83,26064,0,460,2.44,3.54,4.33,2.44,3.54,4.33,15,15,635.63,181.60,18.16,2.96,1.00,0.21,3.60,4.76,5.50,3.60,4.76,5.50,20,20,766.19,226.53,22.78,2.66,1.21,0.72,105.24
2026/05/13T00:13:02z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,19,42,1008.35,4.83,26248,0,580,2.98,3.98,4.67,2.98,3.98,4.67,17,17,692.28,195.43,19.71,2.16,1.24,0.38,3.44,4.05,4.56,3.44,4.05,4.56,17,17,752.95,222.04,17.46,1.11,0.67,0.44,106.05
2026/05/13T00:15:02z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,18,42,1008.33,4.83,26248,0,700,3.38,4.75,5.73,3.38,4.75,5.73,20,20,787.20,228.30,25.37,3.82,1.27,0.65,3.37,4.33,4.79,3.37,4.33,4.79,18,18,753.21,218.46,21.49,1.56,0.42,0.42,108.86
2026/05/13T00:17:02z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,19,43,1008.32,4.83,26248,0,820,3.00,4.33,4.96,3.00,4.33,4.96,18,18,699.95,200.28,24.56,3.09,1.02,0.19,3.55,4.69,5.17,3.55,4.69,5.17,20,20,737.64,211.57,24.41,2.48,0.64,0.34,104.51
2026/05/13T00:19:02z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,18,42,1008.28,4.83,26248,0,940,2.98,4.36,6.15,2.98,4.36,6.15,18,18,765.22,218.58,30.93,4.35,2.75,1.49,3.40,4.81,6.10,3.40,4.81,6.10,20,20,709.55,208.34,30.22,5.02,1.43,0.95,103.48
2026/05/13T00:21:02z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,18,42,1008.30,4.83,26248,0,1060,3.18,4.28,4.89,3.18,4.28,4.89,18,18,687.05,195.33,21.16,3.19,1.04,0.61,4.00,5.88,7.32,4.00,5.88,7.32,25,25,890.95,263.85,28.72,6.88,2.02,1.03,99.80
2026/05/13T00:23:02z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,18,42,1008.32,4.83,26248,0,1180,2.77,3.63,4.37,2.77,3.63,4.37,15,15,621.00,178.45,21.52,2.48,1.27,0.68,3.36,4.88,5.71,3.36,4.88,5.71,20,20,775.77,231.43,30.38,2.59,1.09,0.43,99.84
