UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/09T00:00:56z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,25,39,1021.72,4.87,26248,0,220,4.93,6.57,7.98,4.93,6.57,7.98,27,27,970.15,284.07,30.02,5.13,2.43,0.62,5.17,6.72,8.40,5.17,6.72,8.40,28,28,1181.53,306.62,42.67,4.33,1.36,1.12,101.96
2026/05/09T00:02:56z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,25,39,1021.72,4.87,26248,0,340,5.42,6.68,7.70,5.42,6.68,7.70,28,28,1005.84,296.46,28.98,3.02,1.54,0.56,3.90,5.29,6.25,3.90,5.29,6.25,22,22,980.69,257.85,34.08,2.63,1.00,1.00,102.68
2026/05/09T00:04:56z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,76,26,38,1021.73,4.87,26064,0,460,5.00,6.66,8.05,5.00,6.66,8.05,28,28,994.24,290.36,31.19,4.79,2.48,0.40,4.30,6.03,7.53,4.30,6.03,7.53,25,25,1028.90,263.32,37.35,3.98,2.00,1.53,103.44
2026/05/09T00:06:56z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,76,26,39,1021.72,4.87,26248,0,580,4.97,6.69,7.98,4.97,6.69,7.98,28,28,983.43,285.98,29.09,4.88,2.43,0.34,4.25,6.32,8.45,4.25,6.32,8.45,26,26,951.64,262.73,43.05,6.96,2.02,1.46,104.13
2026/05/09T00:08:56z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,27,38,1021.78,4.87,26248,0,700,4.91,6.76,8.69,4.91,6.76,8.69,28,28,983.84,285.83,38.00,4.81,3.03,1.07,4.52,6.02,7.90,4.52,6.02,7.90,25,25,974.07,257.52,33.12,5.40,2.47,1.86,102.56
2026/05/09T00:10:56z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,27,39,1021.70,4.87,26248,0,820,5.25,6.80,8.76,5.25,6.80,8.76,28,28,1014.10,295.69,34.56,5.53,3.47,0.49,4.07,5.59,7.38,4.07,5.59,7.38,23,23,906.10,234.64,35.14,4.57,2.67,1.71,103.08
2026/05/09T00:12:56z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,76,27,39,1021.70,4.87,26248,0,940,5.58,7.25,9.18,5.58,7.25,9.18,30,30,1090.85,319.98,37.56,6.07,2.84,1.05,4.46,6.17,8.54,4.46,6.17,8.54,26,26,1105.83,296.07,39.10,6.47,2.97,2.24,106.18
2026/05/09T00:14:56z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,76,26,39,1021.70,4.87,26248,0,1060,5.20,6.71,8.97,5.20,6.71,8.97,28,28,1045.63,301.34,32.63,5.39,3.75,1.10,4.57,6.22,7.98,4.57,6.22,7.98,26,26,1093.71,285.43,37.88,4.71,2.38,1.52,106.11
2026/05/09T00:16:56z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,26,40,1021.68,4.87,25936,0,1180,5.36,6.74,7.93,5.36,6.74,7.93,28,28,1050.16,299.74,32.16,3.10,2.16,0.21,4.44,6.23,6.75,4.44,6.23,6.75,26,26,1006.68,261.98,40.51,2.37,0.88,0.65,108.73
2026/05/09T00:18:37z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,26,40,1021.65,nan,26336,0,100,4.91,6.13,6.64,4.91,6.13,6.64,26,26,989.53,289.29,28.62,1.60,1.00,0.20,3.86,5.53,6.35,3.86,5.53,6.35,23,23,999.91,263.14,33.95,3.23,1.00,0.65,nan
2026/05/09T00:20:37z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,26,40,1021.68,4.87,26248,0,220,4.80,5.98,6.80,4.80,5.98,6.80,25,25,967.27,287.95,29.98,3.12,1.24,0.42,4.39,6.60,8.88,4.39,6.60,8.88,27,27,997.16,271.00,42.72,5.51,2.95,2.47,102.52
2026/05/09T00:22:37z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,26,40,1021.66,4.87,26248,0,340,5.14,6.60,8.49,5.14,6.60,8.49,27,27,987.63,288.42,34.63,5.14,3.30,0.96,4.17,5.76,6.81,4.17,5.76,6.81,24,24,1063.93,268.81,32.49,3.05,1.27,0.97,103.87
2026/05/09T00:24:37z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,26,40,1021.69,4.87,26248,0,460,4.98,6.46,8.25,4.98,6.46,8.25,27,27,962.63,280.16,28.12,5.44,2.70,1.19,4.02,6.36,9.44,4.02,6.36,9.44,26,26,946.07,251.69,40.69,8.31,4.31,2.95,104.23
2026/05/09T00:26:37z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,76,26,39,1021.68,4.87,26248,0,580,5.10,6.46,7.92,5.10,6.46,7.92,27,27,957.15,282.29,31.71,4.05,2.19,0.92,4.41,6.48,8.64,4.41,6.48,8.64,27,27,980.07,266.74,40.79,5.12,2.86,2.64,104.72
2026/05/09T00:28:37z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,26,40,1021.62,4.87,26248,0,700,5.09,6.57,7.52,5.09,6.57,7.52,27,27,1011.57,296.43,30.17,4.52,1.53,0.43,4.82,6.35,8.00,4.82,6.35,8.00,26,26,1085.21,291.32,33.46,4.09,2.65,1.19,106.40
2026/05/09T00:30:37z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,76,27,39,1021.64,4.87,26248,0,820,5.33,7.07,9.05,5.33,7.07,9.05,29,29,1047.41,303.98,36.93,5.98,3.41,0.14,5.28,7.38,8.19,5.28,7.38,8.19,31,31,1156.55,306.02,43.79,4.05,1.16,0.93,110.54
