UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/03T00:00:23z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,20,45,1013.32,4.93,26248,0,1060,6.16,7.49,8.81,6.16,7.49,8.81,31,31,1191.68,342.19,33.93,4.68,1.60,0.19,5.76,7.43,8.66,5.76,7.43,8.66,31,31,1202.02,339.72,42.41,3.48,2.00,0.21,50.00
2026/05/03T00:02:23z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,20,45,1013.26,4.93,26248,0,1180,5.70,7.38,7.98,5.70,7.38,7.98,31,31,1164.45,326.45,36.58,2.72,1.13,0.25,5.85,7.24,7.75,5.85,7.24,7.75,30,30,1158.05,335.38,36.71,2.00,0.84,0.24,50.00
2026/05/03T00:04:05z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,20,44,1013.22,nan,26336,0,100,5.52,7.20,8.20,5.52,7.20,8.20,30,30,1207.57,342.50,36.35,2.72,1.57,0.24,6.12,7.81,9.05,6.12,7.81,9.05,33,33,1186.40,342.98,41.70,3.91,2.51,0.19,nan
2026/05/03T00:06:05z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,20,45,1013.25,4.93,26248,0,220,6.32,7.42,7.73,6.32,7.42,7.73,31,31,1187.44,337.59,35.46,1.73,0.64,0.00,5.29,8.05,9.11,5.29,8.05,9.11,34,34,1150.07,329.88,48.95,4.39,1.62,0.39,50.00
2026/05/03T00:08:05z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,20,45,1013.21,4.92,26248,0,340,6.27,7.59,8.19,6.27,7.59,8.19,32,32,1182.76,336.90,38.10,2.59,0.98,0.29,5.63,7.58,9.57,5.63,7.58,9.57,32,32,1175.15,341.78,40.90,5.67,3.13,0.75,50.00
2026/05/03T00:10:05z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,21,44,1013.23,4.93,26248,0,460,6.49,8.07,8.85,6.49,8.07,8.85,34,34,1249.47,357.45,39.60,1.96,1.18,0.47,5.43,6.52,8.12,5.43,6.52,8.12,27,27,1101.62,313.03,39.12,3.07,2.72,0.41,50.00
2026/05/03T00:12:05z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,21,45,1013.23,4.93,26248,0,580,5.83,7.31,8.39,5.83,7.31,8.39,30,30,1195.68,339.54,34.63,3.76,1.61,0.51,5.26,6.55,7.48,5.26,6.55,7.48,27,27,1143.78,326.67,39.60,2.60,1.16,0.19,50.00
2026/05/03T00:14:05z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,21,45,1013.17,4.93,26248,0,700,6.34,7.39,8.10,6.34,7.39,8.10,31,31,1179.86,343.61,36.47,1.85,0.97,0.15,5.95,7.39,7.79,5.95,7.39,7.79,31,31,1132.55,327.88,32.66,2.43,0.70,0.00,50.00
2026/05/03T00:16:05z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,21,45,1013.19,4.93,26248,0,820,6.08,7.49,7.78,6.08,7.49,7.78,31,31,1201.78,338.03,31.97,1.53,0.51,0.08,5.55,7.52,9.29,5.55,7.52,9.29,31,31,1168.19,327.36,39.33,5.29,3.09,0.60,50.00
2026/05/03T00:18:05z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,21,45,1013.16,4.93,26248,0,940,6.96,8.60,8.60,6.96,8.60,8.60,36,36,1274.67,363.73,39.76,2.04,0.00,0.00,6.58,8.32,8.73,6.58,8.32,8.73,35,35,1268.80,353.69,40.98,2.29,0.85,0.00,50.00
2026/05/03T00:20:05z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,20,45,1013.12,4.93,26248,0,1060,6.47,8.23,9.23,6.47,8.23,9.23,34,34,1299.53,377.93,42.30,3.70,1.72,0.23,6.60,8.05,9.14,6.60,8.05,9.14,34,34,1251.37,355.39,42.16,3.00,1.79,0.19,50.00
