UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/14T00:01:02z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,46,47,1017.34,4.90,26344,0,1060,0.38,1.31,2.34,0.38,1.31,2.34,5,5,257.17,69.50,11.64,3.33,1.41,0.81,0.15,1.37,2.63,0.15,1.37,2.63,6,6,226.93,61.83,12.78,5.25,1.76,0.61,50.00
2026/05/14T00:03:02z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,48,46,1017.37,4.90,26344,0,1180,0.76,1.88,3.90,0.76,1.88,3.90,8,8,297.97,87.17,16.68,5.61,3.05,1.78,0.00,1.55,2.96,0.00,1.55,2.96,6,6,236.41,67.77,17.00,5.89,1.66,0.52,50.00
2026/05/14T00:04:43z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,49,46,1017.33,nan,26432,0,100,0.47,1.64,2.36,0.47,1.64,2.36,7,7,248.13,74.78,14.71,3.62,1.40,0.31,0.67,1.12,2.74,0.67,1.12,2.74,5,5,222.64,66.86,13.67,3.26,2.10,0.24,nan
2026/05/14T00:06:43z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,48,48,1017.47,4.90,26344,0,220,0.03,1.02,2.90,0.03,1.02,2.90,4,4,240.05,64.15,14.15,5.83,2.80,1.18,0.00,1.28,2.34,0.00,1.28,2.34,5,5,197.79,57.66,13.97,4.24,1.60,0.86,50.00
2026/05/14T00:08:43z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,47,47,1017.53,4.90,26344,0,340,0.18,0.54,1.09,0.18,0.54,1.09,2,2,215.36,59.11,8.62,1.16,0.55,0.18,0.00,0.66,1.53,0.00,0.66,1.53,3,3,203.75,55.68,8.36,2.46,1.49,0.32,50.00
2026/05/14T00:10:43z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,47,46,1017.64,4.90,26280,0,460,0.02,1.41,2.77,0.02,1.41,2.77,6,6,240.16,67.50,15.75,5.18,2.29,1.04,0.24,0.93,1.64,0.24,0.93,1.64,4,4,199.37,57.32,7.39,3.34,1.08,0.44,50.00
2026/05/14T00:12:43z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,49,46,1017.57,4.90,26280,0,580,0.14,0.81,1.40,0.14,0.81,1.40,3,3,221.43,64.05,11.16,3.00,1.10,0.38,0.00,0.33,1.60,0.00,0.33,1.60,1,1,171.00,48.60,7.90,2.52,1.81,1.33,50.00
2026/05/14T00:14:43z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,49,47,1017.51,4.90,26280,0,700,0.23,0.98,2.87,0.23,0.98,2.87,4,4,232.50,65.40,15.88,4.07,2.90,1.77,0.36,1.61,3.45,0.36,1.61,3.45,7,7,244.23,72.46,14.00,6.05,2.39,1.61,50.00
2026/05/14T00:16:43z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,48,47,1017.45,4.90,26280,0,820,0.49,1.49,2.93,0.49,1.49,2.93,6,6,277.42,79.86,16.65,4.39,2.54,0.95,0.48,2.50,4.64,0.48,2.50,4.64,10,10,292.19,85.14,23.83,7.90,2.90,1.57,50.00
2026/05/14T00:18:43z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,46,47,1017.59,4.90,25968,0,940,0.00,0.04,2.05,0.00,0.04,2.05,0,0,207.86,58.11,9.80,3.79,3.12,2.09,0.00,1.05,2.13,0.00,1.05,2.13,4,4,200.25,56.00,11.25,3.62,1.82,0.47,50.00
