UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/15T00:00:59z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,36,40,1020.04,nan,26336,0,100,1.67,2.38,3.36,1.67,2.38,3.36,10,10,454.00,127.67,17.18,3.04,1.51,0.76,1.40,2.30,5.63,1.40,2.30,5.63,10,10,462.84,126.56,23.42,7.19,5.14,1.81,nan
2026/05/15T00:02:59z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,36,40,1019.96,4.93,26248,0,220,1.70,2.42,3.92,1.70,2.42,3.92,10,10,452.80,129.63,17.62,3.27,2.00,1.40,1.63,2.77,3.63,1.63,2.77,3.63,12,12,445.11,125.58,20.58,4.02,1.60,0.95,50.00
2026/05/15T00:04:59z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,37,39,1020.01,4.92,26248,0,340,1.09,2.23,4.54,1.09,2.23,4.54,9,9,404.58,117.04,15.96,5.60,3.44,1.61,1.34,1.98,3.51,1.34,1.98,3.51,8,8,389.44,110.34,15.03,3.42,2.20,1.08,50.00
2026/05/15T00:06:59z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,39,40,1020.10,4.92,26248,0,460,1.04,2.16,4.23,1.04,2.16,4.23,9,9,398.09,116.95,15.71,4.23,2.75,2.45,0.95,1.90,3.97,0.95,1.90,3.97,8,8,384.78,108.52,19.07,4.90,3.12,1.33,50.00
2026/05/15T00:08:59z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,40,40,1020.06,4.92,26248,0,580,1.60,2.48,3.52,1.60,2.48,3.52,10,10,432.36,125.98,19.03,2.76,1.55,1.31,1.16,2.07,3.30,1.16,2.07,3.30,9,9,401.62,112.50,16.79,3.23,1.75,1.09,50.00
2026/05/15T00:10:59z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,40,40,1020.16,4.92,26248,0,700,1.51,2.56,3.80,1.51,2.56,3.80,11,11,457.37,134.15,21.02,3.51,1.98,1.36,1.18,2.32,3.43,1.18,2.32,3.43,10,10,420.86,122.93,16.54,4.73,1.75,0.68,50.00
2026/05/15T00:12:59z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,40,40,1019.93,4.92,26248,0,820,1.49,2.28,3.33,1.49,2.28,3.33,10,10,420.42,116.65,18.72,2.30,1.32,0.81,1.24,1.83,2.81,1.24,1.83,2.81,8,8,372.67,100.45,14.78,3.38,1.33,0.91,50.00
2026/05/15T00:14:59z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,40,40,1020.01,4.92,26248,0,940,1.88,2.50,4.57,1.88,2.50,4.57,10,10,481.97,139.28,19.57,3.69,2.83,2.09,1.25,2.10,3.51,1.25,2.10,3.51,9,9,425.03,121.20,13.53,4.03,1.90,1.12,50.00
2026/05/15T00:16:59z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,40,40,1019.96,4.92,26248,0,1060,1.78,2.78,3.88,1.78,2.78,3.88,12,12,433.47,126.39,18.49,3.42,1.29,1.08,1.07,1.66,2.92,1.07,1.66,2.92,7,7,363.25,96.36,13.92,2.85,1.78,0.47,50.00
2026/05/15T00:18:59z,f0:24:f9:c2:51:b,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,40,41,1019.99,4.92,26248,0,1180,1.67,2.13,3.13,1.67,2.13,3.13,9,9,398.85,116.60,14.07,1.92,1.38,0.93,1.41,1.82,3.04,1.41,1.82,3.04,8,8,410.95,110.59,13.20,2.46,1.61,1.14,50.00
