UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/18T00:00:48z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,94,13,36,1025.18,4.92,26344,0,460,0.29,0.48,0.84,0.29,0.48,0.84,2,2,224.89,66.36,9.84,0.70,0.70,0.00,0.33,0.38,0.38,0.33,0.38,0.38,2,2,250.91,69.47,4.16,0.00,0.00,0.00,86.84
2026/05/18T00:02:48z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,95,13,37,1025.15,4.92,26344,0,579,0.22,0.42,0.61,0.22,0.42,0.61,2,2,246.66,70.39,9.34,0.56,0.47,0.25,0.33,0.95,1.03,0.33,0.95,1.03,4,4,252.83,71.41,6.72,0.43,0.21,0.00,87.75
2026/05/18T00:04:48z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,14,36,1025.15,4.92,26064,0,699,0.54,0.75,0.86,0.54,0.75,0.86,3,3,271.02,74.05,6.53,0.56,0.19,0.00,0.52,0.89,0.89,0.52,0.89,0.89,4,4,252.80,67.64,6.62,0.25,0.00,0.00,90.12
2026/05/18T00:06:48z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,95,13,37,1025.10,4.92,26248,0,819,0.50,0.57,0.97,0.50,0.57,0.97,2,2,279.72,75.29,6.07,0.43,0.43,0.21,0.33,0.48,0.48,0.33,0.48,0.48,2,2,244.34,67.97,4.16,0.12,0.00,0.00,90.23
2026/05/18T00:08:48z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,94,13,37,1025.09,4.92,26248,0,939,0.79,0.84,0.84,0.79,0.84,0.84,4,4,304.89,87.05,9.07,0.02,0.00,0.00,0.71,0.98,1.46,0.71,0.98,1.46,4,4,326.69,88.98,10.78,1.08,0.71,0.24,85.81
2026/05/18T00:10:48z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,95,13,37,1025.10,4.92,26248,0,1059,0.81,1.09,1.28,0.81,1.09,1.28,5,5,278.28,80.66,11.66,0.76,0.17,0.00,0.56,1.22,1.31,0.56,1.22,1.31,5,5,273.15,74.10,10.12,0.71,0.32,0.32,85.56
2026/05/18T00:12:48z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,93,13,36,1025.05,4.92,26248,0,1179,0.60,0.98,1.17,0.60,0.98,1.17,4,4,268.19,74.28,6.29,0.95,0.47,0.00,0.72,1.11,1.14,0.72,1.11,1.14,5,5,271.95,77.77,8.63,0.77,0.11,0.11,85.37
2026/05/18T00:14:29z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,93,14,37,1025.04,nan,26336,0,100,0.27,0.44,0.64,0.27,0.44,0.64,2,2,254.93,72.16,5.27,0.31,0.31,0.31,0.60,1.44,1.88,0.60,1.44,1.88,6,6,311.51,92.26,13.95,1.23,0.51,0.51,nan
2026/05/18T00:16:29z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,14,36,1025.06,4.92,26248,0,220,0.29,1.08,1.08,0.29,1.08,1.08,5,5,233.24,65.93,7.61,0.73,0.00,0.00,0.38,0.55,0.57,0.38,0.55,0.57,2,2,244.39,66.38,4.04,0.11,0.11,0.11,85.34
2026/05/18T00:18:29z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,93,13,36,1025.03,4.92,26248,0,340,0.16,0.70,1.09,0.16,0.70,1.09,3,3,223.84,61.98,9.44,0.91,0.67,0.00,0.20,0.75,1.12,0.20,0.75,1.12,3,3,221.90,62.35,5.73,1.78,0.55,0.08,85.91
