UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/18T00:01:06z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,21,35,1025.42,4.86,26248,0,340,0.38,0.95,1.05,0.38,0.95,1.05,4,4,254.48,68.57,6.36,0.81,0.19,0.19,0.59,0.73,1.34,0.59,0.73,1.34,3,3,318.51,83.69,5.98,1.47,0.47,0.24,70.84
2026/05/18T00:03:06z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,21,35,1025.39,4.86,26248,0,460,0.49,1.16,1.44,0.49,1.16,1.44,5,5,304.95,84.89,7.86,1.04,0.60,0.18,0.85,0.86,1.07,0.85,0.86,1.07,4,4,298.83,79.66,5.36,0.37,0.29,0.08,72.28
2026/05/18T00:05:06z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,21,36,1025.38,4.86,26248,0,580,0.78,1.19,1.34,0.78,1.19,1.34,5,5,341.28,92.31,10.00,1.10,0.12,0.07,0.67,1.07,1.79,0.67,1.07,1.79,4,4,325.63,89.82,6.89,1.96,0.77,0.77,75.40
2026/05/18T00:07:06z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,21,36,1025.39,4.86,26248,0,700,0.71,0.92,1.00,0.71,0.92,1.00,4,4,318.71,81.61,7.37,1.02,0.17,0.17,0.89,1.32,1.79,0.89,1.32,1.79,5,5,310.47,88.14,9.40,1.46,0.47,0.23,73.29
2026/05/18T00:09:06z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,22,36,1025.36,4.86,26248,0,820,0.98,1.40,1.40,0.98,1.40,1.40,6,6,319.14,89.07,9.07,0.71,0.00,0.00,0.66,0.95,0.95,0.66,0.95,0.95,4,4,314.95,86.92,8.53,0.25,0.00,0.00,71.28
2026/05/18T00:11:06z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,22,36,1025.34,4.86,26248,0,940,0.84,1.29,1.56,0.84,1.29,1.56,5,5,335.73,89.29,12.18,1.62,0.42,0.18,0.67,1.25,1.45,0.67,1.25,1.45,5,5,316.75,88.70,7.62,1.30,0.42,0.18,71.27
2026/05/18T00:13:06z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,22,35,1025.40,4.86,26248,0,1060,0.83,0.91,1.21,0.83,0.91,1.21,4,4,333.31,84.36,7.02,0.38,0.38,0.19,0.98,1.50,1.52,0.98,1.50,1.52,6,6,351.26,93.17,10.57,0.55,0.00,0.00,70.61
2026/05/18T00:15:06z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,74,23,34,1025.39,4.86,26248,0,1180,1.00,1.10,1.47,1.00,1.10,1.47,5,5,355.47,97.41,7.64,0.64,0.39,0.17,0.46,0.88,1.14,0.46,0.88,1.14,4,4,330.59,93.11,8.79,1.25,0.45,0.45,72.44
2026/05/18T00:16:47z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,23,36,1025.33,nan,26336,0,100,0.91,1.04,1.27,0.91,1.04,1.27,4,4,310.33,83.47,5.60,1.18,0.31,0.31,0.77,0.88,1.02,0.77,0.88,1.02,4,4,286.26,73.56,5.70,1.16,0.00,0.00,nan
2026/05/18T00:18:47z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,22,36,1025.29,4.86,26248,0,220,0.37,0.62,0.83,0.37,0.62,0.83,3,3,236.70,67.22,5.52,0.33,0.33,0.33,0.71,0.92,1.12,0.69,0.92,1.12,4,4,264.46,74.85,6.44,0.86,0.25,0.00,70.58
