UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/16T00:00:06z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,61,50,42,1019.20,4.86,26248,0,220,0.00,0.52,0.90,0.00,0.52,0.90,2,2,168.31,51.09,6.55,1.72,0.40,0.40,0.00,0.52,0.88,0.00,0.52,0.88,2,2,195.96,53.86,7.11,1.14,0.59,0.41,62.68
2026/05/16T00:02:06z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,49,42,1019.16,4.86,26248,0,340,0.21,0.77,1.60,0.21,0.77,1.60,3,3,190.42,53.61,8.67,2.81,1.21,0.79,0.00,0.23,0.62,0.00,0.23,0.62,1,1,174.70,48.67,6.02,1.00,0.33,0.17,63.62
2026/05/16T00:04:06z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,48,43,1019.08,4.86,26248,0,460,0.05,0.61,1.05,0.05,0.61,1.05,3,3,204.53,57.75,5.39,1.91,0.74,0.00,0.00,0.07,0.08,0.00,0.07,0.08,0,0,156.35,43.83,4.03,0.17,0.02,0.00,62.60
2026/05/16T00:06:06z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,47,43,1019.02,4.86,26248,0,580,0.16,0.31,0.91,0.16,0.31,0.91,1,1,184.09,47.93,5.97,0.97,0.90,0.41,0.05,0.14,0.34,0.05,0.14,0.34,1,1,171.98,45.36,4.64,0.81,0.21,0.21,60.92
2026/05/16T00:08:06z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,47,43,1019.00,4.86,26248,0,700,0.00,0.29,1.00,0.00,0.29,1.00,1,1,175.37,44.32,5.76,1.90,0.73,0.41,0.00,0.36,0.68,0.00,0.36,0.68,1,1,174.27,48.14,7.73,0.86,0.45,0.45,63.17
2026/05/16T00:10:06z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,46,43,1018.89,4.86,26248,0,820,0.00,0.59,1.86,0.00,0.59,1.86,2,2,191.44,56.36,8.83,2.86,1.41,1.24,0.03,0.41,0.71,0.03,0.41,0.71,2,2,199.97,54.86,8.67,0.47,0.47,0.21,61.55
2026/05/16T00:12:06z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,45,42,1018.88,4.86,26248,0,940,0.00,0.43,1.00,0.00,0.43,1.00,2,2,166.98,47.46,7.98,0.95,0.70,0.43,0.00,0.73,0.98,0.00,0.73,0.98,3,3,175.47,49.25,6.71,1.97,0.34,0.17,59.27
2026/05/16T00:14:06z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,46,41,1018.90,4.86,26248,0,1060,0.29,0.61,1.17,0.29,0.61,1.17,3,3,241.27,61.63,5.93,1.22,0.71,0.14,0.42,0.97,1.37,0.42,0.97,1.37,4,4,235.98,65.86,11.41,1.80,0.46,0.46,59.47
2026/05/16T00:16:06z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,47,41,1018.92,4.86,26248,0,1180,0.07,0.36,0.50,0.07,0.36,0.50,2,2,178.34,48.07,6.12,0.76,0.24,0.17,0.36,1.16,1.43,0.36,1.16,1.43,5,5,244.23,67.79,10.12,2.04,0.45,0.45,59.79
2026/05/16T00:17:47z,f0:24:f9:c6:71:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,48,43,1018.88,nan,26336,0,100,0.30,0.91,1.46,0.30,0.91,1.46,4,4,243.59,69.00,9.11,1.33,0.87,0.43,0.42,0.53,0.53,0.42,0.53,0.53,2,2,208.81,60.86,5.91,0.74,0.00,0.00,nan
