UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/18T00:00:44z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,95,13,37,1025.00,nan,26336,0,100,0.13,0.56,0.78,0.13,0.56,0.78,2,2,245.27,63.78,6.62,0.49,0.29,0.00,0.14,0.67,0.67,0.14,0.67,0.67,3,3,230.72,62.60,5.12,0.74,0.00,0.00,nan
2026/05/18T00:02:44z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,95,13,37,1024.95,4.87,26248,0,220,0.41,0.78,0.86,0.41,0.78,0.86,3,3,283.88,67.66,5.58,0.61,0.22,0.00,0.56,1.00,1.00,0.56,1.00,1.00,4,4,257.47,73.12,6.51,0.70,0.00,0.00,74.63
2026/05/18T00:04:44z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,14,36,1025.03,4.87,26248,0,340,0.34,0.64,0.64,0.34,0.64,0.64,3,3,317.95,72.17,6.31,0.90,0.00,0.00,0.32,0.66,1.15,0.32,0.66,1.15,3,3,287.64,78.27,10.86,2.12,0.93,0.00,76.52
2026/05/18T00:06:44z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,13,38,1024.96,4.87,26248,0,460,0.45,0.79,1.16,0.45,0.79,1.16,3,3,325.55,78.98,11.69,1.31,0.83,0.00,0.77,1.17,1.73,0.77,1.17,1.73,5,5,299.75,84.88,10.10,0.72,0.63,0.27,79.57
2026/05/18T00:08:44z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,94,13,37,1024.92,4.87,26248,0,580,0.33,0.60,0.97,0.33,0.60,0.97,3,3,310.14,74.26,8.55,1.14,0.66,0.00,0.44,1.10,1.34,0.44,1.10,1.34,5,5,295.37,78.37,10.49,0.86,0.46,0.17,73.98
2026/05/18T00:10:44z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,13,38,1024.93,4.87,26248,0,700,0.83,1.17,1.76,0.83,1.17,1.76,5,5,345.25,81.22,9.83,1.08,1.08,0.00,0.71,1.11,1.91,0.71,1.11,1.91,5,5,309.82,89.11,14.04,2.05,1.31,0.00,74.54
2026/05/18T00:12:44z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,94,13,36,1024.95,4.87,26248,0,820,0.37,0.56,0.79,0.37,0.56,0.79,2,2,312.26,76.67,5.11,0.72,0.70,0.26,0.83,1.19,1.19,0.83,1.19,1.19,5,5,293.95,84.73,8.14,0.03,0.00,0.00,72.62
2026/05/18T00:14:44z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,94,14,37,1024.88,4.87,26248,0,940,0.74,0.86,0.86,0.74,0.86,0.86,4,4,320.63,79.21,7.54,0.40,0.00,0.00,0.28,1.00,1.37,0.28,1.00,1.37,4,4,249.55,65.68,11.15,1.33,0.75,0.00,74.16
2026/05/18T00:16:44z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,93,14,37,1024.93,4.87,26248,0,1060,0.48,0.74,0.74,0.48,0.74,0.74,3,3,325.86,73.52,6.24,0.17,0.00,0.00,0.24,0.79,1.26,0.24,0.79,1.26,3,3,238.50,65.10,8.33,1.29,0.45,0.19,74.69
2026/05/18T00:18:44z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,95,13,37,1024.87,4.86,26248,0,1180,0.36,0.58,0.58,0.36,0.58,0.58,2,2,313.83,64.78,4.64,0.31,0.00,0.00,0.00,0.32,0.47,0.00,0.32,0.47,1,1,208.42,55.96,6.02,1.09,0.30,0.26,75.99
