UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/16T00:00:33z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,59,52,41,1019.25,nan,26432,0,100,0.33,1.04,1.07,0.33,1.04,1.07,4,4,230.53,66.76,10.20,0.93,0.04,0.04,0.00,0.63,1.56,0.00,0.63,1.56,3,3,174.21,52.47,8.16,2.67,1.33,0.35,nan
2026/05/16T00:02:33z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,61,50,42,1019.16,4.93,26344,0,220,0.31,0.47,0.47,0.31,0.47,0.47,2,2,229.02,63.34,6.58,0.73,0.00,0.00,0.00,0.43,0.71,0.00,0.43,0.71,2,2,190.18,50.52,6.48,0.86,0.38,0.38,65.40
2026/05/16T00:04:33z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,49,43,1019.04,4.93,26280,0,340,0.18,0.40,0.47,0.18,0.40,0.47,2,2,217.42,58.30,8.51,0.79,0.00,0.00,0.00,0.23,0.60,0.00,0.23,0.60,1,1,184.75,49.38,5.37,0.78,0.25,0.00,63.37
2026/05/16T00:06:33z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,48,42,1018.95,4.93,26280,0,460,0.07,0.21,0.21,0.07,0.21,0.21,1,1,169.29,48.20,4.16,0.61,0.21,0.21,0.00,0.20,0.46,0.00,0.20,0.46,1,1,168.51,45.39,4.53,0.75,0.25,0.00,61.49
2026/05/16T00:08:33z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,61,49,41,1018.96,4.93,26280,0,580,0.18,0.47,1.27,0.15,0.47,1.27,2,2,193.85,55.58,7.25,1.32,1.03,1.03,0.00,0.53,0.56,0.00,0.53,0.56,2,2,191.74,52.96,6.49,0.60,0.16,0.16,63.39
2026/05/16T00:10:33z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,48,42,1018.89,4.93,26280,0,700,0.30,0.98,1.62,0.30,0.98,1.62,4,4,238.97,67.39,9.95,1.87,1.07,1.07,0.04,0.77,0.84,0.04,0.77,0.84,3,3,203.74,57.25,7.81,0.75,0.23,0.02,63.40
2026/05/16T00:12:33z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,47,41,1018.81,4.94,26280,0,820,0.00,0.38,0.72,0.00,0.38,0.72,2,2,179.69,49.52,7.12,1.83,0.47,0.26,0.28,0.29,0.81,0.28,0.29,0.81,1,1,240.72,68.48,10.40,1.21,0.64,0.43,60.60
2026/05/16T00:14:33z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,61,49,42,1018.97,4.93,26280,0,940,0.54,1.07,1.73,0.54,1.07,1.73,4,4,258.75,73.25,8.34,1.50,0.70,0.70,0.25,0.86,1.36,0.25,0.86,1.36,4,4,248.29,68.68,8.14,1.14,0.42,0.42,60.32
2026/05/16T00:16:33z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,60,50,41,1018.92,4.93,26280,0,1060,0.24,0.71,0.93,0.24,0.71,0.93,3,3,230.22,61.45,6.98,1.69,0.17,0.17,0.34,0.71,1.16,0.34,0.71,1.16,3,3,227.02,62.71,10.05,1.29,0.69,0.48,62.34
2026/05/16T00:18:33z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,61,51,42,1018.93,4.93,25968,0,1180,0.31,0.66,1.21,0.31,0.66,1.21,3,3,278.59,77.81,9.14,1.53,0.48,0.48,0.70,1.00,1.84,0.70,1.00,1.84,4,4,261.68,73.42,9.58,1.96,1.32,0.63,64.31
