UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/13T21:47:57z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,45,46,1016.39,nan,23856,0,100,2.60,4.62,7.09,2.60,4.62,7.09,19,19,606.33,171.62,29.93,8.04,1.47,0.60,2.26,4.51,5.23,2.26,4.51,5.23,19,19,551.51,163.74,19.26,6.44,1.40,0.00,nan
2026/05/13T21:50:01z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,45,46,1016.41,4.94,23712,-54,220,3.05,4.95,7.42,3.05,4.95,7.42,21,21,688.42,196.72,32.39,7.95,4.23,0.84,2.32,5.25,6.96,2.32,5.25,6.96,22,22,714.05,205.00,38.53,10.18,2.53,0.00,92.13
2026/05/13T21:52:01z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,42,45,1016.37,4.94,24912,-49,340,2.19,3.05,4.86,2.19,3.05,4.86,13,13,520.58,148.30,17.02,3.93,2.40,1.74,1.80,3.49,6.14,1.80,3.49,6.14,15,15,519.15,153.53,31.19,9.02,3.92,0.24,85.15
2026/05/13T21:54:01z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,41,45,1016.33,4.94,7304,-56,460,1.71,2.59,4.31,1.71,2.59,4.31,11,11,445.24,129.38,17.60,4.19,2.59,0.91,2.07,3.47,5.36,2.07,3.47,5.36,14,14,542.28,153.29,20.84,6.33,3.07,0.00,83.14
2026/05/13T21:56:01z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,41,44,1016.36,4.94,7304,-52,580,1.92,3.17,4.69,1.92,3.17,4.69,13,13,482.54,136.73,19.54,4.29,2.25,0.97,1.70,2.98,3.98,1.70,2.98,3.98,12,12,515.53,147.09,22.58,3.81,1.42,0.39,85.81
2026/05/13T21:58:01z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,40,44,1016.42,4.94,7304,-49,700,2.00,3.93,5.43,2.00,3.93,5.43,16,16,537.26,155.81,26.98,5.62,2.55,0.97,1.97,3.36,4.53,1.97,3.36,4.53,14,14,518.95,146.50,24.17,4.83,1.78,0.21,89.71
2026/05/13T22:00:01z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,39,44,1016.44,4.94,7304,-53,820,1.91,3.41,5.04,1.91,3.41,5.04,14,14,500.68,140.02,25.12,5.25,2.23,1.38,1.81,3.31,4.90,1.81,3.31,4.90,14,14,516.97,146.25,22.63,5.24,2.31,0.00,85.62
2026/05/13T22:02:01z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,39,45,1016.48,4.94,7304,-44,940,2.05,2.71,3.61,2.05,2.71,3.61,11,11,483.91,137.93,17.36,3.30,1.09,0.91,1.53,2.51,2.76,1.53,2.51,2.76,10,10,430.27,128.93,18.76,2.56,0.36,0.00,85.33
2026/05/13T22:04:01z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,39,45,1016.51,4.94,7304,-51,1060,2.00,3.10,4.85,2.00,3.10,4.85,13,13,500.80,141.25,22.17,3.78,2.68,1.54,1.68,2.98,4.89,1.68,2.98,4.89,12,12,508.26,140.14,26.53,4.86,3.12,1.04,89.43
2026/05/13T22:06:38z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,38,45,1016.51,4.94,7136,-56,1217,2.17,2.88,4.07,2.17,2.88,4.07,12,12,472.85,139.40,19.92,2.98,1.45,0.78,1.79,3.36,4.02,1.79,3.36,4.02,14,14,487.18,140.38,21.95,3.98,1.38,0.04,87.95
2026/05/13T22:26:21z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,45,47,1016.60,nan,28128,0,99,1.46,2.15,3.30,1.46,2.15,3.30,9,9,388.24,113.43,17.78,3.65,0.09,0.09,1.44,3.12,3.35,1.44,3.12,3.35,13,13,433.74,120.07,19.09,5.09,0.26,0.05,nan
2026/05/13T22:28:21z,f0:24:f9:c6:c7:8f,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,42,46,1016.65,4.96,27856,0,219,1.97,3.35,5.15,1.97,3.35,5.15,14,14,507.35,149.97,22.47,5.50,2.70,1.05,1.53,4.09,6.28,1.53,4.09,6.28,17,17,535.47,154.54,31.82,9.39,3.39,0.63,82.84
