UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/28T00:01:07z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,46,1010.69,4.98,26248,0,220,2.73,3.37,4.90,2.73,3.37,4.90,14,14,689.20,201.93,13.58,2.68,2.15,1.22,1.12,1.77,2.32,1.12,1.77,2.32,7,7,367.29,106.20,12.21,1.73,0.75,0.00,71.24
2026/05/28T00:03:07z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,25,46,1010.65,4.98,26248,0,340,2.74,3.75,5.11,2.74,3.75,5.11,16,16,678.79,195.47,16.25,5.02,2.14,0.75,1.25,1.75,3.03,1.25,1.75,3.03,7,7,393.05,114.41,15.03,2.81,1.92,0.17,73.62
2026/05/28T00:05:07z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,26,46,1010.60,4.98,26248,0,460,2.71,3.55,4.80,2.71,3.55,4.80,15,15,720.11,206.67,12.96,2.82,2.07,0.78,1.25,1.83,2.33,1.25,1.83,2.33,8,8,384.75,109.60,12.73,1.07,0.87,0.40,77.11
2026/05/28T00:07:07z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,26,46,1010.56,4.98,26248,0,580,3.07,3.80,5.07,3.07,3.80,5.07,16,16,679.93,192.85,13.69,3.46,1.85,0.73,1.10,1.72,3.03,1.10,1.72,3.03,7,7,440.74,123.69,12.31,3.24,2.38,0.57,75.22
2026/05/28T00:09:07z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,25,46,1010.55,4.98,26248,0,700,2.98,3.42,4.15,2.98,3.42,4.15,14,14,659.90,186.20,12.57,2.15,1.13,0.27,1.00,1.82,2.66,1.00,1.82,2.66,8,8,392.46,110.84,12.91,1.93,1.25,0.59,75.20
2026/05/28T00:11:07z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,46,1010.59,4.98,26248,0,820,2.28,3.16,3.93,2.28,3.16,3.93,13,13,616.60,172.22,17.14,2.66,1.26,0.19,1.32,2.29,2.86,1.32,2.29,2.86,10,10,414.41,119.27,10.95,3.27,0.83,0.00,76.53
2026/05/28T00:13:07z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,47,1010.57,4.98,26248,0,940,2.27,2.80,3.45,2.27,2.80,3.45,12,12,583.77,161.54,13.43,1.25,0.88,0.68,1.25,2.02,2.41,1.25,2.02,2.41,8,8,408.76,113.80,11.22,2.07,0.69,0.25,74.62
2026/05/28T00:15:07z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,46,1010.58,4.98,26248,0,1060,2.17,2.79,3.64,2.17,2.79,3.64,12,12,551.59,155.43,13.14,2.48,1.34,0.59,1.22,1.97,2.62,1.22,1.97,2.62,8,8,432.10,120.57,14.26,2.81,1.10,0.00,72.78
2026/05/28T00:17:07z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,26,46,1010.52,4.98,26248,0,1180,2.37,2.88,3.47,2.37,2.88,3.47,12,12,560.29,157.02,15.00,1.22,0.85,0.37,1.35,2.11,2.47,1.35,2.11,2.47,9,9,426.63,117.74,12.42,1.77,0.75,0.04,76.73
2026/05/28T00:18:47z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,25,46,1010.46,nan,26336,0,99,2.67,3.42,4.76,2.67,3.42,4.76,14,14,621.93,175.96,16.18,3.82,2.51,0.24,1.10,1.71,2.64,1.10,1.71,2.64,7,7,393.29,109.83,11.12,2.10,1.24,0.29,nan
2026/05/28T00:20:47z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,46,1010.42,4.98,26064,0,219,2.46,3.58,4.59,2.46,3.58,4.59,15,15,612.20,170.24,18.76,3.54,1.97,0.17,0.89,1.46,2.23,0.89,1.46,2.23,6,6,364.02,94.62,11.48,1.75,1.34,0.12,72.62
2026/05/28T00:22:47z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,46,1010.44,4.98,26248,0,339,3.18,4.30,5.32,3.18,4.30,5.32,18,18,748.26,211.98,15.54,5.21,1.74,0.35,1.32,2.42,2.88,1.32,2.42,2.88,10,10,451.88,130.37,17.42,3.66,1.05,0.00,75.55
2026/05/28T00:24:47z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,46,1010.41,4.98,26248,0,459,2.30,3.74,4.81,2.30,3.74,4.81,16,16,616.32,175.07,17.16,5.72,1.72,0.70,1.29,1.79,2.29,1.29,1.79,2.29,7,7,379.40,107.33,12.05,2.33,0.86,0.17,79.07
2026/05/28T00:26:47z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,25,46,1010.44,4.98,26248,0,579,2.60,3.50,3.52,2.60,3.50,3.52,15,15,671.90,186.53,12.14,2.22,0.02,0.00,1.07,1.84,2.03,1.07,1.84,2.03,8,8,384.83,109.69,13.29,1.17,0.31,0.07,78.02
2026/05/28T00:28:47z,f0:24:f9:c6:37:e0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,25,46,1010.42,4.98,26248,0,699,2.88,3.98,4.68,2.88,3.98,4.68,17,17,718.58,201.78,14.39,4.17,1.12,0.42,0.96,2.15,2.55,0.96,2.15,2.55,9,9,390.93,109.85,14.95,2.84,1.20,0.11,75.54
