UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/20T22:24:37z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,25,44,1022.03,nan,27944,0,99,2.60,4.60,5.36,2.60,4.60,5.36,19,19,708.47,201.13,23.04,5.27,1.44,0.11,2.26,4.40,4.72,2.26,4.40,4.72,18,18,654.49,188.77,35.19,4.58,0.42,0.23,nan
2026/05/20T22:26:37z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1022.07,4.95,26248,0,219,3.63,5.15,6.10,3.63,5.15,6.10,21,21,813.00,249.03,27.80,4.51,1.10,0.15,2.39,4.27,4.96,2.39,4.27,4.96,18,18,634.50,191.39,30.25,4.12,1.07,0.23,50.05
2026/05/20T22:28:37z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,25,43,1022.05,4.95,26248,0,339,3.79,4.52,5.75,3.79,4.52,5.75,19,19,742.12,223.02,23.57,2.75,2.00,0.46,2.59,3.61,4.15,2.59,3.61,4.15,15,15,658.17,185.41,26.27,2.15,1.07,0.22,50.00
2026/05/20T22:30:37z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,25,43,1021.98,4.95,26248,0,459,4.33,5.28,6.67,4.33,5.28,6.67,22,22,888.58,272.35,26.65,3.61,2.44,0.21,2.54,3.51,4.03,2.54,3.51,4.03,15,15,611.85,179.27,21.93,2.02,0.64,0.22,50.00
2026/05/20T22:32:37z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,24,43,1021.97,4.95,26248,0,579,2.71,3.52,4.33,2.71,3.52,4.33,15,15,685.29,206.66,23.16,2.34,1.26,0.19,2.56,3.42,4.18,2.56,3.42,4.18,14,14,609.21,179.93,21.84,2.18,1.21,0.30,50.00
2026/05/20T22:34:37z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,24,43,1021.96,4.95,26248,0,699,3.07,4.34,5.00,3.07,4.34,5.00,18,18,744.10,229.95,22.43,2.90,1.17,0.19,2.30,3.67,4.18,2.30,3.67,4.18,15,15,589.95,173.21,22.63,2.67,1.00,0.35,50.00
2026/05/20T22:36:37z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,24,42,1022.00,4.95,26248,0,819,3.42,5.31,5.82,3.42,5.31,5.82,22,22,826.53,250.40,25.05,5.60,1.07,0.15,1.52,2.81,3.03,1.52,2.81,3.03,12,12,505.97,143.88,20.34,1.48,0.38,0.19,50.00
2026/05/20T22:38:37z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,23,43,1021.92,4.95,26248,0,939,3.07,3.75,4.48,3.07,3.75,4.48,16,16,710.68,214.39,19.21,1.39,1.21,0.32,1.78,2.31,2.42,1.78,2.31,2.42,10,10,509.64,144.86,14.83,1.00,0.20,0.00,50.00
2026/05/20T22:40:37z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,24,42,1021.95,4.95,26248,0,1059,3.00,4.55,5.78,3.00,4.55,5.78,19,19,747.93,223.97,22.05,6.33,2.21,0.09,2.14,2.76,3.22,2.14,2.76,3.22,11,11,526.19,155.60,20.03,1.36,0.57,0.00,50.00
2026/05/20T22:42:37z,f0:24:f9:c6:7c:56,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,24,43,1021.98,4.96,26248,0,1179,2.40,3.52,4.03,2.40,3.52,4.03,15,15,640.91,183.78,21.29,3.33,1.05,0.00,2.05,3.28,3.91,2.05,3.28,3.91,14,14,577.32,166.32,19.32,1.93,0.75,0.23,50.00
