UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/23T00:00:56z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,93,19,44,1010.85,4.95,26248,0,460,3.21,4.09,4.56,3.21,4.09,4.56,17,17,712.21,216.25,20.53,1.35,0.82,0.21,1.62,2.57,3.50,1.62,2.57,3.50,11,11,521.53,146.66,16.17,3.07,1.47,1.03,50.00
2026/05/23T00:02:56z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,19,44,1010.84,4.95,26248,0,580,3.24,3.95,4.28,3.24,3.95,4.28,16,16,686.48,207.69,15.81,1.03,0.69,0.24,2.33,3.33,3.51,2.33,3.33,3.51,14,14,537.05,154.19,16.07,2.44,0.19,0.19,50.00
2026/05/23T00:04:56z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,19,44,1010.85,4.95,26248,0,700,2.88,3.51,4.36,2.88,3.51,4.36,15,15,614.49,184.69,16.24,2.92,1.17,0.51,2.04,2.65,3.02,2.04,2.65,3.02,11,11,516.68,144.33,14.04,2.37,0.49,0.26,50.00
2026/05/23T00:06:56z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,93,19,45,1010.84,4.95,26248,0,820,2.40,3.47,3.68,2.40,3.47,3.68,14,14,635.47,193.77,23.21,1.84,0.58,0.00,2.04,3.07,3.58,2.04,3.07,3.58,13,13,509.89,148.37,16.79,2.75,0.95,0.46,50.00
2026/05/23T00:08:56z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,20,44,1010.83,4.95,26248,0,940,2.95,3.70,4.02,2.95,3.70,4.02,15,15,659.52,203.36,13.68,1.41,0.59,0.00,1.97,2.83,3.32,1.97,2.83,3.32,12,12,533.40,151.20,15.27,2.17,0.63,0.47,50.00
2026/05/23T00:10:56z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,20,44,1010.82,4.95,26248,0,1060,3.23,4.16,5.35,3.23,4.16,5.35,17,17,682.68,215.37,21.35,2.96,1.77,0.40,2.05,2.89,3.32,2.05,2.89,3.32,12,12,523.74,152.02,14.16,1.93,0.49,0.25,50.00
2026/05/23T00:12:56z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,20,45,1010.82,4.95,26248,0,1180,3.20,3.81,4.07,3.20,3.81,4.07,16,16,663.56,205.29,15.68,1.00,0.39,0.08,2.26,3.18,3.49,2.26,3.18,3.49,13,13,558.58,153.89,15.95,2.39,0.26,0.26,50.00
2026/05/23T00:14:37z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,20,45,1010.80,nan,26336,0,100,3.16,4.04,4.47,3.16,4.04,4.47,17,17,733.80,225.84,17.11,2.51,0.62,0.00,1.95,3.00,4.17,1.95,3.00,4.17,13,13,564.07,157.71,20.95,3.67,1.55,1.07,nan
2026/05/23T00:16:37z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,92,20,45,1010.80,4.95,26248,0,220,4.78,5.69,5.95,4.78,5.69,5.95,24,24,1000.91,316.19,17.29,2.78,0.45,0.00,2.16,3.02,3.96,2.16,3.02,3.96,13,13,557.47,160.82,19.09,2.70,1.37,0.91,50.00
2026/05/23T00:18:37z,f0:24:f9:c6:8d:8a,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,20,45,1010.83,4.95,26248,0,340,3.74,4.28,4.54,3.74,4.28,4.54,18,18,755.79,240.21,16.88,0.74,0.39,0.00,2.07,3.00,3.74,2.07,3.00,3.74,13,13,548.69,156.45,14.24,2.21,0.84,0.84,50.00
