UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/26T00:01:28z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,53,47,1008.97,4.82,26248,0,220,2.78,3.58,3.87,2.78,3.58,3.87,15,15,621.35,182.17,17.82,1.57,0.38,0.15,1.38,2.05,2.77,1.38,2.05,2.77,9,9,421.55,117.11,11.39,2.00,1.12,0.18,63.80
2026/05/26T00:03:28z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,54,46,1008.99,4.82,26248,0,339,2.19,2.63,3.65,2.19,2.63,3.65,11,11,511.26,154.28,14.12,2.32,1.53,0.30,1.31,2.12,2.28,1.31,2.12,2.28,9,9,385.50,112.07,15.69,1.28,0.22,0.00,65.17
2026/05/26T00:05:28z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,55,47,1008.93,4.82,26248,0,459,2.40,2.88,2.91,2.41,2.88,2.91,12,12,553.50,155.48,12.09,0.45,0.03,0.00,1.07,1.73,2.05,1.07,1.73,2.05,7,7,349.80,98.30,12.68,1.47,0.53,0.25,65.74
2026/05/26T00:07:28z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,54,47,1008.84,4.82,26248,0,579,2.03,2.83,3.19,2.03,2.83,3.19,12,12,576.97,155.80,15.08,1.15,0.56,0.00,0.98,1.53,1.93,0.98,1.53,1.93,6,6,288.16,84.36,13.07,2.53,0.66,0.00,58.51
2026/05/26T00:09:28z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,54,47,1008.83,4.82,26248,0,699,3.47,4.15,4.15,3.47,4.15,4.15,17,17,876.71,237.76,14.34,0.27,0.00,0.00,0.71,1.45,1.45,0.71,1.45,1.45,6,6,303.44,87.38,12.05,0.47,0.00,0.00,60.56
2026/05/26T00:11:28z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,55,46,1008.85,4.82,26248,0,819,4.54,4.86,5.14,4.54,4.86,5.14,20,20,1262.63,297.02,10.28,0.74,0.47,0.47,1.08,2.02,2.25,1.08,2.02,2.25,8,8,353.44,103.32,15.58,1.95,0.39,0.00,66.83
2026/05/26T00:13:28z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,54,46,1008.80,4.82,26248,0,939,4.29,5.02,5.38,4.29,5.02,5.38,21,21,1306.71,301.09,13.86,1.54,0.46,0.21,0.88,1.31,1.71,0.88,1.31,1.71,5,5,310.47,89.64,11.24,1.07,0.64,0.00,61.20
2026/05/26T00:15:28z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,55,46,1008.74,4.82,26248,0,1059,5.57,6.29,6.60,5.57,6.29,6.60,26,26,1790.38,372.50,13.78,0.76,0.50,0.19,1.26,1.83,2.03,1.26,1.83,2.03,8,8,331.81,98.22,13.84,1.72,0.41,0.00,65.51
2026/05/26T00:17:28z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,55,46,1008.76,4.82,26248,0,1179,4.74,6.14,6.31,4.74,6.14,6.31,26,26,1321.19,313.43,19.62,4.12,0.38,0.21,1.88,2.72,3.45,1.88,2.72,3.45,11,11,460.09,132.81,17.10,2.66,1.02,0.40,72.71
2026/05/26T00:19:09z,f0:24:f9:c6:91:c0,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,56,46,1008.76,nan,26336,0,100,6.91,7.40,8.00,6.91,7.40,8.00,31,31,1995.33,440.78,16.16,0.96,0.96,0.00,2.12,2.72,3.00,2.12,2.72,3.00,11,11,500.86,142.47,15.65,1.00,0.33,0.00,nan
