UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/28T00:01:28z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,17,46,1010.89,4.95,26248,0,340,1.49,1.91,4.42,1.49,1.91,4.42,8,8,434.05,125.96,16.30,4.14,3.82,1.79,0.95,1.54,2.69,0.95,1.54,2.69,6,6,399.97,114.95,13.46,1.98,1.44,1.19,95.70
2026/05/28T00:03:28z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,18,46,1010.81,4.95,26248,0,460,1.46,1.89,2.74,1.46,1.89,2.74,8,8,423.95,116.77,12.44,1.81,1.35,0.35,1.21,1.81,3.31,1.21,1.81,3.31,8,8,429.00,120.29,12.57,3.02,2.26,1.69,92.91
2026/05/28T00:05:28z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,18,46,1010.82,4.95,26248,0,580,1.33,2.05,2.74,1.33,2.05,2.74,9,9,411.62,111.98,12.26,1.97,1.10,1.03,0.95,1.75,2.56,0.95,1.75,2.56,7,7,423.53,120.86,12.05,2.54,1.12,0.79,93.19
2026/05/28T00:07:28z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,18,46,1010.79,4.95,26248,0,700,0.81,1.76,3.32,0.81,1.76,3.32,7,7,407.90,111.00,14.24,4.31,2.92,0.59,1.55,2.05,3.43,1.55,2.05,3.43,9,9,442.02,124.80,10.45,3.23,1.79,1.34,93.71
2026/05/28T00:09:28z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,17,46,1010.74,4.95,26248,0,820,0.79,1.53,2.68,0.79,1.53,2.68,6,6,371.42,104.96,11.14,2.46,1.54,0.70,1.22,1.81,3.79,1.22,1.81,3.79,8,8,430.81,121.22,14.93,3.86,2.38,1.98,92.26
2026/05/28T00:11:28z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,17,46,1010.80,4.95,26248,0,940,0.95,1.54,2.33,0.95,1.54,2.33,6,6,380.37,103.74,11.33,1.68,1.23,0.40,0.83,1.57,3.74,0.83,1.57,3.74,7,7,428.22,121.53,14.48,3.62,2.78,2.41,92.20
2026/05/28T00:13:28z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,98,18,47,1010.80,4.95,26248,0,1060,1.08,1.64,2.68,1.08,1.64,2.68,7,7,387.86,105.69,9.05,2.53,1.63,0.53,1.24,1.67,3.02,1.24,1.67,3.02,7,7,457.34,125.72,10.83,2.47,1.66,1.33,88.34
2026/05/28T00:15:28z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,18,46,1010.82,4.95,26248,0,1180,0.71,1.42,2.03,0.71,1.42,2.03,6,6,392.39,103.68,12.36,1.80,0.95,0.36,1.09,1.57,3.17,1.09,1.57,3.17,7,7,430.71,122.50,10.45,2.53,2.33,1.47,87.74
2026/05/28T00:17:08z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,97,18,46,1010.75,nan,26336,0,100,0.82,1.49,2.58,0.82,1.49,2.58,6,6,402.47,108.16,9.53,1.76,1.76,0.78,1.62,2.31,4.29,1.62,2.31,4.29,10,10,450.29,130.00,14.24,4.57,2.71,1.55,nan
2026/05/28T00:19:08z,f0:24:f9:c6:c7:d9,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,96,18,46,1010.72,4.95,26248,0,220,1.15,1.86,2.69,1.15,1.86,2.69,8,8,395.80,106.95,14.14,2.27,1.25,0.61,0.84,1.54,2.25,0.84,1.54,2.25,6,6,407.62,116.18,10.50,1.75,0.80,0.80,89.14
