UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/06/01T00:00:30z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,15,34,1025.29,4.86,26248,0,1180,1.19,1.75,2.19,1.19,1.75,2.19,7,7,447.86,121.58,9.68,1.54,0.56,0.00,0.36,0.84,1.89,0.36,0.84,1.89,3,3,288.38,78.50,11.23,2.20,1.70,0.59,50.00
2026/06/01T00:02:11z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,15,33,1025.32,nan,26336,0,100,1.07,1.61,1.72,1.07,1.61,1.72,7,7,387.39,108.43,10.59,0.91,0.26,0.00,1.00,1.53,2.81,1.00,1.53,2.81,6,6,294.63,83.84,16.05,3.44,2.40,0.00,nan
2026/06/01T00:04:11z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,16,34,1025.28,4.86,26248,0,220,0.95,1.69,2.08,0.95,1.69,2.08,7,7,354.10,96.51,11.53,2.27,0.68,0.25,0.88,1.27,2.07,0.88,1.27,2.07,5,5,275.68,79.68,12.14,2.30,1.23,0.00,50.00
2026/06/01T00:06:11z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,16,34,1025.25,4.86,26248,0,340,1.02,1.72,2.10,1.02,1.72,2.10,7,7,392.38,107.40,8.81,2.10,0.53,0.00,0.85,1.64,2.36,0.85,1.64,2.36,7,7,311.64,87.42,15.93,3.32,1.37,0.00,50.00
2026/06/01T00:08:11z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,16,34,1025.23,4.86,26248,0,460,0.76,1.45,1.98,0.76,1.45,1.98,6,6,402.16,109.29,13.53,1.58,0.96,0.22,0.70,1.42,2.30,0.70,1.42,2.30,6,6,332.30,95.67,13.13,2.02,1.48,0.43,50.00
2026/06/01T00:10:11z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,17,33,1025.21,4.86,26248,0,580,1.05,1.68,1.73,1.05,1.68,1.73,7,7,405.41,109.27,11.20,1.69,0.00,0.00,0.88,1.65,2.42,0.88,1.65,2.42,7,7,318.16,94.12,16.60,2.33,1.54,0.00,50.00
2026/06/01T00:12:11z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,17,34,1025.19,4.86,26248,0,700,1.29,1.80,2.36,1.29,1.80,2.36,7,7,408.56,113.15,12.44,1.63,0.59,0.00,1.00,1.78,2.62,1.00,1.78,2.62,7,7,325.04,92.42,16.00,2.89,1.55,0.45,50.00
2026/06/01T00:14:11z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,16,35,1025.13,4.86,26248,0,820,1.22,1.83,2.64,1.22,1.83,2.64,8,8,416.69,114.90,12.64,2.52,0.60,0.00,0.69,0.79,1.88,0.69,0.79,1.88,3,3,289.97,81.76,10.55,2.29,2.05,0.00,50.00
2026/06/01T00:16:11z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,16,34,1025.15,4.86,26248,0,940,0.71,1.20,1.23,0.71,1.20,1.23,5,5,451.61,117.21,9.50,0.91,0.02,0.00,0.24,0.72,1.84,0.24,0.72,1.84,3,3,284.90,78.26,11.02,3.34,2.02,0.00,50.00
2026/06/01T00:18:11z,f0:24:f9:c6:c8:85,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,17,34,1025.19,4.86,26248,0,1060,0.79,1.24,1.71,0.79,1.24,1.71,5,5,403.71,114.05,8.78,1.26,0.90,0.00,0.72,1.41,2.00,0.72,1.41,2.00,6,6,322.19,93.41,14.19,1.66,0.93,0.19,50.00
