UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/31T00:00:09z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,19,36,1026.11,4.91,26248,0,940,2.00,3.11,5.34,2.00,3.11,5.34,13,13,547.77,161.45,21.46,4.54,2.86,2.29,1.20,2.32,3.47,1.20,2.32,3.47,10,10,461.80,128.88,21.14,2.41,1.86,0.64,62.43
2026/05/31T00:02:09z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,20,36,1026.11,4.91,26248,0,1060,2.50,3.66,4.57,2.50,3.66,4.57,15,15,606.93,178.48,19.71,2.88,1.33,0.81,1.98,3.38,4.88,1.98,3.38,4.88,14,14,508.71,141.55,28.62,4.71,2.53,1.00,55.47
2026/05/31T00:04:09z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,18,36,1026.09,4.91,26248,0,1180,2.44,4.10,6.98,2.44,4.10,6.98,17,17,666.31,200.00,29.41,5.75,3.71,3.27,1.96,2.77,4.61,1.96,2.77,4.61,12,12,481.02,137.73,19.25,4.23,2.86,1.09,54.25
2026/05/31T00:05:48z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,18,36,1026.11,nan,26336,0,99,3.05,4.07,7.77,3.05,4.07,7.77,17,17,647.39,192.55,27.59,6.45,4.68,4.50,1.63,3.00,4.19,1.63,3.00,4.19,13,13,549.49,153.23,25.65,3.02,1.67,0.58,nan
2026/05/31T00:07:48z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,19,36,1026.10,4.91,26248,0,219,2.97,4.07,6.42,2.97,4.07,6.42,17,17,659.03,194.20,23.25,4.05,2.83,2.83,1.56,2.95,4.30,1.56,2.95,4.30,12,12,495.26,141.07,25.79,3.88,2.18,0.93,53.37
2026/05/31T00:09:48z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,19,36,1026.11,4.91,26248,0,339,2.59,3.55,5.33,2.59,3.55,5.33,15,15,620.33,178.38,19.22,4.26,2.26,1.78,1.49,2.81,4.19,1.49,2.81,4.19,12,12,471.31,132.39,23.85,3.76,1.71,1.05,73.04
2026/05/31T00:11:48z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,20,36,1026.13,4.91,26248,0,459,2.21,3.43,5.25,2.21,3.43,5.25,14,14,606.32,172.64,25.66,3.45,2.34,1.91,1.55,2.55,3.63,1.55,2.55,3.63,11,11,437.95,121.70,20.12,3.23,1.68,0.80,63.99
2026/05/31T00:13:48z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,20,36,1026.10,4.91,26248,0,579,2.42,3.64,6.14,2.42,3.64,6.14,15,15,585.71,172.86,23.25,5.17,3.32,2.49,1.09,2.07,3.37,1.09,2.07,3.37,9,9,447.74,126.79,18.37,3.75,1.91,0.70,54.62
2026/05/31T00:15:48z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,21,36,1026.15,4.91,26248,0,699,2.08,3.19,5.22,2.08,3.19,5.22,13,13,530.59,154.86,21.53,3.80,2.66,2.19,1.79,2.88,3.55,1.79,2.88,3.55,12,12,470.25,128.09,19.43,2.84,1.16,0.82,50.02
2026/05/31T00:17:48z,f0:24:f9:c6:e3:c5,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,21,36,1026.12,4.91,26248,0,819,1.62,2.50,3.91,1.62,2.50,3.91,10,10,504.57,144.60,16.86,3.34,1.98,1.64,1.52,2.48,3.95,1.52,2.48,3.95,10,10,434.84,123.26,20.34,3.43,2.22,0.76,50.08
