UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/27T00:00:11z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,33,44,1014.53,4.95,26248,0,340,1.37,1.67,2.30,1.37,1.67,2.30,7,7,459.68,132.74,6.14,1.58,0.58,0.30,0.83,1.03,1.42,0.83,1.03,1.42,4,4,308.95,86.17,6.83,0.75,0.47,0.30,50.00
2026/05/27T00:02:11z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,32,45,1014.50,4.95,26248,0,460,1.29,1.57,1.84,1.29,1.57,1.84,7,7,502.12,139.75,5.57,0.84,0.43,0.21,0.74,0.79,1.52,0.74,0.79,1.52,3,3,328.24,92.64,7.83,1.29,1.14,0.33,50.00
2026/05/27T00:04:11z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,32,43,1014.56,4.95,26248,0,580,1.27,1.45,1.75,1.27,1.45,1.75,6,6,481.20,136.83,5.68,0.63,0.43,0.22,0.91,0.97,1.31,0.91,0.97,1.31,4,4,301.76,86.69,6.28,0.43,0.43,0.26,50.00
2026/05/27T00:06:11z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,76,33,45,1014.52,4.95,26248,0,700,1.24,2.00,2.86,1.24,2.00,2.86,8,8,454.47,132.86,10.51,4.08,1.15,0.71,1.00,1.00,1.20,1.00,1.00,1.20,4,4,295.12,87.73,9.38,0.77,0.20,0.00,50.00
2026/05/27T00:08:11z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,33,44,1014.59,4.95,26248,0,820,1.40,1.96,2.37,1.40,1.96,2.37,8,8,564.11,161.93,8.09,1.54,0.53,0.46,0.63,0.78,1.03,0.63,0.78,1.03,3,3,296.85,85.56,9.44,0.83,0.25,0.00,50.00
2026/05/27T00:10:11z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,76,33,45,1014.55,4.95,26248,0,940,1.04,1.71,2.05,1.04,1.71,2.05,7,7,467.14,136.21,9.23,1.82,0.70,0.45,0.69,0.98,1.17,0.69,0.98,1.17,4,4,307.29,89.45,8.24,1.19,0.00,0.00,50.00
2026/05/27T00:12:11z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,33,44,1014.61,4.95,26248,0,1060,1.38,1.93,2.07,1.38,1.93,2.07,8,8,486.78,135.33,7.60,1.26,0.29,0.00,0.34,0.71,1.75,0.34,0.71,1.75,3,3,269.95,80.41,9.69,1.98,1.14,0.46,50.00
2026/05/27T00:14:11z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,33,44,1014.58,4.95,26248,0,1180,1.26,1.55,2.00,1.26,1.55,2.00,6,6,395.53,114.45,8.31,0.95,0.57,0.41,0.46,0.96,1.51,0.46,0.96,1.51,4,4,294.95,85.51,8.91,0.98,0.79,0.40,50.00
2026/05/27T00:15:52z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,33,46,1014.53,nan,26336,0,100,0.89,1.04,1.33,0.89,1.04,1.33,4,4,425.20,125.69,9.53,0.51,0.51,0.29,0.30,0.56,0.95,0.30,0.56,0.95,2,2,261.77,75.65,7.07,1.37,0.58,0.00,nan
2026/05/27T00:17:52z,f0:24:f9:c6:e4:9e,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,32,46,1014.56,4.95,26248,0,220,1.25,1.54,1.54,1.25,1.54,1.54,6,6,421.58,121.44,5.83,0.00,0.00,0.00,0.64,0.89,1.30,0.64,0.89,1.30,4,4,298.77,85.66,8.73,1.77,0.62,0.20,50.00
