UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/30T00:01:31z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,36,44,1019.44,4.97,26248,0,700,6.78,10.24,14.08,6.78,10.24,14.08,43,43,1286.54,369.07,66.51,12.07,6.02,2.92,6.00,9.36,12.87,6.00,9.36,12.87,39,39,1215.71,351.38,64.85,10.05,5.98,1.35,96.32
2026/05/30T00:03:31z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,37,43,1019.43,4.97,26248,0,820,6.22,9.46,15.88,6.22,9.46,15.88,39,39,1264.22,365.66,65.29,14.68,9.68,4.59,6.10,9.69,16.32,6.10,9.69,16.32,40,40,1201.73,354.39,75.78,15.07,10.15,2.80,96.75
2026/05/30T00:05:31z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,37,43,1019.44,4.97,26248,0,940,5.86,9.21,16.02,5.86,9.21,16.02,38,38,1235.46,358.23,70.79,15.77,10.86,3.82,5.73,8.95,13.86,5.73,8.95,13.86,37,37,1091.19,320.97,65.68,12.14,7.32,2.83,94.55
2026/05/30T00:07:31z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,38,44,1019.43,4.97,26248,0,1060,5.52,9.40,14.43,5.52,9.40,14.43,39,39,1193.48,338.16,67.29,14.43,7.22,4.29,5.31,8.10,12.33,5.31,8.10,12.33,34,34,1062.83,313.05,61.07,9.02,6.29,2.41,96.23
2026/05/30T00:09:31z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,38,45,1019.44,4.97,26248,0,1180,5.75,8.78,12.56,5.75,8.78,12.56,37,37,1169.85,334.58,57.14,10.81,5.24,3.41,5.11,7.89,14.80,5.11,7.89,14.80,33,33,1130.14,333.95,69.75,13.23,10.79,3.46,100.47
2026/05/30T00:11:12z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,38,45,1019.47,nan,26336,0,100,5.83,8.96,15.24,5.83,8.96,15.24,37,37,1137.20,330.65,65.85,14.07,8.93,5.93,5.63,8.91,14.88,5.63,8.91,14.88,37,37,1090.60,320.74,71.30,13.14,8.65,5.02,nan
2026/05/30T00:13:12z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,38,45,1019.45,4.97,26248,0,220,6.05,8.78,11.17,6.05,8.78,11.17,37,37,1160.02,336.33,55.69,7.67,3.29,2.21,5.89,8.44,14.77,5.89,8.44,14.77,35,35,1072.84,320.65,65.72,11.96,9.40,4.25,95.24
2026/05/30T00:15:12z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,38,45,1019.44,4.97,26248,0,340,5.51,9.09,14.33,5.51,9.09,14.33,38,38,1146.84,331.82,66.00,13.49,7.67,3.49,5.49,8.93,13.53,5.49,8.93,13.53,37,37,1093.37,321.20,67.44,11.47,7.03,2.90,96.66
2026/05/30T00:17:12z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,37,44,1019.41,4.97,26248,0,460,5.11,8.48,13.73,5.11,8.48,13.73,35,35,1118.62,320.66,65.54,11.61,7.46,4.50,4.86,7.92,12.66,4.86,7.92,12.66,33,33,1041.92,310.15,61.58,10.47,7.64,2.08,91.17
2026/05/30T00:19:12z,f0:24:f9:c6:e5:45,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,37,44,1019.39,4.98,26248,0,580,5.12,7.58,11.88,5.12,7.58,11.88,32,32,1080.71,309.81,60.24,8.20,6.22,3.42,4.61,7.32,11.85,4.61,7.32,11.85,31,31,1021.37,300.59,56.39,9.08,6.61,3.20,89.67
