UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/25T00:01:24z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,14,32,1012.04,4.89,26248,0,940,2.89,3.84,4.25,2.89,3.84,4.25,16,16,740.20,216.66,24.23,2.20,0.57,0.09,1.83,2.59,4.29,1.83,2.59,4.29,11,11,544.02,157.49,18.83,4.00,2.20,0.86,50.00
2026/05/25T00:03:24z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,13,32,1012.00,4.89,26248,0,1060,2.59,3.45,4.57,2.59,3.45,4.57,14,14,688.81,196.50,20.50,2.41,1.71,0.47,1.83,2.74,5.26,1.83,2.74,5.26,11,11,516.26,147.14,19.17,4.24,3.57,1.72,50.00
2026/05/25T00:05:24z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,15,32,1011.94,4.89,26248,0,1180,3.09,4.17,5.28,3.09,4.17,5.28,17,17,735.88,215.66,22.16,3.52,1.53,1.00,1.80,2.68,3.68,1.80,2.68,3.68,11,11,514.61,148.80,19.02,2.25,1.61,0.95,50.00
2026/05/25T00:07:05z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,15,33,1011.94,nan,26336,0,100,3.20,4.11,6.00,3.20,4.11,6.00,17,17,672.47,197.00,26.18,4.73,2.89,1.31,2.02,2.74,4.69,2.02,2.74,4.69,11,11,531.00,150.98,19.02,3.71,2.81,1.74,nan
2026/05/25T00:09:05z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,14,32,1011.93,4.89,26248,0,220,2.66,3.80,4.90,2.66,3.80,4.90,16,16,648.05,189.92,21.39,2.98,1.66,0.69,1.91,3.00,4.37,1.91,3.00,4.37,13,13,551.58,153.49,19.37,3.63,2.23,1.47,50.00
2026/05/25T00:11:05z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,14,34,1011.85,4.89,26248,0,340,2.75,3.84,4.49,2.75,3.84,4.49,16,16,737.21,215.74,21.04,3.02,1.02,0.53,1.95,2.78,4.51,1.95,2.78,4.51,12,12,544.02,151.15,19.39,3.75,2.81,1.58,50.00
2026/05/25T00:13:05z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,13,34,1011.81,4.89,26248,0,460,3.12,4.12,5.02,3.12,4.12,5.02,17,17,770.02,218.28,22.03,1.62,1.00,0.71,2.17,2.85,4.02,2.17,2.85,4.02,12,12,551.29,155.64,17.80,2.51,1.86,0.81,50.00
2026/05/25T00:15:05z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,14,32,1011.75,4.89,26248,0,580,2.97,4.00,4.86,2.97,4.00,4.86,17,17,737.59,211.88,23.97,2.03,1.20,0.42,2.54,3.33,4.81,2.54,3.33,4.81,14,14,601.37,172.02,21.67,2.86,2.28,1.14,50.00
2026/05/25T00:17:05z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,15,33,1011.74,4.89,26248,0,700,3.42,4.53,6.02,3.42,4.53,6.02,19,19,751.17,225.20,26.10,3.69,2.56,0.41,1.46,2.34,3.89,1.46,2.34,3.89,10,10,552.32,158.00,16.43,2.57,2.14,1.39,50.00
2026/05/25T00:19:05z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,14,33,1011.70,4.89,26248,0,820,3.37,4.40,5.02,3.37,4.40,5.02,18,18,743.68,218.23,24.04,1.98,0.93,0.40,1.76,3.00,3.98,1.76,3.00,3.98,13,13,535.47,155.54,19.95,3.29,1.49,0.75,50.00
2026/05/25T00:21:05z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,14,32,1011.68,4.89,26248,0,940,3.62,4.66,5.29,3.62,4.66,5.29,19,19,789.11,228.36,19.82,3.38,1.09,0.18,2.39,2.80,3.78,2.39,2.80,3.78,12,12,534.56,154.88,17.73,1.85,1.31,0.85,50.00
2026/05/25T00:23:05z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,14,32,1011.62,4.89,26248,0,1060,3.39,4.07,4.86,3.39,4.07,4.86,17,17,753.15,219.19,17.08,1.90,1.07,0.37,2.45,3.29,4.93,2.45,3.29,4.93,14,14,598.09,173.16,18.14,2.72,2.33,1.36,50.00
2026/05/25T00:25:05z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,15,33,1011.56,4.89,26248,0,1180,3.46,4.80,5.53,3.46,4.80,5.53,20,20,774.00,227.69,23.51,2.71,1.24,0.63,2.04,2.75,4.36,2.04,2.75,4.36,11,11,565.75,160.82,16.16,2.69,2.49,1.18,50.00
2026/05/25T00:26:45z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,14,34,1011.48,nan,26336,0,100,3.79,4.70,5.36,3.79,4.70,5.36,20,20,804.64,237.70,20.15,2.38,0.77,0.53,2.24,2.86,4.50,2.24,2.86,4.50,12,12,580.64,166.38,20.17,3.67,2.52,0.57,nan
2026/05/25T00:28:45z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,15,34,1011.41,4.89,26248,0,220,3.98,5.08,6.25,3.98,5.08,6.25,21,21,792.71,243.71,25.20,3.29,1.59,0.81,2.46,3.14,4.96,2.46,3.14,4.96,13,13,580.34,162.38,20.20,3.86,2.41,2.00,50.00
2026/05/25T00:30:45z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,15,33,1011.40,4.89,26248,0,340,3.03,4.38,5.07,3.03,4.38,5.07,18,18,671.12,192.59,22.66,3.78,0.93,0.31,2.92,3.75,5.97,2.92,3.75,5.97,16,16,639.30,185.03,23.47,4.55,3.23,1.92,50.00
2026/05/25T00:32:45z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,15,33,1011.36,4.89,26248,0,460,3.74,5.19,6.35,3.74,5.19,6.35,22,22,811.16,240.65,30.33,3.86,2.07,0.23,2.22,3.19,5.12,2.22,3.19,5.12,13,13,607.24,173.59,22.69,4.67,2.78,1.16,50.00
2026/05/25T00:34:45z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,88,15,35,1011.29,4.89,26248,0,580,3.41,4.50,6.03,3.41,4.50,6.03,19,19,757.55,224.22,22.76,4.45,2.47,1.24,2.53,3.28,5.60,2.53,3.28,5.60,14,14,598.37,175.54,19.70,4.47,3.39,1.91,50.00
2026/05/25T00:36:45z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,15,34,1011.22,4.89,26248,0,700,3.42,4.27,4.73,3.42,4.27,4.73,18,18,744.76,214.05,22.14,1.41,0.61,0.37,2.63,3.88,4.93,2.63,3.88,4.93,16,16,628.26,184.44,23.30,3.30,1.49,0.79,50.00
2026/05/25T00:38:45z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,15,34,1011.16,4.89,26248,0,820,3.47,5.05,5.66,3.47,5.05,5.66,21,21,750.36,219.67,26.90,4.07,1.07,0.41,2.75,3.88,5.64,2.75,3.88,5.64,16,16,633.86,188.22,27.64,4.31,2.59,1.02,50.00
2026/05/25T00:40:45z,f0:24:f9:c8:a5:51,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,16,33,1011.12,4.89,26248,0,940,3.44,4.54,5.42,3.44,4.54,5.42,19,19,726.26,217.51,23.19,2.86,1.25,0.67,2.29,3.14,5.10,2.29,3.14,5.10,13,13,620.59,178.59,22.92,4.31,2.80,1.66,50.00
