UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/04/29T00:00:21z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,32,36,1023.28,4.91,26248,0,340,3.31,5.03,6.36,3.31,5.03,6.36,21,21,732.31,213.34,34.84,4.31,2.07,0.69,3.31,4.81,7.56,3.31,4.81,7.56,20,20,712.88,202.85,37.76,6.97,3.85,1.64,50.00
2026/04/29T00:02:21z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,32,37,1023.21,4.91,26248,0,460,3.58,5.58,7.00,3.58,5.58,7.00,23,23,806.79,227.84,40.46,5.32,2.19,0.28,3.10,4.66,7.17,3.10,4.66,7.17,19,19,716.48,203.90,35.43,5.53,3.91,1.26,50.00
2026/04/29T00:04:21z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,32,38,1023.21,4.91,26248,0,580,3.21,4.91,6.93,3.21,4.91,6.93,20,20,835.50,237.53,35.21,5.53,3.33,0.48,3.37,4.88,6.60,3.37,4.88,6.60,20,20,754.95,214.89,36.18,4.77,2.98,0.44,50.00
2026/04/29T00:06:21z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,32,38,1023.21,4.91,26248,0,700,2.83,4.49,6.61,2.83,4.49,6.61,19,19,746.03,210.88,32.53,6.47,3.02,0.44,3.32,4.88,6.89,3.32,4.88,6.89,20,20,803.57,227.18,34.86,4.55,2.55,1.29,50.00
2026/04/29T00:08:21z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,32,37,1023.25,4.91,26248,0,820,2.96,4.67,6.42,2.96,4.67,6.42,19,19,737.37,211.54,33.39,4.12,2.70,0.61,2.88,4.64,6.07,2.88,4.64,6.07,19,19,701.02,198.02,30.67,4.36,2.12,1.22,50.00
2026/04/29T00:10:21z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,32,38,1023.27,4.91,26248,0,940,3.70,5.32,7.70,3.70,5.32,7.70,22,22,800.79,228.09,35.14,5.30,3.95,0.71,3.07,4.48,6.47,3.07,4.48,6.47,19,19,768.00,210.37,31.37,4.38,3.22,0.70,50.00
2026/04/29T00:12:21z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,31,38,1023.23,4.91,26248,0,1060,3.33,5.69,6.72,3.33,5.69,6.72,24,24,803.12,233.60,42.31,4.98,1.64,0.24,3.24,4.69,6.92,3.24,4.69,6.92,20,20,754.78,209.71,33.88,5.69,3.47,1.37,50.00
2026/04/29T00:14:21z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,31,38,1023.28,4.91,26248,0,1180,3.49,5.46,7.15,3.49,5.46,7.15,23,23,830.85,234.00,34.88,6.31,2.93,0.39,3.53,5.37,8.21,3.53,5.37,8.21,22,22,754.26,217.19,38.88,6.79,4.58,1.86,50.00
2026/04/29T00:16:02z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,31,37,1023.31,nan,26336,0,100,3.00,4.76,6.78,3.00,4.76,6.78,20,20,734.53,212.89,31.98,6.00,3.07,0.82,3.10,4.90,6.50,3.10,4.90,6.50,20,20,735.00,211.12,32.86,4.60,2.48,1.26,nan
2026/04/29T00:18:02z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,31,37,1023.31,4.91,26248,0,220,3.27,5.17,5.68,3.27,5.17,5.68,22,22,745.63,219.24,30.15,3.44,0.90,0.10,3.27,5.27,7.61,3.27,5.27,7.61,22,22,777.21,221.77,40.98,6.59,3.20,1.05,50.00
2026/04/29T00:20:02z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,31,37,1023.33,4.91,26248,0,340,3.32,5.11,5.93,3.32,5.11,5.93,21,21,741.05,210.35,28.40,4.91,1.25,0.12,3.22,5.10,6.53,3.22,5.10,6.53,21,21,756.31,211.37,31.05,6.37,2.27,0.64,50.00
2026/04/29T00:22:02z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,31,37,1023.30,4.91,26248,0,460,3.09,4.96,6.84,3.09,4.96,6.84,21,21,791.36,219.46,34.36,5.70,3.00,0.38,3.19,4.36,6.21,3.19,4.36,6.21,18,18,744.16,215.76,26.60,4.93,2.83,0.26,50.00
2026/04/29T00:24:02z,f0:24:f9:c6:29:9d,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,32,38,1023.33,4.91,26248,0,580,4.02,6.40,8.27,4.02,6.40,8.27,27,27,814.30,239.00,42.63,6.90,3.05,0.33,3.09,4.45,5.31,3.09,4.45,5.31,19,19,719.28,201.88,27.17,3.50,1.24,0.26,50.00
