UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/04/30T00:00:41z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,29,42,1022.73,4.98,26248,0,580,6.56,8.80,10.17,6.56,8.80,10.17,37,37,1237.68,353.53,52.36,4.00,2.17,0.68,6.09,8.47,9.91,6.09,8.47,9.91,35,35,1129.11,331.65,44.79,5.30,2.61,0.42,50.00
2026/04/30T00:02:41z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,76,29,41,1022.70,4.98,26248,0,700,6.37,8.83,9.68,6.37,8.83,9.68,37,37,1196.34,351.32,52.15,3.76,1.32,0.20,6.18,8.25,8.98,6.18,8.25,8.98,34,34,1121.52,329.71,44.54,3.38,1.12,0.45,50.00
2026/04/30T00:04:41z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,30,41,1022.71,4.98,26248,0,820,6.30,8.39,9.35,6.30,8.39,9.35,35,35,1223.68,356.56,46.42,4.58,1.61,0.19,6.34,8.00,9.21,6.34,8.00,9.21,33,33,1164.93,337.97,46.93,3.41,1.86,0.72,50.00
2026/04/30T00:06:41z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,74,30,41,1022.79,4.98,26248,0,940,6.51,8.56,9.00,6.51,8.56,9.00,36,36,1206.95,351.02,44.21,3.96,0.68,0.18,5.97,7.82,8.45,5.97,7.82,8.45,33,33,1123.45,329.58,41.12,3.53,1.15,0.08,50.00
2026/04/30T00:08:41z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,31,42,1022.70,4.98,26248,0,1060,6.40,8.07,8.66,6.40,8.07,8.66,34,34,1180.24,339.21,41.67,3.28,1.14,0.00,5.67,7.45,8.14,5.67,7.45,8.14,31,31,1095.83,316.69,41.03,3.60,1.21,0.00,50.00
2026/04/30T00:10:41z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,30,42,1022.72,4.98,26248,0,1180,6.32,8.56,9.27,6.32,8.56,9.27,36,36,1222.32,343.49,52.61,3.34,1.03,0.27,5.77,7.46,8.02,5.77,7.46,8.02,31,31,1119.47,319.16,41.56,2.00,1.21,0.00,50.00
2026/04/30T00:12:21z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,30,42,1022.67,nan,26336,0,100,5.96,8.29,10.67,5.96,8.29,10.67,35,35,1201.33,344.31,52.87,6.64,3.40,1.33,5.95,7.77,9.79,5.95,7.77,9.79,32,32,1142.86,328.09,40.81,4.65,3.51,0.26,nan
2026/04/30T00:14:21z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,76,29,41,1022.65,4.98,26248,0,220,5.85,8.08,8.66,5.85,8.08,8.66,34,34,1181.75,340.83,43.10,2.83,0.81,0.17,5.35,7.30,8.35,5.35,7.30,8.35,30,30,1081.21,310.89,39.04,4.16,1.65,0.21,50.00
2026/04/30T00:16:21z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,29,41,1022.65,4.98,26248,0,340,6.45,8.88,9.38,6.45,8.88,9.38,37,37,1225.55,353.12,49.75,3.09,0.61,0.36,5.59,7.93,8.93,5.59,7.93,8.93,33,33,1081.98,314.42,45.15,4.98,1.95,0.00,50.00
2026/04/30T00:18:21z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,74,30,40,1022.69,4.98,26248,0,460,6.11,8.32,9.36,6.11,8.32,9.36,35,35,1166.36,341.50,43.98,4.27,1.70,0.61,5.68,6.81,8.54,5.68,6.81,8.54,28,28,1043.85,304.31,40.34,3.71,2.98,0.42,50.00
2026/04/30T00:20:21z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,74,30,40,1022.69,4.98,26248,0,580,5.34,7.62,8.74,5.34,7.62,8.74,32,32,1090.14,311.57,44.05,5.79,1.45,0.24,5.11,6.58,7.42,5.11,6.58,7.42,27,27,976.53,284.23,34.82,2.70,1.53,0.00,50.00
2026/04/30T00:22:21z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,75,29,41,1022.66,4.98,26248,0,700,5.18,6.80,7.45,5.18,6.80,7.45,28,28,1060.20,300.08,39.45,2.20,0.83,0.62,5.68,7.39,7.91,5.68,7.39,7.91,31,31,1103.58,320.21,41.65,3.51,1.19,0.00,50.00
2026/04/30T00:24:21z,f0:24:f9:c6:37:33,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,74,30,40,1022.69,4.98,26248,0,820,5.33,6.77,7.04,5.33,6.77,7.04,28,28,1080.32,307.77,32.79,1.44,0.72,0.00,5.19,7.00,8.03,5.19,7.00,8.03,29,29,1026.46,295.36,35.88,3.49,1.66,0.27,50.00
