UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/01T00:00:58z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,99,16,45,1016.52,4.97,26248,0,820,4.60,5.78,6.64,4.60,5.78,6.64,24,24,941.74,268.41,28.47,2.74,1.29,0.24,5.00,6.55,7.38,5.00,6.55,7.38,27,27,998.43,278.64,34.52,3.53,1.31,0.00,91.80
2026/05/01T00:02:58z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,100,15,45,1016.50,4.97,26248,0,940,4.14,5.38,5.71,4.14,5.38,5.71,22,22,840.75,237.66,29.96,1.39,0.71,0.00,4.69,6.03,7.00,4.69,6.03,7.00,25,25,985.78,276.97,34.29,2.34,1.36,0.25,83.95
2026/05/01T00:04:58z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,100,15,45,1016.47,4.97,26248,0,1060,4.33,5.40,6.12,4.33,5.40,6.12,23,23,883.42,250.60,29.21,1.89,1.49,0.00,4.58,6.17,6.71,4.58,6.17,6.71,26,26,980.24,276.90,34.37,2.97,0.68,0.00,87.93
2026/05/01T00:06:58z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,100,15,45,1016.47,4.97,26248,0,1180,4.63,5.73,6.37,4.63,5.73,6.37,24,24,983.34,272.15,32.07,1.71,0.76,0.41,4.44,6.22,6.87,4.44,6.22,6.87,26,26,982.64,280.40,36.80,2.85,1.04,0.00,91.43
2026/05/01T00:08:39z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,99,16,45,1016.50,nan,26336,0,100,4.29,5.62,5.89,4.29,5.62,5.89,23,23,940.33,260.40,33.24,1.84,0.31,0.00,5.24,6.33,7.48,5.24,6.33,7.48,26,26,1003.21,285.93,35.52,3.02,1.50,0.60,nan
2026/05/01T00:10:39z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,100,15,45,1016.48,4.97,26248,0,220,4.44,5.42,5.71,4.44,5.42,5.71,23,23,959.54,269.80,30.83,1.46,0.49,0.22,4.62,6.30,7.05,4.62,6.30,7.05,26,26,968.57,272.00,40.32,2.93,1.21,0.00,80.74
2026/05/01T00:12:39z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,101,15,45,1016.46,4.97,26248,0,340,4.53,5.68,6.51,4.53,5.68,6.51,24,24,957.16,270.00,35.28,2.53,1.18,0.18,4.48,6.35,7.00,4.48,6.35,7.00,26,26,1002.85,276.93,36.80,4.60,1.02,0.00,90.27
2026/05/01T00:14:39z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,100,15,45,1016.44,4.97,26248,0,460,4.62,5.98,6.58,4.62,5.98,6.58,25,25,975.00,274.82,32.53,2.04,0.75,0.25,4.72,6.32,7.13,4.72,6.32,7.13,26,26,1013.85,280.32,32.92,4.63,1.65,0.00,94.07
2026/05/01T00:16:39z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,100,15,45,1016.41,4.97,26064,0,580,4.54,5.19,5.54,4.54,5.19,5.54,22,22,940.53,263.12,24.93,0.80,0.73,0.17,5.25,6.54,7.82,5.25,6.54,7.82,27,27,998.37,284.74,35.04,4.49,1.77,0.19,88.49
2026/05/01T00:18:39z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,100,15,45,1016.37,4.97,26248,0,700,4.43,5.55,6.09,4.43,5.55,6.09,23,23,942.98,267.53,38.41,1.10,0.62,0.17,4.66,6.21,7.20,4.66,6.21,7.20,26,26,996.38,283.75,36.20,3.46,1.59,0.00,86.14
2026/05/01T00:20:39z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,100,15,44,1016.35,4.97,26248,0,820,3.93,5.23,5.60,3.93,5.23,5.60,22,22,879.21,247.07,33.61,1.47,0.53,0.23,4.38,5.31,6.66,4.38,5.31,6.66,22,22,891.36,254.29,28.34,3.16,1.97,0.24,88.16
2026/05/01T00:22:39z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,99,15,44,1016.37,4.97,26248,0,940,3.77,4.68,5.18,3.77,4.68,5.18,20,20,859.89,246.91,29.72,1.65,0.84,0.00,4.71,5.95,6.42,4.71,5.95,6.42,25,25,983.90,280.02,34.39,2.12,1.20,0.00,95.51
2026/05/01T00:24:39z,f0:24:f9:c6:6b:d7,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,100,15,44,1016.33,4.97,26248,0,1060,3.86,5.05,5.38,3.86,5.05,5.38,21,21,873.00,244.10,30.67,1.24,0.57,0.00,4.22,5.51,5.66,4.22,5.51,5.66,23,23,897.92,256.73,35.08,1.51,0.24,0.00,96.54
