UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/08T00:01:17z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,84,21,40,1018.32,4.92,26248,0,1061,3.00,4.23,5.16,3.00,4.23,5.16,18,18,689.53,201.23,23.56,2.56,1.32,0.60,2.88,4.05,4.47,2.88,4.05,4.47,17,17,762.10,217.09,21.88,3.07,0.59,0.00,50.00
2026/05/08T00:03:17z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,22,39,1018.34,4.92,26248,0,1181,3.25,4.46,5.56,3.25,4.46,5.56,19,19,696.61,200.69,31.00,2.76,1.64,0.83,2.86,4.12,4.91,2.86,4.12,4.91,17,17,680.74,200.63,21.09,3.35,1.33,0.21,50.00
2026/05/08T00:04:58z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,22,40,1018.29,nan,26336,0,100,3.09,4.18,5.11,3.09,4.18,5.11,17,17,725.33,208.24,23.53,2.20,1.62,0.36,2.40,3.40,4.40,2.40,3.40,4.40,14,14,703.64,197.50,23.98,3.67,1.26,0.48,nan
2026/05/08T00:06:58z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,20,40,1018.17,4.92,26248,0,220,3.02,3.97,5.92,3.02,3.97,5.92,17,17,694.78,204.39,21.15,4.53,2.78,1.14,2.73,4.04,4.79,2.73,4.04,4.79,17,17,683.73,194.86,27.86,2.93,1.20,0.00,50.00
2026/05/08T00:08:58z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,89,19,41,1018.09,4.92,26248,0,340,3.33,4.40,5.31,3.33,4.40,5.31,18,18,724.66,210.40,24.57,2.29,1.29,0.60,3.33,4.21,4.64,3.33,4.21,4.64,18,18,684.41,192.88,23.00,1.95,0.69,0.26,50.00
2026/05/08T00:10:58z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,18,42,1018.05,4.92,26248,0,460,3.18,3.98,4.60,3.18,3.98,4.60,17,17,738.95,209.09,26.04,1.44,0.86,0.51,3.25,4.73,5.95,3.25,4.73,5.95,20,20,700.80,202.45,24.33,5.53,2.02,0.45,50.00
2026/05/08T00:12:58z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,91,17,41,1018.03,4.92,26248,0,580,2.42,3.67,3.95,2.42,3.67,3.95,15,15,695.05,196.62,21.40,1.87,0.55,0.37,2.84,4.47,5.86,2.84,4.47,5.86,19,19,666.37,191.18,27.96,4.91,1.95,1.02,50.00
2026/05/08T00:14:58z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,19,39,1018.14,4.92,26248,0,700,2.83,3.53,5.69,2.83,3.53,5.69,15,15,669.46,188.78,22.83,3.51,3.02,1.90,2.57,3.50,4.33,2.57,3.50,4.33,15,15,631.03,179.59,22.09,2.36,1.38,0.00,50.00
2026/05/08T00:16:58z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,20,40,1018.13,4.92,26248,0,820,2.76,3.67,4.62,2.76,3.67,4.62,15,15,642.88,180.97,23.98,2.52,1.16,0.66,3.12,4.10,4.83,3.12,4.10,4.83,17,17,705.05,198.16,27.64,2.59,1.29,0.38,50.00
2026/05/08T00:18:58z,f0:24:f9:c6:75:f1,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,90,18,41,1018.00,4.92,25624,0,940,3.27,4.25,6.45,3.27,4.25,6.45,18,18,742.07,212.77,23.77,4.61,3.23,1.36,3.02,4.32,4.93,3.02,4.32,4.93,18,18,703.68,197.53,23.08,3.56,0.85,0.24,50.00
