UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/04/30T00:00:32z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,27,42,1022.32,4.83,26248,0,580,6.60,8.77,9.26,6.60,8.77,9.26,37,37,1350.95,368.47,48.26,2.68,0.74,0.32,6.00,7.96,8.46,6.00,7.96,8.46,33,33,1078.37,317.47,45.18,2.98,0.61,0.32,50.00
2026/04/30T00:02:32z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,27,43,1022.35,4.83,26248,0,700,6.65,9.07,9.90,6.65,9.07,9.90,38,38,1382.00,367.90,54.00,3.43,1.02,0.78,5.86,7.74,8.78,5.86,7.74,8.78,32,32,1022.95,310.34,47.47,4.07,1.59,0.50,50.00
2026/04/30T00:04:32z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,28,42,1022.33,4.83,26248,0,820,6.41,8.29,9.67,6.41,8.29,9.67,35,35,1780.86,332.41,43.31,4.81,2.19,0.62,6.60,9.14,9.60,6.60,9.14,9.60,38,38,1217.59,366.52,45.84,6.24,0.38,0.16,50.00
2026/04/30T00:06:32z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,76,29,41,1022.27,4.83,26248,0,940,6.91,8.65,9.80,6.91,8.65,9.80,36,36,1410.65,375.05,44.49,3.91,1.98,0.76,6.08,8.54,9.24,6.08,8.54,9.24,36,36,1129.73,334.37,48.90,4.51,0.88,0.56,50.00
2026/04/30T00:08:32z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,29,42,1022.28,4.83,25752,0,1060,7.69,9.97,10.52,7.69,9.97,10.52,42,42,1442.59,428.07,43.60,4.91,1.16,0.21,6.00,8.38,8.83,6.00,8.38,8.83,35,35,1113.26,323.74,46.86,3.91,0.57,0.48,50.00
2026/04/30T00:10:32z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,29,42,1022.25,4.83,26248,0,1180,6.64,8.61,10.10,6.64,8.61,10.10,36,36,1232.95,363.88,45.88,4.17,2.17,1.10,6.44,8.65,9.62,6.44,8.65,9.62,36,36,1170.82,350.31,42.78,5.02,1.20,0.78,50.00
2026/04/30T00:12:13z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,29,42,1022.25,nan,26336,0,100,8.05,10.32,11.20,8.05,10.32,11.20,43,43,1563.89,461.91,41.11,5.09,1.34,0.82,6.37,7.79,8.28,6.37,7.79,8.28,32,32,1179.49,346.49,43.05,2.14,0.74,0.35,nan
2026/04/30T00:14:13z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,28,42,1022.22,4.83,26248,0,220,7.76,10.22,11.17,7.76,10.22,11.17,43,43,1404.92,449.73,49.61,6.71,1.66,0.17,5.63,7.72,8.46,5.63,7.72,8.46,32,32,1076.58,317.09,44.77,3.39,1.18,0.37,50.00
2026/04/30T00:16:13z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,77,28,42,1022.24,4.83,26248,0,340,8.56,10.23,11.81,8.56,10.23,11.81,43,43,2053.74,496.58,45.35,3.84,2.51,0.65,5.52,6.98,7.78,5.52,6.98,7.78,29,29,1021.55,296.09,40.69,2.60,0.90,0.72,50.00
2026/04/30T00:18:13z,f0:24:f9:c6:d7:50,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,76,28,41,1022.17,4.83,26248,0,460,8.18,9.98,11.38,8.18,9.98,11.38,42,42,1992.00,464.46,41.30,5.23,2.38,0.64,4.88,6.41,7.31,4.88,6.41,7.31,27,27,939.56,273.53,37.00,1.80,0.98,0.97,50.00
