UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/03T00:01:08z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,24,46,1013.23,nan,26336,0,100,6.59,7.93,8.78,6.59,7.93,8.78,33,33,1276.24,371.91,30.80,1.98,1.52,0.28,6.51,8.28,8.67,6.51,8.28,8.67,34,34,1297.60,342.93,38.00,2.81,0.56,0.56,nan
2026/05/03T00:03:08z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,24,46,1013.20,4.88,26248,0,220,7.10,8.08,9.03,7.10,8.08,9.03,34,34,1284.90,370.98,32.47,2.08,1.55,0.00,6.14,7.73,7.86,6.14,7.73,7.86,32,32,1271.68,341.14,33.07,1.32,0.21,0.21,50.00
2026/05/03T00:05:08z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,87,24,46,1013.18,4.88,26248,0,340,7.10,8.31,9.36,7.10,8.31,9.36,35,35,1372.71,386.79,33.95,3.00,1.79,0.26,6.07,7.69,8.49,6.07,7.69,8.49,32,32,1260.46,338.46,40.63,2.71,1.00,0.76,50.00
2026/05/03T00:07:08z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,46,1013.18,4.88,26248,0,460,6.72,8.02,8.91,6.72,8.02,8.91,33,33,1316.11,374.95,31.65,2.42,1.40,0.49,5.81,7.10,8.84,5.81,7.10,8.84,30,30,1135.40,319.69,36.91,2.48,2.28,1.88,50.00
2026/05/03T00:09:08z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,46,1013.18,4.88,26248,0,580,6.75,8.10,9.31,6.75,8.10,9.31,34,34,1284.66,370.02,35.37,3.12,2.15,0.20,6.56,7.93,8.74,6.56,7.93,8.74,33,33,1266.05,345.88,39.39,1.82,1.16,0.63,50.00
2026/05/03T00:11:08z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,25,45,1013.15,4.88,26248,0,700,7.15,8.49,9.81,7.15,8.49,9.81,35,35,1342.73,386.32,33.15,3.98,2.37,0.61,5.93,7.70,8.46,5.93,7.70,8.46,32,32,1178.32,324.68,43.21,3.42,1.26,0.44,50.00
2026/05/03T00:13:08z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,46,1013.14,4.88,26248,0,820,7.26,8.50,9.43,7.26,8.50,9.43,35,35,1314.10,376.59,32.71,3.33,1.78,0.00,6.45,7.59,8.28,6.45,7.59,8.28,32,32,1340.12,356.33,39.50,1.90,0.86,0.64,50.00
2026/05/03T00:15:08z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,46,1013.10,4.88,26248,0,940,6.33,7.26,7.74,6.33,7.26,7.74,30,30,1259.58,362.65,23.84,2.25,1.02,0.00,6.22,8.05,8.43,6.22,8.05,8.43,34,34,1219.50,342.98,45.31,2.14,0.41,0.41,50.00
2026/05/03T00:17:08z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,86,25,46,1013.09,4.88,26248,0,1060,7.24,8.78,9.51,7.24,8.78,9.51,37,37,1332.86,391.61,38.76,2.86,1.22,0.00,6.43,8.10,9.67,6.43,8.10,9.67,34,34,1268.79,346.28,43.69,4.00,1.83,1.26,50.00
2026/05/03T00:19:08z,f0:24:f9:c6:e4:72,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,85,25,46,1013.12,4.88,26248,0,1180,6.44,7.64,8.71,6.44,7.64,8.71,32,32,1270.73,357.31,28.31,2.88,1.69,0.22,6.32,7.47,8.00,6.32,7.47,8.00,31,31,1238.84,338.33,32.51,1.93,0.86,0.46,50.00
