UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/04/29T00:00:18z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,30,38,1023.32,4.91,26248,0,340,3.60,5.57,8.43,3.60,5.57,8.43,23,23,775.03,222.12,35.00,8.90,4.84,0.78,3.41,5.17,7.37,3.41,5.17,7.37,22,22,729.41,211.42,35.19,6.25,3.39,0.58,50.00
2026/04/29T00:02:17z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,30,38,1023.31,4.91,26248,0,459,3.80,5.61,9.02,3.80,5.61,9.02,23,23,785.09,232.93,36.12,7.96,5.48,2.20,3.28,5.63,8.73,3.28,5.63,8.73,23,23,786.00,224.77,35.62,9.58,4.63,1.05,50.00
2026/04/29T00:04:17z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,30,38,1023.29,4.91,26248,0,579,3.17,5.27,7.42,3.17,5.27,7.42,22,22,763.90,221.15,33.48,7.20,3.23,0.35,4.00,6.21,9.00,4.00,6.21,9.00,26,26,879.47,248.43,42.05,7.88,4.78,0.79,50.00
2026/04/29T00:06:17z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,30,38,1023.31,4.91,26248,0,699,3.18,4.63,7.03,3.18,4.63,7.03,19,19,726.20,208.53,32.52,5.05,3.77,0.98,3.57,5.70,7.98,3.57,5.70,7.98,24,24,800.20,228.39,36.62,6.75,4.18,0.71,50.00
2026/04/29T00:08:17z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,31,37,1023.31,4.91,26248,0,819,3.26,4.62,7.14,3.26,4.62,7.14,19,19,728.74,208.79,26.09,6.81,4.38,0.57,3.81,6.11,8.25,3.81,6.11,8.25,25,25,820.37,238.93,37.46,7.65,3.93,0.54,50.00
2026/04/29T00:10:17z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,30,38,1023.37,4.91,26248,0,939,3.61,5.43,7.16,3.61,5.43,7.16,23,23,818.46,231.48,32.75,5.25,2.96,0.02,3.85,6.12,8.62,3.85,6.12,8.62,25,25,812.60,235.50,37.67,8.67,4.27,0.77,50.00
2026/04/29T00:12:17z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,30,38,1023.38,4.91,26248,0,1059,3.19,5.30,7.70,3.19,5.30,7.70,22,22,744.89,216.14,32.65,8.30,3.72,0.61,3.40,5.60,7.19,3.40,5.60,7.19,23,23,762.88,215.98,37.07,6.64,2.81,0.71,50.00
2026/04/29T00:14:17z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,31,38,1023.34,4.91,26248,0,1179,3.76,6.05,8.85,3.76,6.05,8.85,25,25,802.93,236.69,42.90,8.58,4.69,1.05,3.30,5.55,7.25,3.30,5.55,7.25,23,23,734.09,213.70,31.82,7.14,2.93,0.21,50.00
2026/04/29T00:15:58z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,31,39,1023.40,nan,26336,0,100,3.26,5.24,8.30,3.26,5.24,8.30,22,22,776.22,219.78,29.26,9.30,5.17,0.78,3.50,5.67,7.55,3.50,5.67,7.55,24,24,747.36,221.02,41.57,6.21,2.90,0.48,nan
2026/04/29T00:17:58z,f0:24:f9:c6:e5:d3,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,71,30,38,1023.41,4.91,26248,0,220,3.53,5.74,8.17,3.53,5.74,8.17,24,24,788.53,229.05,36.69,6.86,4.21,0.52,3.11,5.21,6.39,3.11,5.21,6.39,22,22,736.37,209.54,31.11,5.96,1.86,0.05,50.00
