UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/19T00:01:04z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,21,36,1023.11,4.91,26280,0,820,1.05,1.56,2.47,1.05,1.56,2.47,6,6,367.12,103.98,11.86,2.19,1.34,0.44,1.02,1.74,2.10,1.02,1.74,2.10,7,7,367.66,106.31,10.86,1.12,0.81,0.00,91.99
2026/05/19T00:03:04z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,21,37,1023.10,4.91,26280,0,940,0.96,1.55,1.55,0.96,1.55,1.55,6,6,406.04,113.78,10.73,0.00,0.00,0.00,0.53,1.16,1.45,0.53,1.16,1.45,5,5,331.29,92.76,11.95,2.00,0.36,0.16,83.53
2026/05/19T00:05:04z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,21,36,1023.11,4.91,26280,0,1060,1.10,1.67,2.36,1.10,1.67,2.36,7,7,372.16,106.95,11.40,1.29,1.29,0.62,1.31,1.68,2.47,1.31,1.68,2.47,7,7,344.39,100.02,12.97,2.24,1.36,0.24,84.50
2026/05/19T00:07:04z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,21,38,1023.03,4.91,26280,0,1180,1.00,1.97,1.97,1.00,1.97,1.97,8,8,367.14,105.14,13.09,0.64,0.17,0.00,1.02,1.68,2.04,1.02,1.68,2.04,7,7,332.20,95.27,14.05,1.68,0.61,0.38,78.82
2026/05/19T00:08:45z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,20,37,1023.00,nan,26432,0,100,0.76,1.63,1.63,0.76,1.63,1.63,7,7,357.78,101.80,12.89,1.30,0.00,0.00,0.51,1.14,1.74,0.51,1.14,1.74,5,5,322.33,89.49,9.51,1.98,0.88,0.00,nan
2026/05/19T00:10:45z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,21,38,1023.01,4.91,26344,0,220,1.61,2.00,2.31,1.61,2.00,2.31,8,8,436.22,127.66,9.54,1.25,0.59,0.00,0.75,1.04,1.43,0.75,1.04,1.43,4,4,335.79,88.18,7.75,1.39,0.70,0.00,80.43
2026/05/19T00:12:45z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,21,37,1023.01,4.91,26032,0,340,1.19,2.10,2.10,1.19,2.10,2.10,9,9,401.48,112.79,11.78,1.45,0.00,0.00,1.18,1.90,2.30,1.18,1.90,2.30,8,8,384.95,106.60,12.53,1.43,0.53,0.35,78.71
2026/05/19T00:14:45z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,82,21,38,1022.93,4.91,26344,0,460,1.03,1.84,2.78,1.03,1.84,2.78,8,8,411.05,109.36,13.26,2.36,1.16,0.71,1.05,1.86,2.41,1.05,1.86,2.41,8,8,403.93,115.47,12.15,2.86,0.93,0.20,78.99
2026/05/19T00:16:45z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,83,20,38,1022.94,4.91,26344,0,580,1.07,1.62,1.95,1.07,1.62,1.95,7,7,415.71,118.22,11.47,1.19,0.48,0.00,1.02,1.59,1.95,1.02,1.59,1.95,7,7,371.90,104.90,9.88,1.07,0.47,0.29,72.44
2026/05/19T00:18:45z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,81,21,37,1022.86,4.91,26248,0,700,1.09,1.81,2.40,1.09,1.81,2.40,8,8,429.72,119.16,14.57,1.74,0.86,0.22,0.93,1.48,1.95,0.93,1.48,1.95,6,6,357.86,101.25,10.41,1.54,0.79,0.14,79.95
2026/05/19T00:20:45z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,22,36,1022.94,4.91,26248,0,820,1.19,1.91,2.82,1.19,1.91,2.82,8,8,428.74,112.75,11.81,2.02,1.44,0.25,1.10,1.86,2.14,1.10,1.86,2.14,8,8,386.84,106.14,12.02,1.79,0.33,0.17,92.78
2026/05/19T00:22:45z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,22,37,1022.94,4.91,26248,0,940,1.23,1.71,2.70,1.23,1.71,2.70,7,7,446.46,124.48,13.02,1.91,1.50,0.46,1.37,1.75,1.83,1.37,1.75,1.83,7,7,418.58,114.76,9.83,0.64,0.17,0.17,70.32
2026/05/19T00:24:45z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,23,38,1022.93,4.91,26248,0,1060,2.09,2.61,2.75,2.09,2.61,2.75,11,11,482.47,138.37,16.07,1.32,0.28,0.00,1.34,2.24,2.71,1.34,2.24,2.71,9,9,407.95,114.76,15.48,1.71,0.66,0.31,71.46
2026/05/19T00:26:45z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,23,38,1022.93,4.91,26248,0,1180,1.88,2.32,2.98,1.88,2.32,2.98,10,10,438.25,123.10,13.78,1.81,0.73,0.47,1.38,2.05,2.79,1.38,2.05,2.79,9,9,418.61,114.98,13.66,2.70,0.84,0.36,71.00
2026/05/19T00:28:26z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,23,38,1022.91,nan,26432,0,100,1.60,2.16,2.47,1.60,2.16,2.47,9,9,448.93,123.56,13.53,1.42,0.42,0.16,1.05,1.86,2.58,1.05,1.86,2.58,8,8,445.47,130.60,11.58,1.58,1.00,0.60,nan
2026/05/19T00:30:26z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,23,38,1022.91,4.91,26344,0,220,1.37,2.03,2.59,1.37,2.03,2.59,8,8,441.25,122.37,14.66,2.07,0.88,0.25,1.58,2.02,2.39,1.58,2.02,2.39,8,8,442.16,124.60,9.81,1.04,0.47,0.44,75.18
2026/05/19T00:32:26z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,23,38,1022.89,4.91,26344,0,340,1.46,2.02,2.23,1.46,2.02,2.23,8,8,433.68,120.00,14.25,0.82,0.23,0.23,1.44,1.68,2.00,1.44,1.68,2.00,7,7,382.17,107.05,9.32,1.19,0.59,0.00,81.31
2026/05/19T00:34:26z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,23,38,1022.88,4.91,26344,0,460,1.56,1.98,2.36,1.56,1.98,2.36,8,8,440.78,122.58,12.55,1.38,0.69,0.04,1.12,1.53,1.76,1.12,1.53,1.76,6,6,400.71,112.72,8.28,0.48,0.22,0.22,79.79
2026/05/19T00:36:26z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,23,37,1022.85,4.91,26344,0,580,1.29,2.19,2.31,1.29,2.19,2.31,9,9,473.64,131.32,13.15,1.32,0.25,0.00,0.86,1.95,2.51,0.86,1.95,2.51,8,8,404.32,112.35,13.49,3.11,0.88,0.25,72.71
2026/05/19T00:38:26z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,80,23,39,1022.81,4.91,26344,0,700,1.34,2.24,2.88,1.34,2.24,2.88,9,9,435.98,120.02,13.36,1.88,0.86,0.76,1.16,1.82,2.58,1.16,1.82,2.58,8,8,404.53,109.98,10.74,1.28,1.04,1.04,77.29
2026/05/19T00:40:26z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,79,23,38,1022.80,4.91,26344,0,820,1.59,2.17,2.55,1.59,2.17,2.55,9,9,451.66,124.90,10.84,1.09,0.47,0.26,1.26,1.59,2.02,1.26,1.59,2.02,7,7,407.59,113.21,7.83,1.53,0.45,0.00,76.35
2026/05/19T00:42:26z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,23,38,1022.79,4.91,26344,0,940,1.23,2.37,2.61,1.23,2.37,2.61,10,10,428.21,123.86,17.75,2.32,0.65,0.21,0.98,1.50,1.50,0.98,1.50,1.50,6,6,392.17,109.28,9.29,0.26,0.00,0.00,73.99
2026/05/19T00:44:26z,f0:24:f9:c2:4b:b8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,78,23,38,1022.77,4.91,26344,0,1060,1.81,2.31,2.92,1.81,2.31,2.92,10,10,448.32,123.46,16.22,1.97,0.93,0.68,1.14,1.58,1.69,1.14,1.58,1.69,7,7,369.25,101.93,10.05,0.63,0.20,0.07,73.50
