UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/14T00:01:02z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,51,47,1017.99,4.91,26280,0,1060,0.17,0.80,1.02,0.17,0.80,1.02,3,3,214.73,61.66,11.00,1.80,0.37,0.00,0.50,1.16,2.40,0.50,1.16,2.40,5,5,251.53,70.34,9.05,3.52,1.79,1.31,50.00
2026/05/14T00:03:02z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,53,46,1017.86,4.91,26280,0,1180,0.84,1.83,2.52,0.84,1.83,2.52,8,8,287.38,83.98,17.14,3.02,0.74,0.26,0.19,1.44,3.82,0.19,1.44,3.82,6,6,214.79,63.44,18.67,5.65,3.61,1.72,50.00
2026/05/14T00:04:43z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,53,47,1017.91,nan,26120,0,100,0.89,1.58,3.00,0.89,1.58,3.00,7,7,277.80,78.80,15.84,3.93,2.04,0.51,0.37,2.30,3.53,0.37,2.30,3.53,10,10,269.37,78.47,22.33,6.12,1.53,1.02,nan
2026/05/14T00:06:43z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,50,48,1017.92,4.91,26344,0,220,0.46,1.37,2.78,0.46,1.37,2.78,6,6,243.31,71.12,15.81,3.25,2.39,0.83,0.21,1.09,2.41,0.21,1.09,2.41,5,5,228.80,61.54,10.80,3.86,1.70,1.11,50.00
2026/05/14T00:08:43z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,51,47,1017.88,4.91,26344,0,340,0.41,1.02,1.55,0.41,1.02,1.55,4,4,234.47,65.93,15.78,1.47,1.05,0.43,0.00,0.42,1.20,0.00,0.42,1.20,2,2,170.95,48.47,9.20,1.88,0.85,0.59,50.00
2026/05/14T00:10:43z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,52,47,1018.12,4.91,26344,0,460,0.73,1.73,3.04,0.73,1.73,3.04,7,7,279.93,83.47,16.38,3.07,1.85,0.91,0.45,1.42,3.48,0.45,1.42,3.48,6,6,244.40,71.43,12.75,5.78,3.00,2.28,50.00
2026/05/14T00:12:43z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,54,47,1018.04,4.91,26344,0,580,0.66,1.07,1.83,0.66,1.07,1.83,4,4,255.31,73.64,13.37,1.97,1.46,0.17,0.00,0.83,1.50,0.00,0.83,1.50,3,3,208.40,57.47,7.26,2.24,1.00,0.93,50.00
2026/05/14T00:14:43z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,53,47,1017.89,4.91,26344,0,700,0.66,1.73,2.39,0.66,1.73,2.39,7,7,284.44,84.10,14.44,3.81,0.66,0.42,0.55,2.14,3.89,0.55,2.14,3.89,9,9,293.84,85.79,18.64,6.38,2.86,1.20,50.00
2026/05/14T00:16:43z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,50,47,1018.02,4.91,26280,0,820,0.93,2.09,5.50,0.93,2.09,5.50,9,9,326.84,95.71,29.05,7.71,5.29,1.28,0.54,3.12,6.25,0.54,3.12,6.25,13,13,294.41,86.58,30.10,11.22,3.85,2.92,50.00
2026/05/14T00:18:43z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,48,47,1017.98,4.91,26280,0,940,0.46,1.49,2.39,0.46,1.49,2.39,6,6,252.21,71.79,15.95,3.05,1.32,0.26,0.56,2.10,3.22,0.56,2.10,3.22,9,9,269.44,81.00,18.32,6.56,1.58,0.44,50.00
2026/05/14T00:20:43z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,47,47,1018.01,4.91,26280,0,1060,0.43,1.55,2.19,0.43,1.55,2.19,6,6,243.21,71.02,12.62,3.52,1.34,0.09,0.24,1.46,2.00,0.24,1.46,2.00,6,6,234.71,66.58,10.00,3.56,0.85,0.66,50.00
2026/05/14T00:22:43z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,45,47,1018.11,4.91,26280,0,1180,4.76,5.63,6.44,4.56,5.63,6.44,23,23,1743.51,329.37,12.44,3.20,1.00,0.56,0.20,1.05,2.25,0.20,1.05,2.25,4,4,221.36,64.52,12.27,3.25,1.66,0.68,50.00
2026/05/14T00:24:23z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,45,47,1018.25,nan,26120,0,100,1.39,2.57,3.37,1.39,2.57,3.37,11,11,814.04,126.76,15.15,4.74,1.37,0.00,0.74,1.30,2.02,0.74,1.30,2.02,5,5,312.56,83.37,12.28,2.30,0.79,0.53,nan
2026/05/14T00:26:23z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,49,45,1018.32,4.91,25720,0,220,0.98,1.68,3.61,0.98,1.68,3.61,7,7,293.34,85.47,19.71,4.64,3.20,0.64,0.43,1.96,3.16,0.43,1.96,3.16,8,8,265.71,74.61,16.09,5.45,1.82,1.39,50.00
2026/05/14T00:28:23z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,46,47,1018.44,4.91,26344,0,340,4.07,5.12,5.12,4.07,5.12,5.12,21,21,3257.37,294.00,12.75,1.56,0.00,0.00,0.46,1.08,1.80,0.46,1.08,1.80,5,5,216.71,66.42,11.51,2.31,1.07,0.61,50.00
2026/05/14T00:30:23z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,46,46,1018.33,4.91,26344,0,460,1.89,3.18,4.02,1.89,3.18,4.02,13,13,1479.16,161.16,11.82,5.12,1.39,0.44,0.34,1.64,2.68,0.34,1.64,2.68,7,7,244.68,71.08,13.86,4.85,1.19,0.93,50.00
2026/05/14T00:32:23z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,46,46,1018.37,4.91,26160,0,580,4.54,5.51,6.10,4.54,5.51,6.10,23,23,3480.36,329.53,14.17,2.44,0.92,0.24,0.35,1.79,2.98,0.35,1.79,2.98,7,7,265.37,78.19,16.30,5.39,1.44,1.09,50.00
2026/05/14T00:34:23z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,49,45,1018.38,4.91,26344,0,700,2.00,2.67,3.53,2.00,2.67,3.53,11,11,1505.50,168.00,11.63,1.92,1.33,0.47,0.02,1.32,2.16,0.02,1.32,2.16,6,6,223.45,62.62,11.70,3.68,1.23,0.75,50.00
2026/05/14T00:36:23z,f0:24:f9:c2:c2:ed,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,49,45,1018.47,4.91,26280,0,820,0.97,1.80,2.88,0.95,1.80,2.88,7,7,516.81,96.25,15.03,2.59,1.63,0.41,0.69,1.55,2.05,0.69,1.55,2.05,6,6,249.83,73.55,13.78,2.53,0.78,0.60,50.00
