UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/16T00:01:21z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,59,52,41,1019.65,nan,26336,0,100,0.07,0.67,1.40,0.07,0.67,1.40,3,3,193.33,52.18,9.40,2.60,0.80,0.80,0.05,0.79,0.88,0.05,0.79,0.88,3,3,239.21,59.24,9.83,1.07,0.21,0.19,nan
2026/05/16T00:03:21z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,60,51,41,1019.60,4.85,26248,0,220,0.00,0.17,1.44,0.00,0.17,1.44,1,1,185.49,49.58,7.20,1.78,1.49,1.07,0.00,0.19,0.19,0.00,0.19,0.19,1,1,206.95,50.58,3.70,0.25,0.00,0.00,63.38
2026/05/16T00:05:21z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,49,42,1019.49,4.85,26248,0,340,0.14,0.52,1.57,0.14,0.52,1.57,2,2,212.79,61.29,10.29,1.36,1.19,0.95,0.08,0.80,1.27,0.08,0.80,1.27,3,3,239.54,58.92,8.39,1.97,0.47,0.25,61.88
2026/05/16T00:07:21z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,60,49,41,1019.50,4.85,26248,0,460,0.00,0.29,0.59,0.00,0.29,0.59,1,1,179.95,48.43,6.07,0.95,0.43,0.43,0.08,0.50,0.50,0.08,0.50,0.50,2,2,211.05,50.12,7.33,1.42,0.00,0.00,62.69
2026/05/16T00:09:21z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,61,49,42,1019.35,4.85,26248,0,580,0.48,0.93,1.86,0.48,0.93,1.86,4,4,235.76,68.50,12.22,1.97,0.91,0.91,0.25,0.51,0.82,0.25,0.51,0.82,2,2,238.95,63.77,10.40,1.05,0.23,0.23,62.33
2026/05/16T00:11:21z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,62,49,42,1019.39,4.85,26248,0,700,0.32,1.00,2.02,0.32,1.00,2.02,4,4,253.27,69.97,10.49,2.19,1.34,1.12,0.12,0.56,1.70,0.12,0.56,1.70,2,2,213.84,58.11,10.42,2.25,1.70,1.32,61.02
2026/05/16T00:13:21z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,58,51,40,1019.42,4.85,26248,0,820,0.58,1.19,1.68,0.58,1.19,1.68,5,5,291.68,74.98,11.51,1.56,0.61,0.46,0.49,0.64,0.95,0.49,0.64,0.95,3,3,275.49,73.34,8.86,1.80,0.41,0.00,61.03
2026/05/16T00:15:21z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,58,52,40,1019.46,4.85,26064,0,940,0.60,1.05,1.75,0.60,1.05,1.75,4,4,275.63,70.53,8.95,2.26,0.82,0.33,0.75,1.05,2.10,0.75,1.05,2.10,4,4,307.63,82.39,11.56,1.63,1.15,0.86,60.80
2026/05/16T00:17:21z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,58,53,41,1019.42,4.85,26248,0,1060,0.93,1.49,2.19,0.93,1.49,2.19,6,6,297.32,82.63,10.86,2.40,0.89,0.89,0.71,1.26,1.72,0.71,1.26,1.72,5,5,290.84,78.91,12.05,1.24,0.45,0.45,62.85
2026/05/16T00:19:21z,f0:24:f9:c2:cc:14,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,58,53,41,1019.44,4.85,26248,0,1180,0.86,1.31,1.78,0.86,1.31,1.78,5,5,302.29,79.34,10.81,1.49,0.69,0.49,0.33,0.91,2.12,0.33,0.91,2.12,4,4,301.21,81.18,13.37,2.18,1.54,1.25,62.62
