UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/13T22:12:16z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,50,49,1016.69,nan,28128,0,98,1.33,3.44,4.93,1.33,3.44,4.93,14,14,448.73,125.40,22.56,7.49,2.11,0.78,1.29,18.76,10.71,1.09,3.22,6.29,65,13,385.67,111.87,25.73,9.96,2.67,0.49,nan
2026/05/13T22:14:16z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,47,48,1016.70,4.85,26248,0,218,0.90,2.95,3.97,0.90,2.95,3.97,12,12,522.98,131.79,22.95,6.91,1.53,0.36,1.05,2.98,4.40,1.05,2.98,4.40,12,12,447.05,128.67,27.23,6.68,1.60,0.26,50.00
2026/05/13T22:16:16z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,45,48,1016.66,4.85,26248,0,338,0.89,2.00,4.84,0.89,2.00,4.84,8,8,501.74,125.89,23.30,5.72,4.70,1.21,0.80,1.78,3.47,0.80,1.78,3.47,7,7,413.03,115.58,19.98,4.00,2.64,0.98,50.00
2026/05/13T22:18:16z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,45,46,1016.77,4.85,26248,0,458,1.86,3.46,4.11,1.86,3.46,4.11,14,14,595.79,147.56,22.47,3.77,1.30,0.04,1.73,2.90,4.58,1.73,2.90,4.58,12,12,461.80,131.86,22.31,5.05,2.20,0.41,50.00
2026/05/13T22:20:16z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,47,47,1016.76,4.86,23280,0,579,1.98,3.37,4.40,1.98,3.37,4.40,14,14,580.80,146.67,23.20,4.73,1.77,0.18,1.47,3.19,5.21,1.47,3.19,5.21,13,13,480.57,136.33,24.83,6.88,2.59,1.26,50.00
2026/05/13T22:22:26z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,50,48,1016.75,4.86,19904,-38,719,0.73,1.77,3.31,0.73,1.77,3.31,7,7,433.20,109.83,18.99,3.70,2.69,0.56,1.14,2.31,3.08,1.14,2.31,3.08,10,10,399.88,113.48,19.02,3.40,1.31,0.37,50.00
2026/05/13T22:24:07z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,49,48,1016.74,nan,25600,-54,100,2.11,3.18,4.11,2.11,3.18,4.11,13,13,515.27,143.64,25.91,3.51,1.60,0.00,1.81,2.98,4.09,1.81,2.98,4.09,12,12,440.93,131.65,22.42,4.56,1.00,0.00,nan
2026/05/13T22:26:19z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,45,47,1016.76,nan,28128,0,99,0.93,2.34,2.89,0.93,2.34,2.89,10,10,401.45,115.20,18.41,5.98,0.86,0.43,0.48,1.48,3.09,0.48,1.48,3.09,6,6,423.00,117.93,18.52,4.82,0.64,0.00,nan
2026/05/13T22:28:33z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,44,47,1016.77,4.85,26616,-94,233,1.65,3.24,4.44,1.65,3.24,4.44,13,13,487.81,138.86,27.68,5.92,1.84,0.24,1.03,2.55,4.02,1.03,2.55,4.02,11,11,458.91,130.58,22.88,6.05,1.51,0.06,50.00
2026/05/13T22:30:19z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,44,46,1016.81,4.85,26616,-94,339,2.08,4.44,5.54,2.08,4.44,5.54,19,19,552.52,152.87,33.85,6.17,2.29,0.19,1.78,3.48,5.14,1.78,3.48,5.14,15,15,482.58,140.22,27.66,5.74,2.24,0.44,50.00
2026/05/13T22:32:19z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,44,45,1016.86,4.85,25560,-95,459,1.82,2.65,2.96,1.82,2.65,2.96,11,11,494.05,131.77,17.53,0.84,0.60,0.00,1.63,2.42,3.25,1.63,2.42,3.25,10,10,427.73,124.14,14.73,2.95,1.15,0.14,50.00
2026/05/13T22:34:19z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,44,46,1016.92,4.85,8544,-96,579,1.29,2.42,3.95,1.29,2.42,3.95,10,10,462.05,125.80,20.54,4.19,2.51,0.83,1.34,2.38,3.57,1.34,2.38,3.57,10,10,434.89,121.29,17.11,4.43,2.07,0.09,50.00
2026/05/13T22:36:19z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,44,45,1016.92,4.85,8928,-96,699,1.18,2.22,3.80,1.18,2.22,3.80,9,9,412.35,112.60,18.50,4.03,2.73,0.65,1.63,2.28,3.51,1.63,2.28,3.51,10,10,429.16,121.53,16.21,3.05,1.60,0.35,50.00
2026/05/13T22:38:19z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,44,46,1016.92,4.85,8040,-94,819,1.62,2.86,4.79,1.62,2.86,4.79,12,12,501.00,141.53,22.69,5.03,2.90,0.53,1.32,2.80,4.93,1.32,2.80,4.93,12,12,489.00,143.68,26.53,5.12,3.44,1.14,50.00
2026/05/13T22:40:19z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,70,43,47,1016.91,4.85,7280,-94,939,0.92,1.39,1.88,0.92,1.39,1.88,6,6,457.42,119.24,11.81,2.00,1.07,0.00,1.30,2.54,3.25,1.30,2.54,3.25,11,11,405.32,120.68,20.61,3.12,0.93,0.19,50.00
2026/05/13T22:42:19z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,43,46,1016.81,4.85,6968,-94,1059,2.17,3.85,5.12,2.17,3.85,5.12,16,16,589.32,162.27,25.14,6.20,2.12,0.14,1.82,3.41,5.27,1.82,3.41,5.27,14,14,587.52,162.66,27.02,5.55,2.34,0.48,50.00
2026/05/13T22:44:19z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,44,46,1016.88,4.85,6944,-95,1179,1.81,2.95,5.24,1.81,2.95,5.24,12,12,459.41,129.38,23.93,6.02,4.24,0.74,1.98,3.47,4.95,1.98,3.47,4.95,14,14,505.81,146.45,27.76,4.47,1.86,0.84,50.00
2026/05/13T22:46:19z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,47,47,1016.89,4.86,5200,-85,1299,2.38,4.12,6.30,2.38,4.12,6.30,17,17,613.77,170.39,29.34,6.48,3.38,0.48,1.93,4.32,8.08,1.93,4.32,8.08,18,18,556.78,157.90,40.88,11.47,4.93,1.27,50.00
2026/05/13T22:48:19z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,47,47,1016.94,4.86,25112,-85,1419,1.90,3.36,6.27,1.90,3.36,6.27,14,14,534.10,154.22,30.12,7.47,4.83,0.93,1.53,3.71,6.43,1.53,3.71,6.43,15,15,493.97,142.52,31.02,9.43,3.45,0.67,50.00
2026/05/13T22:50:19z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,47,46,1016.93,4.85,25112,-85,1539,2.24,3.95,4.88,2.24,3.95,4.88,16,16,604.91,167.67,28.21,4.03,1.83,0.00,2.28,4.04,5.11,2.28,4.04,5.11,17,17,581.58,163.65,27.04,4.60,1.25,0.23,50.00
2026/05/13T22:52:19z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,47,47,1016.94,4.85,25112,-85,1659,1.85,3.03,4.62,1.85,3.03,4.62,13,13,496.80,136.00,27.60,4.52,2.83,0.23,1.86,3.54,4.81,1.86,3.54,4.81,15,15,485.84,141.67,28.81,4.72,2.11,0.00,50.00
2026/05/13T22:53:59z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,47,47,1016.94,nan,26336,0,100,2.22,4.31,7.31,2.22,4.31,7.31,18,18,630.80,173.02,31.80,9.76,5.31,1.38,2.37,5.37,8.23,2.37,5.37,8.23,22,22,652.60,186.44,43.16,9.72,4.07,1.00,nan
2026/05/13T22:55:59z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,46,47,1016.95,4.85,26248,0,220,2.36,4.64,6.88,2.36,4.64,6.88,19,19,666.31,180.10,44.51,6.71,3.51,0.76,1.20,4.00,8.54,1.20,4.00,8.54,17,17,517.88,148.38,43.38,12.98,7.27,1.04,50.00
2026/05/13T22:57:59z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,46,46,1016.99,4.85,26248,0,340,2.30,3.64,7.57,2.30,3.64,7.57,15,15,635.68,171.88,29.88,8.41,5.68,2.46,1.83,4.58,7.31,1.83,4.58,7.31,19,19,537.00,161.07,36.14,9.98,3.86,0.92,50.00
2026/05/13T22:59:59z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,46,47,1016.96,4.85,26248,0,460,1.93,3.84,4.89,1.93,3.84,4.89,16,16,574.02,158.89,33.34,4.50,1.96,0.29,1.44,3.61,6.37,1.44,3.61,6.37,15,15,547.78,156.83,36.19,8.47,4.31,0.85,50.00
2026/05/13T23:01:59z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,44,49,1016.88,4.85,26248,0,580,1.58,2.86,4.68,1.58,2.86,4.68,12,12,549.00,143.31,26.36,5.07,2.73,0.95,1.36,2.66,4.09,1.36,2.66,4.09,11,11,451.40,131.71,22.19,4.79,2.16,0.67,50.00
2026/05/13T23:03:59z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,72,43,48,1016.96,4.85,25936,0,700,1.61,3.22,6.17,1.61,3.22,6.17,13,13,508.07,144.41,30.66,7.02,4.71,0.85,1.56,3.86,6.12,1.56,3.86,6.12,16,16,502.74,149.61,32.04,7.42,3.56,1.30,50.00
2026/05/13T23:05:59z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,44,46,1016.92,4.86,26248,0,820,2.00,4.26,6.88,2.00,4.26,6.88,18,18,524.58,148.70,29.67,9.84,3.63,1.86,1.78,3.12,5.81,1.78,3.12,5.81,13,13,494.33,140.57,27.36,6.97,3.97,1.10,50.00
2026/05/13T23:07:59z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,46,47,1017.11,4.85,26248,0,940,1.19,2.14,3.67,1.19,2.14,3.67,9,9,440.11,112.33,17.04,4.56,2.30,0.56,1.00,1.92,2.86,1.00,1.92,2.86,8,8,372.20,99.61,18.42,3.68,1.08,0.42,50.00
2026/05/13T23:09:59z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,47,47,1017.10,4.85,26248,0,1060,1.29,2.20,3.17,1.29,2.20,3.17,9,9,428.08,115.63,21.42,3.19,1.92,0.00,1.33,2.41,3.66,1.33,2.41,3.66,10,10,429.62,125.72,17.66,4.52,1.69,0.95,50.00
2026/05/13T23:11:59z,f0:24:f9:c6:86:f8,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,68,48,47,1017.06,4.85,26248,0,1180,1.45,1.97,2.77,1.45,1.97,2.77,8,8,460.90,115.32,13.78,2.67,1.45,0.17,0.91,2.00,3.46,0.91,2.00,3.46,8,8,372.75,102.86,17.80,3.64,1.80,0.77,50.00
