UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2026/05/13T21:59:42z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,55,46,1016.52,nan,28128,0,99,1.59,3.02,3.77,1.59,3.02,3.77,13,13,475.64,136.30,18.84,5.45,1.09,1.09,1.44,2.72,6.67,1.44,2.72,6.67,11,11,458.58,124.58,21.07,10.16,3.60,1.88,nan
2026/05/13T22:01:42z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,54,47,1016.56,4.93,26248,0,219,1.31,2.59,3.28,1.31,2.59,3.28,11,11,484.71,134.69,20.67,5.36,0.41,0.33,1.05,2.25,4.79,1.05,2.25,4.79,9,9,450.00,127.41,25.73,7.30,2.66,1.64,50.00
2026/05/13T22:03:42z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,54,47,1016.54,4.93,25048,0,339,1.93,3.07,4.20,1.93,3.07,4.20,13,13,546.05,156.77,23.38,2.93,1.25,1.11,1.50,2.57,3.28,1.50,2.57,3.28,11,11,517.75,140.17,22.55,2.97,1.32,0.43,50.00
2026/05/13T22:05:42z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,64,54,47,1016.57,4.94,25048,0,459,1.91,2.75,5.12,1.91,2.75,5.12,11,11,513.42,145.84,21.35,5.05,2.39,2.39,1.32,2.36,4.05,1.32,2.36,4.05,10,10,474.92,135.15,18.71,4.51,2.39,1.37,50.00
2026/05/13T22:07:49z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,63,58,48,1016.63,4.94,20784,0,586,1.52,2.30,3.05,1.52,2.30,3.05,10,10,454.05,133.13,17.03,2.75,0.83,0.83,0.83,1.80,2.83,0.83,1.80,2.83,7,7,425.77,118.95,17.58,3.73,1.81,0.58,50.00
2026/05/13T22:09:42z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,65,53,47,1016.63,4.94,25048,0,699,1.31,2.24,4.26,1.31,2.24,4.26,9,9,436.00,120.06,19.96,6.11,1.44,0.91,1.21,2.44,5.02,1.21,2.44,5.02,10,10,411.95,113.88,18.75,6.79,3.44,1.98,50.00
2026/05/13T22:11:36z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,54,49,1016.61,4.94,23936,-40,819,1.46,2.76,5.10,1.46,2.76,5.10,12,12,454.12,130.27,22.69,6.49,2.83,2.00,0.60,2.44,4.60,0.60,2.44,4.60,10,10,454.26,126.32,21.98,8.21,3.09,1.79,50.00
2026/05/13T22:13:16z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,55,50,1016.56,nan,24736,-38,100,0.82,2.09,4.56,0.82,2.09,4.56,9,9,422.67,122.89,21.67,6.42,2.93,2.69,0.93,2.07,2.98,0.93,2.07,2.98,9,9,417.00,120.26,20.44,2.98,1.02,0.65,nan
2026/05/13T22:15:16z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,69,51,50,1016.53,4.94,6488,-54,220,0.85,2.07,3.17,0.85,2.07,3.17,9,9,419.50,115.00,18.00,3.92,1.18,1.02,0.60,1.65,2.98,0.60,1.65,2.98,7,7,413.47,118.98,21.47,4.14,2.14,0.46,50.00
2026/05/13T22:17:16z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,50,46,1016.60,4.94,7632,-61,340,1.45,2.36,3.32,1.45,2.36,3.32,10,10,420.59,120.68,16.73,2.36,1.09,1.09,1.34,2.60,4.07,1.34,2.60,4.07,11,11,408.47,117.47,16.83,4.66,2.53,0.71,50.00
2026/05/13T22:19:16z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,50,47,1016.60,4.94,7632,-62,460,1.89,2.59,3.96,1.89,2.59,3.96,11,11,448.07,128.55,17.38,3.38,1.25,1.25,1.85,3.22,4.14,1.85,3.22,4.14,13,13,462.31,132.37,21.61,4.08,1.31,0.76,50.00
2026/05/13T22:21:16z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,66,51,47,1016.41,4.94,7760,-58,580,1.53,2.66,3.22,1.53,2.66,3.22,11,11,421.88,121.86,15.20,3.83,0.76,0.76,1.29,2.22,4.03,1.29,2.22,4.03,9,9,397.73,114.08,19.37,4.00,2.08,1.08,50.00
2026/05/13T22:23:16z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,50,47,1016.62,4.94,7568,-59,700,1.10,1.76,2.83,1.10,1.76,2.83,7,7,400.88,115.63,15.51,3.32,1.22,1.03,1.09,2.23,2.89,1.09,2.23,2.89,9,9,400.07,113.88,19.68,3.16,0.82,0.43,50.00
2026/05/13T22:26:56z,f0:24:f9:c6:a2:fc,7.04,3.0+OPENLOG+31268 MB+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,67,50,47,1016.64,nan,26800,-90,136,0.60,2.51,3.25,0.60,2.51,3.25,10,10,403.93,118.48,22.86,7.47,0.83,0.51,0.76,1.57,2.21,0.76,1.57,2.21,7,7,412.79,117.21,14.55,2.36,0.86,0.24,nan
